DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
107,143,16.15308411214953,13.808411214953276,35.73622753835716%,6.88785046728972,[597.4666666666667, 784.1333333333333],3679.366666666667
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,26.80327868852459%|,15.02|,11.4|,['F2', 'F3']|,[45, 812, 850, 948, 804, 16]|
APPROVED|,2|,R2P1|,53.27868852459016%|,8.35|,7.9|,['F5']|,[14, 804, 808, 32]|
APPROVED|,3|,R3P1|,45.40983606557377%|,14.37|,14.4|,['F3', 'F1']|,[10, 803, 818, 915, 856, 804, 15]|
APPROVED|,4|,R4P1|,31.584699453551917%|,17.1|,16.5|,['F3', 'F2', 'F5', 'F4', 'F1']|,[4, 801, 978, 862, 902, 819, 805, 20]|
DENIED|,5|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F3']|,src=24|, dest=18|
APPROVED|,6|,R6P1|,30.983606557377048%|,13.979999999999999|,12.1|,['F1', 'F5']|,[43, 811, 810, 972, 805, 18]|
APPROVED|,7|,R7P1|,50.10928961748634%|,18.229999999999997|,17.200000000000003|,['F4', 'F3', 'F1', 'F5', 'F2']|,[11, 803, 818, 915, 856, 804, 808, 31]|
APPROVED|,8|,R8P1|,34.91803278688525%|,6.5|,5.199999999999999|,['F4', 'F1', 'F5', 'F2', 'F3']|,[44, 811, 42]|
APPROVED|,9|,R9P2|,50.60109289617486%|,16.75|,16.5|,['F2', 'F4']|,[21, 806, 969, 853, 877, 965, 812, 45]|
DENIED|,10|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F1', 'F5']|,src=24|, dest=21|
APPROVED|,11|,R11P1|,31.584699453551917%|,17.23|,16.700000000000003|,['F2', 'F4', 'F3', 'F5']|,[2, 801, 978, 862, 902, 819, 805, 18]|
APPROVED|,12|,R12P2|,40.92896174863388%|,17.639999999999997|,15.9|,['F1', 'F2', 'F5']|,[19, 805, 972, 905, 815, 856, 804, 16]|
APPROVED|,13|,R13P1|,22.78688524590164%|,8.53|,7.3999999999999995|,['F2']|,[35, 809, 811, 42]|
APPROVED|,14|,R14P1|,20.163934426229506%|,6.5|,5.2|,['F4', 'F5']|,[39, 810, 37]|
APPROVED|,15|,R15P1|,25.934426229508194%|,14.070000000000002|,13.6|,['F2', 'F3', 'F1', 'F5', 'F4']|,[40, 810, 914, 813, 861, 801, 4]|
APPROVED|,16|,R16P1|,34.04371584699453%|,21.45|,16.200000000000003|,['F1', 'F4', 'F2', 'F3']|,[41, 811, 809, 858, 957, 912, 807, 25]|
APPROVED|,17|,R17P1|,20.0327868852459%|,15.540000000000001|,14.3|,['F1', 'F4']|,[20, 805, 887, 842, 952, 808, 29]|
DENIED|,18|,NONE|,NONE|,0|,0|,['F5', 'F4']|,src=19|, dest=24|
APPROVED|,19|,R19P1|,20.163934426229506%|,4.359999999999999|,4.7|,['F2', 'F4', 'F3', 'F1']|,[40, 810, 38]|
APPROVED|,20|,R20P3|,41.59836065573771%|,21.64|,20.599999999999998|,['F3', 'F5', 'F1', 'F4']|,[12, 803, 818, 899, 907, 930, 834, 947, 806, 21]|
APPROVED|,21|,R21P1|,33.93442622950819%|,16.560000000000002|,12.2|,['F3', 'F2', 'F1', 'F5']|,[10, 803, 976, 868, 805, 20]|
APPROVED|,22|,R22P1|,46.39344262295082%|,15.079999999999997|,13.999999999999998|,['F4', 'F2', 'F1']|,[13, 804, 922, 921, 998, 811, 42]|
DENIED|,23|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F3', 'F5']|,src=7|, dest=11|
APPROVED|,24|,R24P1|,31.584699453551917%|,14.69|,16.299999999999997|,['F1', 'F2', 'F3', 'F5']|,[3, 801, 978, 862, 902, 819, 805, 17]|
APPROVED|,25|,R25P2|,43.71584699453552%|,20.44|,15.999999999999998|,['F3', 'F5', 'F1', 'F2', 'F4']|,[15, 804, 856, 815, 905, 972, 810, 39]|
APPROVED|,26|,R26P1|,53.27868852459016%|,9.09|,7.5|,['F5', 'F2', 'F4']|,[14, 804, 808, 30]|
APPROVED|,27|,R27P1|,44.42622950819672%|,18.77|,13.5|,['F2', 'F4', 'F5']|,[33, 809, 858, 973, 917, 802, 6]|
APPROVED|,28|,R28P2|,26.80327868852459%|,13.749999999999998|,11.4|,['F4']|,[36, 809, 811, 976, 803, 9]|
APPROVED|,29|,R29P1|,38.52459016393443%|,20.150000000000006|,13.6|,['F4', 'F5', 'F3', 'F2', 'F1']|,[6, 802, 988, 894, 954, 812, 45]|
APPROVED|,30|,R30P2|,30.459016393442624%|,16.69|,13.4|,['F1', 'F4']|,[8, 802, 917, 828, 977, 807, 26]|
APPROVED|,31|,R31P2|,40.92896174863388%|,17.080000000000002|,16.7|,['F4', 'F2', 'F3']|,[15, 804, 856, 815, 905, 972, 805, 18]|
APPROVED|,32|,R32P1|,41.868852459016395%|,14.649999999999999|,14.200000000000001|,['F3', 'F5', 'F4', 'F2', 'F1']|,[8, 802, 867, 827, 819, 805, 18]|
APPROVED|,33|,R33P1|,25.934426229508194%|,13.78|,13.999999999999998|,['F4', 'F1', 'F5', 'F3', 'F2']|,[37, 810, 914, 813, 861, 801, 3]|
