DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
142,358,17.141760563380277,16.127464788732382,36.69830345710628%,7.830985915492958,[48.036, 62.036],288.5875
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,1|,NONE|,NONE|,0|,0|,['F2']|,src=2991|, dest=3577|
DENIED|,2|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3']|,src=2106|, dest=2651|
DENIED|,3|,NONE|,NONE|,0|,0|,['F3']|,src=278|, dest=2179|
DENIED|,4|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F1', 'F4']|,src=2579|, dest=840|
DENIED|,5|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F5']|,src=2485|, dest=3825|
DENIED|,6|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=1024|, dest=2339|
APPROVED|,7|,R7P1|,43.63636363636363%|,12.39|,9.6|,['F1', 'F4', 'F3', 'F5', 'F2']|,[2217, 4555, 4485, 4085, 340]|
DENIED|,8|,NONE|,NONE|,0|,0|,['F4']|,src=3828|, dest=2128|
DENIED|,9|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=2669|, dest=3021|
DENIED|,10|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F3']|,src=3368|, dest=3484|
DENIED|,11|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F4', 'F2']|,src=1379|, dest=580|
APPROVED|,12|,R12P1|,45.090909090909086%|,17.92|,13.700000000000001|,['F1', 'F3', 'F2', 'F5']|,[2580, 4645, 4950, 4777, 4604, 4426, 1703]|
APPROVED|,13|,R13P1|,43.18181818181818%|,9.219999999999999|,11.6|,['F1', 'F2', 'F3', 'F4']|,[2349, 4588, 4381, 4283, 4642, 2566]|
DENIED|,14|,NONE|,NONE|,0|,0|,['F1', 'F2']|,src=1282|, dest=3746|
DENIED|,15|,NONE|,NONE|,0|,0|,['F2', 'F5']|,src=3724|, dest=3346|
APPROVED|,16|,R16P1|,42.85714285714285%|,19.709999999999997|,19.200000000000003|,['F4', 'F2', 'F5', 'F1']|,[2532, 4633, 4944, 4302, 4288, 4209, 4370, 4160, 637]|
DENIED|,17|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F2', 'F4', 'F5']|,src=37|, dest=3251|
DENIED|,18|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2', 'F3', 'F4']|,src=3356|, dest=2930|
DENIED|,19|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F3', 'F1', 'F5']|,src=2748|, dest=601|
DENIED|,20|,NONE|,NONE|,0|,0|,['F4', 'F2']|,src=1616|, dest=608|
DENIED|,21|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F2', 'F1']|,src=2043|, dest=3465|
DENIED|,22|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F4']|,src=1264|, dest=3324|
DENIED|,23|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F2']|,src=514|, dest=1948|
DENIED|,24|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F1', 'F5']|,src=2569|, dest=2606|
DENIED|,25|,NONE|,NONE|,0|,0|,['F3', 'F2']|,src=2473|, dest=2783|
DENIED|,26|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F2', 'F5', 'F4']|,src=2553|, dest=957|
APPROVED|,27|,R27P1|,44.18181818181818%|,15.72|,13.699999999999998|,['F2', 'F4', 'F5']|,[2281, 4571, 4053, 4242, 4204, 4452, 1808]|
APPROVED|,28|,R28P1|,34.93506493506494%|,19.25|,18.7|,['F2', 'F4', 'F5']|,[3248, 4812, 4231, 4028, 4597, 4587, 4075, 4555, 2217]|
APPROVED|,29|,R29P1|,38.18181818181819%|,13.32|,12.100000000000001|,['F4']|,[2567, 4642, 4283, 4307, 4033, 132]|
DENIED|,30|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F3', 'F1']|,src=3163|, dest=3345|
DENIED|,31|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=2612|, dest=1469|
APPROVED|,32|,R32P1|,36.81818181818181%|,19.72|,16.5|,['F5', 'F1', 'F4', 'F2', 'F3']|,[3950, 4988, 4057, 4654, 4722, 4247, 4441, 1764]|
DENIED|,33|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1', 'F2']|,src=496|, dest=3057|
DENIED|,34|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F1', 'F4', 'F3']|,src=3513|, dest=2761|
DENIED|,35|,NONE|,NONE|,0|,0|,['F2']|,src=2684|, dest=2222|
DENIED|,36|,NONE|,NONE|,0|,0|,['F5']|,src=2280|, dest=2621|
DENIED|,37|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F2']|,src=323|, dest=3435|
DENIED|,38|,NONE|,NONE|,0|,0|,['F5', 'F3']|,src=717|, dest=3927|
DENIED|,39|,NONE|,NONE|,0|,0|,['F5']|,src=3437|, dest=2708|
DENIED|,40|,NONE|,NONE|,0|,0|,['F3']|,src=3094|, dest=3458|
APPROVED|,41|,R41P1|,31.818181818181817%|,12.580000000000002|,13.999999999999998|,['F3', 'F5']|,[3150, 4788, 4142, 4089, 4775, 4398, 1591]|
DENIED|,42|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F5', 'F2', 'F4']|,src=2082|, dest=448|
DENIED|,43|,NONE|,NONE|,0|,0|,['F1']|,src=2102|, dest=324|
DENIED|,44|,NONE|,NONE|,0|,0|,['F3', 'F2']|,src=1440|, dest=2140|
DENIED|,45|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F3']|,src=2761|, dest=3436|
DENIED|,46|,NONE|,NONE|,0|,0|,['F3', 'F2']|,src=811|, dest=1110|
DENIED|,47|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F2', 'F4', 'F1']|,src=264|, dest=3825|
APPROVED|,48|,R48P1|,38.787878787878796%|,16.64|,16.8|,['F1', 'F2']|,[1109, 4278, 4761, 4137, 4558, 4227, 4474, 1896]|
DENIED|,49|,NONE|,NONE|,0|,0|,['F2', 'F4']|,src=447|, dest=1114|
DENIED|,50|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F4', 'F2', 'F5']|,src=3108|, dest=3948|
DENIED|,51|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5']|,src=361|, dest=2048|
DENIED|,52|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F2', 'F3']|,src=2315|, dest=1325|
DENIED|,53|,NONE|,NONE|,0|,0|,['F2', 'F5']|,src=276|, dest=592|
APPROVED|,54|,R54P1|,40.303030303030305%|,16.480000000000004|,16.1|,['F4']|,[2905, 4727, 4331, 4644, 4448, 4458, 4429, 1714]|
DENIED|,55|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3']|,src=1236|, dest=171|
DENIED|,56|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F4']|,src=2242|, dest=1266|
DENIED|,57|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=3549|, dest=193|
DENIED|,58|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5', 'F3']|,src=2336|, dest=3368|
APPROVED|,59|,R59P1|,41.66666666666667%|,17.61|,16.4|,['F4', 'F1']|,[1250, 4313, 4814, 4673, 4852, 4062, 4763, 3049]|
DENIED|,60|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F2', 'F1']|,src=343|, dest=3613|
DENIED|,61|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1']|,src=2185|, dest=2407|
DENIED|,62|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1', 'F5']|,src=3833|, dest=604|
DENIED|,63|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F4', 'F2', 'F5']|,src=1256|, dest=3829|
DENIED|,64|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F1', 'F3']|,src=281|, dest=2066|
DENIED|,65|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F4', 'F3']|,src=635|, dest=946|
DENIED|,66|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F5', 'F2', 'F4']|,src=825|, dest=1029|
APPROVED|,67|,R67P1|,38.484848484848484%|,18.769999999999996|,17.300000000000004|,['F2', 'F3', 'F5', 'F4', 'F1']|,[2475, 4619, 4174, 4970, 4018, 4108, 4002, 5]|
DENIED|,68|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F3', 'F2']|,src=3004|, dest=3226|
DENIED|,69|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F3', 'F5', 'F1']|,src=479|, dest=3025|
DENIED|,70|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F1']|,src=413|, dest=1607|
DENIED|,71|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F4', 'F5']|,src=1833|, dest=3470|
DENIED|,72|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F1']|,src=2197|, dest=1066|
APPROVED|,73|,R73P1|,44.99999999999999%|,19.51|,16.5|,['F4', 'F3']|,[630, 4158, 4634, 4962, 4124, 4121, 4709, 2836]|
APPROVED|,74|,R74P1|,39.848484848484844%|,17.609999999999996|,16.5|,['F2', 'F4', 'F1']|,[1435, 4359, 4113, 4030, 4032, 4702, 4148, 591]|
APPROVED|,75|,R75P1|,39.090909090909086%|,16.65|,16.5|,['F2']|,[1955, 4489, 4856, 4460, 4670, 4433, 4820, 3278]|
DENIED|,76|,NONE|,NONE|,0|,0|,['F3']|,src=3639|, dest=2028|
DENIED|,77|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5']|,src=1290|, dest=1726|
DENIED|,78|,NONE|,NONE|,0|,0|,['F4']|,src=2104|, dest=1031|
DENIED|,79|,NONE|,NONE|,0|,0|,['F3']|,src=862|, dest=3621|
APPROVED|,80|,R80P1|,45.090909090909086%|,15.39|,13.799999999999999|,['F4', 'F1', 'F2']|,[483, 4121, 4124, 4962, 4634, 4051, 201]|
DENIED|,81|,NONE|,NONE|,0|,0|,['F4', 'F3']|,src=213|, dest=1177|
DENIED|,82|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4', 'F2']|,src=3713|, dest=3043|
DENIED|,83|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F1']|,src=163|, dest=3|
DENIED|,84|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F5', 'F1', 'F2']|,src=272|, dest=2213|
APPROVED|,85|,R85P1|,33.45454545454546%|,13.8|,14.3|,['F2', 'F3', 'F4', 'F1', 'F5']|,[359, 4090, 4002, 4032, 4030, 4048, 192]|
DENIED|,86|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F1', 'F4', 'F2']|,src=452|, dest=3296|
DENIED|,87|,NONE|,NONE|,0|,0|,['F2']|,src=3207|, dest=3431|
APPROVED|,88|,R88P1|,29.272727272727266%|,15.730000000000002|,14.200000000000001|,['F4', 'F5', 'F1', 'F3', 'F2']|,[870, 4218, 4424, 4774, 4773, 4521, 2084]|
DENIED|,89|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4', 'F1', 'F2']|,src=518|, dest=1917|
DENIED|,90|,NONE|,NONE|,0|,0|,['F4', 'F3']|,src=2392|, dest=626|
APPROVED|,91|,R91P1|,43.636363636363626%|,18.91|,17.1|,['F4', 'F1']|,[3397, 4850, 4624, 4473, 4864, 4426, 4604, 2413]|
DENIED|,92|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F2', 'F1', 'F3']|,src=262|, dest=2601|
DENIED|,93|,NONE|,NONE|,0|,0|,['F3', 'F4']|,src=2755|, dest=1999|
APPROVED|,94|,R94P1|,29.242424242424242%|,16.060000000000002|,17.1|,['F1', 'F3', 'F5', 'F4']|,[1906, 4477, 4724, 4019, 4646, 4820, 4058, 230]|
DENIED|,95|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F2', 'F1', 'F4']|,src=280|, dest=3349|
DENIED|,96|,NONE|,NONE|,0|,0|,['F4', 'F5']|,src=2690|, dest=771|
DENIED|,97|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F1', 'F5', 'F4']|,src=2164|, dest=1324|
DENIED|,98|,NONE|,NONE|,0|,0|,['F4']|,src=3970|, dest=2711|
DENIED|,99|,NONE|,NONE|,0|,0|,['F1', 'F5']|,src=3356|, dest=3973|
DENIED|,100|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F2', 'F4']|,src=768|, dest=3790|
APPROVED|,101|,R101P1|,34.09090909090909%|,12.95|,7.9|,['F5', 'F2', 'F3', 'F4', 'F1']|,[1819, 4455, 4166, 661]|
DENIED|,102|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F3', 'F2', 'F4']|,src=282|, dest=2916|
DENIED|,103|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F2']|,src=2701|, dest=3257|
APPROVED|,104|,R104P1|,38.78787878787879%|,15.43|,16.8|,['F2', 'F4', 'F5', 'F1', 'F3']|,[1600, 4400, 4786, 4544, 4513, 4505, 4746, 2981]|
APPROVED|,105|,R105P1|,40.181818181818194%|,17.58|,14.9|,['F4']|,[119, 4030, 4438, 4187, 4591, 4240, 958]|
DENIED|,106|,NONE|,NONE|,0|,0|,['F2', 'F5']|,src=2241|, dest=3305|
DENIED|,107|,NONE|,NONE|,0|,0|,['F3']|,src=993|, dest=1810|
DENIED|,108|,NONE|,NONE|,0|,0|,['F2']|,src=2447|, dest=2771|
DENIED|,109|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1']|,src=2490|, dest=2393|
DENIED|,110|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F4', 'F5', 'F2']|,src=2906|, dest=2217|
DENIED|,111|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F5', 'F1']|,src=3857|, dest=1591|
DENIED|,112|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F5']|,src=450|, dest=1131|
APPROVED|,113|,R113P1|,31.96969696969697%|,17.98|,17.2|,['F2', 'F1']|,[907, 4227, 4020, 4480, 4018, 4108, 4198, 790]|
DENIED|,114|,NONE|,NONE|,0|,0|,['F3', 'F2']|,src=1120|, dest=2904|
DENIED|,115|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F4', 'F5']|,src=689|, dest=1848|
DENIED|,116|,NONE|,NONE|,0|,0|,['F4', 'F2']|,src=2567|, dest=3397|
DENIED|,117|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1']|,src=2329|, dest=2601|
APPROVED|,118|,R118P1|,34.24242424242425%|,18.83|,16.5|,['F4', 'F5', 'F2', 'F3', 'F1']|,[2332, 4583, 4564, 4392, 4751, 4639, 4498, 1992]|
APPROVED|,119|,R119P1|,44.8051948051948%|,17.029999999999998|,18.8|,['F1', 'F5', 'F2']|,[3131, 4783, 4417, 4276, 4697, 4829, 4111, 4393, 1570]|
DENIED|,120|,NONE|,NONE|,0|,0|,['F2', 'F3']|,src=3962|, dest=1979|
APPROVED|,121|,R121P2|,41.55844155844156%|,19.5|,18.900000000000006|,['F4', 'F2', 'F1', 'F3']|,[2795, 4699, 4514, 4435, 4351, 4866, 4376, 4809, 3236]|
DENIED|,122|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F2', 'F1', 'F3']|,src=2740|, dest=2652|
APPROVED|,123|,R123P1|,31.818181818181817%|,16.490000000000002|,14.700000000000001|,['F3', 'F4', 'F5', 'F1', 'F2']|,[427, 4107, 4504, 4321, 4145, 4705, 2820]|
DENIED|,124|,NONE|,NONE|,0|,0|,['F4']|,src=901|, dest=3178|
DENIED|,125|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5', 'F1', 'F3']|,src=991|, dest=3001|
APPROVED|,126|,R126P1|,40.15151515151516%|,17.000000000000004|,15.9|,['F3']|,[866, 4217, 4890, 4398, 4129, 4213, 4641, 2564]|
DENIED|,127|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F5']|,src=3053|, dest=465|
DENIED|,128|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F1', 'F4']|,src=351|, dest=1672|
APPROVED|,129|,R129P1|,30.0%|,19.900000000000002|,17.7|,['F3']|,[3602, 4901, 4869, 4195, 4889, 4743, 4459, 1835]|
DENIED|,130|,NONE|,NONE|,0|,0|,['F2', 'F3']|,src=2340|, dest=531|
DENIED|,131|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F1']|,src=963|, dest=2350|
DENIED|,132|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F1', 'F3']|,src=3646|, dest=2949|
DENIED|,133|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F2']|,src=686|, dest=915|
DENIED|,134|,NONE|,NONE|,0|,0|,['F3', 'F1']|,src=1934|, dest=2428|
APPROVED|,135|,R135P1|,42.36363636363637%|,16.89|,14.1|,['F2', 'F4', 'F5', 'F3']|,[365, 4092, 4621, 4202, 4844, 4364, 1455]|
DENIED|,136|,NONE|,NONE|,0|,0|,['F5']|,src=617|, dest=1987|
APPROVED|,137|,R137P1|,25.272727272727263%|,15.149999999999999|,13.4|,['F4']|,[2010, 4503, 4089, 4151, 4113, 4974, 3893]|
DENIED|,138|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F4', 'F1']|,src=1094|, dest=2244|
DENIED|,139|,NONE|,NONE|,0|,0|,['F4', 'F3']|,src=2670|, dest=1200|
DENIED|,140|,NONE|,NONE|,0|,0|,['F3']|,src=440|, dest=1088|
APPROVED|,141|,R141P4|,40.45454545454545%|,19.580000000000002|,21.5|,['F5', 'F2', 'F1']|,[675, 4169, 4826, 4342, 4401, 4143, 4499, 4803, 4090, 359]|
DENIED|,142|,NONE|,NONE|,0|,0|,['F1', 'F2']|,src=3467|, dest=3130|
DENIED|,143|,NONE|,NONE|,0|,0|,['F2', 'F1']|,src=2635|, dest=979|
APPROVED|,144|,R144P1|,40.45454545454545%|,15.97|,16.2|,['F1', 'F4', 'F5', 'F2']|,[3107, 4777, 4604, 4017, 4647, 4930, 4177, 708]|
DENIED|,145|,NONE|,NONE|,0|,0|,['F1']|,src=2329|, dest=620|
DENIED|,146|,NONE|,NONE|,0|,0|,['F3']|,src=3054|, dest=2451|
DENIED|,147|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5']|,src=1760|, dest=2215|
DENIED|,148|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F3', 'F4', 'F2']|,src=3098|, dest=1388|
DENIED|,149|,NONE|,NONE|,0|,0|,['F1', 'F4']|,src=1927|, dest=345|
DENIED|,150|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2']|,src=96|, dest=2722|
DENIED|,151|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F1', 'F2']|,src=1319|, dest=3293|
DENIED|,152|,NONE|,NONE|,0|,0|,['F1', 'F3']|,src=2622|, dest=2598|
APPROVED|,153|,R153P1|,42.27272727272728%|,17.66|,15.8|,['F1', 'F2', 'F3', 'F4', 'F5']|,[3957, 4990, 4806, 4055, 4818, 4218, 4424, 1693]|
DENIED|,154|,NONE|,NONE|,0|,0|,['F4', 'F2']|,src=1368|, dest=2441|
DENIED|,155|,NONE|,NONE|,0|,0|,['F2', 'F1']|,src=2235|, dest=2976|
