Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;38;23;100;1.16;1.5;0.95
2;25;23;100;2.73;1.5;0.45
3;45;10;100;1.1;1.5;0.16
4;2;39;100;1.58;1.5;0.47
5;22;35;100;2.44;1.5;0.75
6;29;50;100;1.95;1.5;0.42
7;37;42;100;1.46;1.5;0.91
8;49;16;100;1.36;1.5;0.6
9;15;32;100;3.0;1.5;0.59
10;30;48;100;1.26;1.5;0.57
11;22;10;100;1.62;1.5;0.23
12;9;10;100;2.46;1.5;0.59
13;31;40;100;1.63;1.5;0.22
14;32;5;100;1.94;1.5;0.58
15;33;13;100;2.69;1.5;0.76
16;1;8;100;2.99;1.5;0.85
17;1;17;100;1.98;1.5;1.0
18;21;2;100;2.18;1.5;0.74
19;19;50;100;1.89;1.5;0.34
20;22;12;100;2.22;1.5;0.05
21;34;23;100;0.98;1.5;0.12
22;3;17;100;0.86;1.5;0.14
23;9;21;100;0.83;1.5;0.66
24;33;6;100;1.74;1.5;0.72
25;27;29;100;1.77;1.5;0.82
26;49;11;100;1.43;1.5;0.4
27;8;34;100;2.95;1.5;0.95
28;28;46;100;2.29;1.5;0.96
29;16;26;100;1.53;1.5;0.35
30;33;42;100;1.85;1.5;0.24
31;48;24;100;2.49;1.5;0.54
32;46;45;100;1.78;1.5;0.79
33;6;36;100;1.22;1.5;0.98
34;12;40;100;1.64;1.5;0.8
35;30;36;100;2.28;1.5;0.53
36;9;44;100;2.73;1.5;0.61
37;17;2;100;0.76;1.5;0.83
38;12;24;100;2.01;1.5;0.11
39;26;41;100;2.04;1.5;0.81
40;15;50;100;1.49;1.5;0.27
41;6;47;100;1.66;1.5;0.46
42;44;1;100;1.57;1.5;0.79
43;46;31;100;2.56;1.5;0.6
44;5;11;100;0.82;1.5;0.09
45;36;29;100;1.86;1.5;0.48
46;4;40;100;1.79;1.5;0.15
47;10;19;100;2.64;1.5;0.67
48;24;18;100;2.08;1.5;0.15
49;34;4;100;1.61;1.5;0.75
50;19;49;100;2.38;1.5;0.25
51;40;35;100;1.1;1.5;0.47
52;8;6;100;2.63;1.5;0.57
53;30;15;100;1.03;1.5;0.37
54;47;49;100;1.32;1.5;0.62
55;26;38;100;3.0;1.5;0.74
56;21;33;100;1.36;1.5;0.43
57;43;8;100;2.88;1.5;0.28
58;19;8;100;1.44;1.5;0.87
59;4;26;100;2.23;1.5;0.21
60;41;20;100;1.06;1.5;0.27
61;20;46;100;2.85;1.5;0.07
62;42;28;100;1.86;1.5;0.41
63;47;42;100;2.43;1.5;0.09
64;14;39;100;0.91;1.5;0.31
65;9;34;100;1.24;1.5;0.57
66;32;29;100;1.29;1.5;0.43
67;2;37;100;0.78;1.5;0.16
68;20;18;100;2.24;1.5;0.32
69;21;17;100;0.77;1.5;0.73
70;1;41;100;2.18;1.5;0.84
71;1;50;100;2.92;1.5;0.68
72;39;43;100;0.77;1.5;0.42
73;27;23;100;2.66;1.5;0.44
74;28;22;100;2.37;1.5;0.17
75;25;5;100;2.2;1.5;0.31
76;5;29;100;1.87;1.5;0.89
77;30;28;100;2.67;1.5;0.73
78;32;31;100;1.39;1.5;0.24
79;20;11;100;1.5;1.5;0.99
80;35;27;100;2.24;1.5;1.0
81;18;20;100;2.77;1.5;0.03
82;24;36;100;1.85;1.5;0.43
83;18;47;100;1.86;1.5;0.52
84;36;37;100;2.6;1.5;0.37
85;12;46;100;2.13;1.5;0.89
86;40;16;100;2.24;1.5;0.06
87;15;35;100;2.62;1.5;0.01
88;7;31;100;1.95;1.5;0.49
89;42;16;100;2.58;1.5;0.48
90;39;47;100;2.39;1.5;0.99
91;26;28;100;1.06;1.5;0.13
92;23;11;100;2.07;1.5;0.04
93;10;50;100;1.62;1.5;0.75
94;39;31;100;2.49;1.5;0.13
95;44;6;100;1.36;1.5;0.33
96;11;3;100;1.06;1.5;0.24
97;37;22;100;3.0;1.5;0.78
98;34;35;100;2.55;1.5;0.71
99;49;5;100;2.9;1.5;0.16
100;27;41;100;2.09;1.5;0.32
