NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;A;[50, 64];0.9;0.9;0.52
2;A;[50, 64];0.4;1.0;0.42
3;A;[50, 64];0.5;0.9;0.14
4;A;[50, 64];0.3;0.8;0.3
5;A;[50, 64];0.4;0.9;0.02
6;A;[50, 64];0.3;1.0;0.43
7;A;[50, 64];0.2;0.7;0.14
8;A;[50, 64];0.5;0.7;0.37
9;A;[50, 64];0.6;0.9;0.35
10;A;[50, 64];0.3;0.7;0.42
11;A;[50, 64];0.7;0.9;0.49
12;A;[50, 64];0.5;0.6;0.63
13;A;[50, 64];0.5;1.0;0.16
14;A;[50, 64];0.3;0.7;0.51
15;A;[50, 64];0.9;0.5;0.43
16;A;[50, 64];0.5;0.5;0.21
17;A;[50, 64];0.3;0.9;0.54
18;A;[50, 64];0.1;0.7;0.62
19;A;[50, 64];0.8;0.8;0.14
20;A;[50, 64];0.1;0.5;0.35
21;A;[50, 64];0.3;0.5;0.4
22;A;[50, 64];0.4;0.7;0.56
23;A;[50, 64];0.1;0.8;0.25
24;A;[50, 64];0.5;1.0;0.04
25;A;[50, 64];0.3;0.7;0.75
26;A;[50, 64];0.4;0.5;0.53
27;A;[50, 64];0.2;0.8;0.44
28;A;[50, 64];0.7;1.0;0.15
29;A;[50, 64];0.9;0.5;0.66
30;A;[50, 64];0.1;0.8;0.12
31;A;[50, 64];0.1;0.7;0.12
32;A;[50, 64];0.8;0.8;0.06
33;A;[50, 64];0.4;0.6;0.5
34;A;[50, 64];0.4;0.9;0.68
35;A;[50, 64];0.1;0.6;0.2
36;A;[50, 64];0.5;1.0;0.59
37;A;[50, 64];0.5;1.0;0.33
38;A;[50, 64];0.6;0.7;0.23
39;A;[50, 64];0.4;0.8;0.12
40;A;[50, 64];0.7;0.6;0.04
41;A;[50, 64];0.5;0.7;0.21
42;A;[50, 64];0.8;0.6;0.58
43;A;[50, 64];0.1;1.0;0.58
44;A;[50, 64];1.0;0.5;0.34
45;A;[50, 64];0.1;0.8;0.26
46;A;[50, 64];0.8;0.8;0.61
47;A;[50, 64];0.3;0.9;0.7
48;A;[50, 64];0.3;0.8;0.3
49;A;[50, 64];0.9;1.0;0.32
50;A;[50, 64];0.6;0.9;0.31
