requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;36;9;['F5', 'F2', 'F1', 'F3', 'F4'];16;3.25
2;46;49;['F4', 'F5', 'F1', 'F3', 'F2'];10;3.25
3;19;31;['F2', 'F1', 'F3', 'F4'];21;2.8
4;32;26;['F4', 'F2', 'F3', 'F5', 'F1'];18;3.2500000000000004
5;41;27;['F5', 'F2', 'F4', 'F1', 'F3'];21;3.25
6;32;34;['F4'];7;0.55
7;21;22;['F1', 'F4', 'F5'];24;1.8499999999999999
8;50;6;['F4', 'F1', 'F3', 'F5'];14;2.5
9;38;33;['F1', 'F3', 'F5'];18;1.95
10;30;24;['F3', 'F1', 'F2'];19;2.25
11;36;35;['F2', 'F5', 'F3'];7;1.85
12;29;13;['F5', 'F2'];24;1.2
13;42;40;['F5', 'F4', 'F2'];18;1.75
14;22;29;['F1'];12;0.85
15;50;2;['F1', 'F5'];9;1.3
16;42;27;['F3'];25;0.65
17;36;22;['F3', 'F2'];22;1.4
18;39;41;['F1', 'F2'];11;1.6
19;31;27;['F4', 'F3', 'F5', 'F1'];6;2.5
20;49;46;['F2'];18;0.75
21;22;38;['F1', 'F4', 'F2', 'F3', 'F5'];14;3.25
22;9;37;['F5', 'F1'];15;1.3
23;18;49;['F4', 'F3', 'F1', 'F5'];15;2.5000000000000004
24;18;41;['F4', 'F3', 'F2', 'F1', 'F5'];22;3.2500000000000004
25;5;17;['F4', 'F3'];9;1.2000000000000002
26;39;34;['F3'];5;0.65
27;33;27;['F2'];23;0.75
28;37;15;['F4', 'F5', 'F2'];10;1.75
29;42;8;['F2', 'F3', 'F4', 'F1', 'F5'];14;3.25
30;39;48;['F3', 'F2', 'F5'];5;1.8499999999999999
31;23;37;['F4', 'F2', 'F5', 'F1', 'F3'];20;3.25
32;14;9;['F5'];20;0.45
33;2;42;['F2', 'F4', 'F3'];14;1.9500000000000002
34;17;20;['F4', 'F1'];16;1.4
35;13;35;['F1', 'F4'];18;1.4
36;49;40;['F3', 'F1', 'F5', 'F2', 'F4'];6;3.25
37;49;9;['F1'];20;0.85
38;8;41;['F2', 'F5', 'F3'];7;1.85
39;41;12;['F1', 'F4', 'F3', 'F5'];21;2.5
40;17;39;['F4'];16;0.55
41;3;46;['F4', 'F1'];17;1.4
42;13;31;['F2', 'F4', 'F5', 'F1'];22;2.6
43;41;47;['F5', 'F4', 'F2', 'F3', 'F1'];16;3.25
44;44;10;['F4', 'F2', 'F5', 'F1', 'F3'];20;3.25
45;43;9;['F3', 'F2', 'F4', 'F1'];23;2.8
46;50;39;['F3', 'F1'];18;1.5
47;35;5;['F1', 'F4', 'F5', 'F2'];23;2.5999999999999996
48;42;23;['F4', 'F2'];13;1.3
49;39;7;['F1', 'F4'];6;1.4
50;47;6;['F5'];15;0.45
51;5;41;['F1'];7;0.85
52;43;35;['F3', 'F1'];23;1.5
53;22;49;['F4'];19;0.55
54;11;48;['F4', 'F5'];16;1.0
55;46;18;['F1', 'F5', 'F4', 'F3', 'F2'];12;3.25
56;4;32;['F3', 'F2', 'F4', 'F1', 'F5'];9;3.25
57;4;1;['F5'];25;0.45
58;29;16;['F2', 'F5', 'F4', 'F3', 'F1'];23;3.25
59;39;5;['F1'];19;0.85
60;9;1;['F2'];11;0.75
61;35;9;['F3', 'F2', 'F1', 'F5', 'F4'];10;3.25
62;50;5;['F2', 'F5'];15;1.2
63;7;40;['F5'];20;0.45
64;24;6;['F4'];8;0.55
65;6;20;['F4', 'F5', 'F3', 'F2'];9;2.4
66;20;37;['F5', 'F3', 'F2', 'F1', 'F4'];11;3.25
67;13;22;['F1'];24;0.85
68;50;19;['F4', 'F2'];13;1.3
69;43;1;['F5', 'F1', 'F2', 'F3'];11;2.6999999999999997
70;30;29;['F1'];19;0.85
71;35;20;['F2', 'F5', 'F1', 'F4'];12;2.5999999999999996
72;47;49;['F1', 'F2', 'F3', 'F4'];18;2.8
73;17;4;['F2', 'F3', 'F1', 'F5'];14;2.7
74;11;8;['F1', 'F4', 'F2'];13;2.15
75;32;14;['F5', 'F3'];24;1.1
76;23;40;['F1'];14;0.85
77;23;17;['F2', 'F5', 'F3', 'F1'];5;2.7
78;5;41;['F3'];21;0.65
79;7;49;['F2', 'F3', 'F1'];20;2.25
80;38;18;['F2', 'F4'];12;1.3
81;16;50;['F4', 'F1', 'F2'];21;2.15
82;9;19;['F2', 'F4', 'F3', 'F1', 'F5'];16;3.2500000000000004
83;11;33;['F5'];22;0.45
84;35;7;['F2', 'F5', 'F3', 'F4', 'F1'];15;3.2500000000000004
85;6;4;['F2', 'F3', 'F5', 'F1'];6;2.6999999999999997
86;14;27;['F2', 'F5', 'F4'];6;1.75
87;36;35;['F4', 'F2', 'F1', 'F5'];11;2.6
88;12;26;['F3', 'F2', 'F4', 'F1', 'F5'];23;3.25
89;46;23;['F1', 'F5', 'F2'];16;2.05
90;8;31;['F5', 'F4', 'F3'];13;1.65
91;29;47;['F3', 'F5', 'F2'];9;1.85
92;4;46;['F1'];21;0.85
93;4;48;['F2', 'F5', 'F3', 'F1', 'F4'];20;3.25
94;26;4;['F1', 'F5', 'F3'];14;1.9500000000000002
95;44;19;['F4', 'F2'];18;1.3
96;22;3;['F4', 'F2', 'F5'];19;1.75
97;22;15;['F3', 'F5', 'F2', 'F4', 'F1'];10;3.2500000000000004
98;50;12;['F3'];10;0.65
99;29;12;['F5', 'F4'];23;1.0
100;6;20;['F5'];13;0.45
101;46;24;['F3', 'F2'];8;1.4
102;28;46;['F3'];11;0.65
103;14;2;['F2', 'F3', 'F4'];9;1.95
104;46;44;['F3'];19;0.65
105;19;34;['F1', 'F2'];12;1.6
106;3;32;['F1', 'F3', 'F2', 'F4'];18;2.8
107;16;5;['F3', 'F2', 'F1', 'F5', 'F4'];7;3.25
108;30;33;['F1', 'F4'];10;1.4
109;2;13;['F3', 'F4', 'F2', 'F5', 'F1'];6;3.2500000000000004
110;2;14;['F2'];22;0.75
111;15;11;['F4', 'F2', 'F1'];14;2.15
112;17;43;['F2', 'F3'];25;1.4
113;23;18;['F2', 'F1'];12;1.6
114;50;35;['F2', 'F4', 'F5'];22;1.75
115;46;22;['F4'];20;0.55
116;42;5;['F3', 'F2', 'F5', 'F1'];11;2.6999999999999997
117;9;38;['F4', 'F2'];14;1.3
118;3;49;['F2', 'F4'];6;1.3
119;46;10;['F2', 'F4', 'F1', 'F5'];6;2.6
120;48;7;['F3', 'F4'];14;1.2000000000000002
121;46;41;['F3', 'F1', 'F5', 'F2'];22;2.7
