DATASET=0-25,TYPE=WITH_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM, PBS], MEAN LINK BANDWIDTH
33,67,14.780909090909093,11.693939393939392,45.58816508167157%,5.818181818181818,[24.9, 36.1],736.0666666666667
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED,1,NONE,NONE,0,0,['F3', 'F5', 'F1'],src=13, dest=15
APPROVED,2,R2P2,50.07566718995291%,16.76,14.399999999999999,['F1', 'F4', 'F5'],[4, 10, 16, 15, 12, 11, 9]
DENIED,3,NONE,NONE,0,0,['F1', 'F5', 'F3'],src=5, dest=13
APPROVED,4,R4P2,40.789239332096464%,16.900000000000002,12.100000000000001,['F2', 'F5', 'F4'],[8, 9, 11, 10, 4, 3]
DENIED,5,NONE,NONE,0,0,['F4', 'F3', 'F2'],src=12, dest=13
DENIED,6,NONE,NONE,0,0,['F3', 'F4', 'F1'],src=3, dest=13
APPROVED,7,R7P3,33.496145124716556%,13.6,9.799999999999999,['F2', 'F4', 'F5'],[3, 4, 10, 11, 12]
APPROVED,8,R8P3,46.42300556586271%,17.7,12.3,['F2', 'F5', 'F1'],[1, 3, 4, 10, 11, 9]
APPROVED,9,R9P1,40.49115646258504%,12.22,9.799999999999999,['F2', 'F3', 'F5'],[4, 10, 11, 12, 15]
DENIED,10,NONE,NONE,0,0,['F4', 'F2', 'F5'],src=13, dest=6
DENIED,11,NONE,NONE,0,0,['F2', 'F1', 'F5'],src=9, dest=14
DENIED,12,NONE,NONE,0,0,['F5', 'F1', 'F4'],src=6, dest=16
APPROVED,13,R13P2,46.44364207221351%,19.820000000000004,14.3,['F5', 'F4', 'F1'],[8, 9, 11, 10, 4, 3, 1]
DENIED,14,NONE,NONE,0,0,['F2', 'F3', 'F1'],src=2, dest=5
DENIED,15,NONE,NONE,0,0,['F5', 'F3', 'F1'],src=12, dest=14
DENIED,16,NONE,NONE,0,0,['F3', 'F2', 'F1'],src=12, dest=11
APPROVED,17,R17P1,45.30022675736961%,12.190000000000001,10.500000000000002,['F3', 'F4', 'F5'],[9, 11, 10, 4, 2]
DENIED,18,NONE,NONE,0,0,['F5', 'F2', 'F3'],src=15, dest=6
APPROVED,19,R19P3,39.507482993197286%,14.580000000000002,10.1,['F5', 'F1', 'F4'],[3, 4, 10, 11, 9]
APPROVED,20,R20P2,49.12562358276644%,10.620000000000001,9.7,['F5', 'F3', 'F1'],[10, 16, 15, 12, 11]
DENIED,21,NONE,NONE,0,0,['F3', 'F2', 'F1'],src=16, dest=12
DENIED,22,NONE,NONE,0,0,['F3', 'F2', 'F4'],src=10, dest=13
DENIED,23,NONE,NONE,0,0,['F1', 'F5', 'F3'],src=12, dest=14
DENIED,24,NONE,NONE,0,0,['F2', 'F1', 'F4'],src=13, dest=1
DENIED,25,NONE,NONE,0,0,['F1', 'F3', 'F2'],src=5, dest=2
DENIED,26,NONE,NONE,0,0,['F1', 'F5', 'F3'],src=11, dest=12
DENIED,27,NONE,NONE,0,0,['F1', 'F2', 'F4'],src=6, dest=15
DENIED,28,NONE,NONE,0,0,['F1', 'F2', 'F3'],src=13, dest=5
DENIED,29,NONE,NONE,0,0,['F4', 'F1', 'F5'],src=10, dest=6
DENIED,30,NONE,NONE,0,0,['F3', 'F5', 'F4'],src=2, dest=4
DENIED,31,NONE,NONE,0,0,['F2', 'F3', 'F5'],src=6, dest=11
DENIED,32,NONE,NONE,0,0,['F3', 'F5', 'F4'],src=13, dest=12
APPROVED,33,R33P3,43.114285714285714%,14.86,9.9,['F1', 'F4', 'F2'],[1, 3, 4, 10, 11]
APPROVED,34,R34P2,46.502494331065755%,13.23,9.5,['F4', 'F1', 'F3'],[8, 9, 11, 12, 15]
DENIED,35,NONE,NONE,0,0,['F2', 'F5', 'F3'],src=12, dest=10
APPROVED,36,R36P2,48.032653061224494%,13.92,11.999999999999998,['F4', 'F2', 'F5'],[4, 10, 16, 15, 12, 11]
APPROVED,37,R37P1,48.141950113378684%,9.96,9.7,['F3', 'F2', 'F1'],[16, 10, 11, 12, 15]
APPROVED,38,R38P2,49.34421768707483%,14.329999999999998,9.700000000000001,['F4', 'F3', 'F5'],[1, 3, 4, 10, 7]
DENIED,39,NONE,NONE,0,0,['F5', 'F4', 'F3'],src=11, dest=6
DENIED,40,NONE,NONE,0,0,['F1', 'F4', 'F5'],src=2, dest=4
APPROVED,41,R41P1,45.349907235621515%,15.94,12.299999999999999,['F3', 'F5', 'F1'],[11, 10, 4, 2, 1, 3]
DENIED,42,NONE,NONE,0,0,['F5', 'F2', 'F4'],src=9, dest=8
DENIED,43,NONE,NONE,0,0,['F1', 'F4', 'F5'],src=8, dest=13
DENIED,44,NONE,NONE,0,0,['F3', 'F1', 'F4'],src=16, dest=6
DENIED,45,NONE,NONE,0,0,['F3', 'F5', 'F1'],src=16, dest=6
DENIED,46,NONE,NONE,0,0,['F3', 'F4', 'F2'],src=13, dest=3
DENIED,47,NONE,NONE,0,0,['F4', 'F1', 'F5'],src=4, dest=12
APPROVED,48,R48P2,48.21150278293134%,17.3,12.1,['F4', 'F1', 'F3'],[7, 10, 4, 3, 1, 2]
DENIED,49,NONE,NONE,0,0,['F4', 'F2', 'F3'],src=12, dest=5
DENIED,50,NONE,NONE,0,0,['F2', 'F5', 'F4'],src=4, dest=6
DENIED,51,NONE,NONE,0,0,['F3', 'F1', 'F4'],src=7, dest=11
DENIED,52,NONE,NONE,0,0,['F3', 'F4', 'F5'],src=13, dest=12
APPROVED,53,R53P3,47.12464678178965%,18.030000000000005,14.4,['F1', 'F4', 'F5'],[2, 4, 10, 11, 12, 15, 16]
APPROVED,54,R54P2,48.03265306122449%,12.92,12.000000000000002,['F1', 'F4', 'F3'],[11, 12, 15, 16, 10, 4]
DENIED,55,NONE,NONE,0,0,['F1', 'F3', 'F2'],src=1, dest=2
DENIED,56,NONE,NONE,0,0,['F1', 'F2', 'F5'],src=12, dest=13
APPROVED,57,R57P1,40.49115646258504%,11.22,9.8,['F4', 'F1', 'F5'],[15, 12, 11, 10, 4]
DENIED,58,NONE,NONE,0,0,['F1', 'F3', 'F5'],src=11, dest=15
DENIED,59,NONE,NONE,0,0,['F1', 'F4', 'F5'],src=10, dest=4
DENIED,60,NONE,NONE,0,0,['F2', 'F1', 'F3'],src=9, dest=8
DENIED,61,NONE,NONE,0,0,['F4', 'F3', 'F5'],src=12, dest=5
APPROVED,62,R62P3,41.594063079777364%,15.560000000000002,12.600000000000001,['F4', 'F1', 'F3'],[2, 4, 10, 11, 12, 14]
DENIED,63,NONE,NONE,0,0,['F2', 'F1', 'F5'],src=5, dest=16
DENIED,64,NONE,NONE,0,0,['F1', 'F3', 'F2'],src=14, dest=11
APPROVED,65,R65P1,47.8140589569161%,11.66,9.7,['F1', 'F3', 'F2'],[12, 11, 10, 16, 15]
APPROVED,66,R66P3,47.12464678178965%,18.030000000000005,14.4,['F1', 'F5', 'F3'],[2, 4, 10, 11, 12, 15, 16]
APPROVED,67,R67P2,49.12562358276644%,10.62,9.700000000000001,['F4', 'F5', 'F2'],[11, 12, 15, 16, 10]
APPROVED,68,R68P3,46.44364207221349%,21.419999999999998,14.3,['F4', 'F2', 'F5'],[1, 3, 4, 10, 11, 9, 8]
DENIED,69,NONE,NONE,0,0,['F2', 'F4', 'F3'],src=9, dest=7
DENIED,70,NONE,NONE,0,0,['F3', 'F2', 'F4'],src=7, dest=15
APPROVED,71,R71P2,48.03265306122449%,12.92,12.000000000000002,['F1', 'F5', 'F2'],[11, 12, 15, 16, 10, 4]
APPROVED,72,R72P2,48.569202226345084%,13.21,12.100000000000001,['F1', 'F4', 'F5'],[15, 16, 10, 11, 12, 14]
APPROVED,73,R73P2,46.42300556586271%,16.3,12.3,['F1', 'F4', 'F2'],[9, 11, 10, 4, 3, 1]
APPROVED,74,R74P2,50.32789115646259%,12.02,9.700000000000001,['F3', 'F2', 'F1'],[16, 15, 12, 11, 9]
APPROVED,75,R75P2,43.442176870748305%,13.67,9.9,['F1', 'F5', 'F3'],[8, 9, 11, 12, 14]
DENIED,76,NONE,NONE,0,0,['F1', 'F3', 'F5'],src=14, dest=16
DENIED,77,NONE,NONE,0,0,['F5', 'F2', 'F1'],src=9, dest=8
DENIED,78,NONE,NONE,0,0,['F5', 'F2', 'F1'],src=5, dest=3
APPROVED,79,R79P2,41.752276295133434%,19.09,14.4,['F4', 'F5', 'F1'],[12, 11, 10, 4, 3, 1, 2]
DENIED,80,NONE,NONE,0,0,['F1', 'F2', 'F4'],src=13, dest=10
DENIED,81,NONE,NONE,0,0,['F1', 'F4', 'F2'],src=13, dest=6
APPROVED,82,R82P3,49.9243328100471%,14.82,14.400000000000002,['F3', 'F5', 'F2'],[11, 12, 15, 16, 10, 4, 2]
DENIED,83,NONE,NONE,0,0,['F1', 'F2', 'F4'],src=10, dest=13
DENIED,84,NONE,NONE,0,0,['F2', 'F4', 'F1'],src=15, dest=7
DENIED,85,NONE,NONE,0,0,['F3', 'F5', 'F2'],src=12, dest=1
DENIED,86,NONE,NONE,0,0,['F4', 'F1', 'F5'],src=4, dest=3
DENIED,87,NONE,NONE,0,0,['F2', 'F3', 'F1'],src=11, dest=7
DENIED,88,NONE,NONE,0,0,['F1', 'F5', 'F2'],src=7, dest=8
DENIED,89,NONE,NONE,0,0,['F1', 'F2', 'F4'],src=14, dest=4
DENIED,90,NONE,NONE,0,0,['F5', 'F4', 'F1'],src=4, dest=5
DENIED,91,NONE,NONE,0,0,['F4', 'F5', 'F1'],src=13, dest=10
DENIED,92,NONE,NONE,0,0,['F4', 'F5', 'F3'],src=5, dest=1
DENIED,93,NONE,NONE,0,0,['F1', 'F2', 'F4'],src=5, dest=13
APPROVED,94,R94P2,44.723933209647484%,14.13,12.000000000000002,['F4', 'F5', 'F2'],[16, 15, 12, 11, 10, 4]
DENIED,95,NONE,NONE,0,0,['F3', 'F4', 'F2'],src=13, dest=10
APPROVED,96,R96P3,43.11428571428572%,18.220000000000002,13.999999999999998,['F2', 'F1', 'F3'],[3, 4, 10, 11, 12, 15, 16]
DENIED,97,NONE,NONE,0,0,['F5', 'F4', 'F1'],src=14, dest=9
DENIED,98,NONE,NONE,0,0,['F4', 'F3', 'F5'],src=9, dest=5
DENIED,99,NONE,NONE,0,0,['F1', 'F3', 'F5'],src=12, dest=15
DENIED,100,NONE,NONE,0,0,['F1', 'F4', 'F5'],src=14, dest=8
