requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;6;3;['F2', 'F4', 'F1', 'F5'];5
2;17;5;['F5', 'F3', 'F4'];5
3;9;12;['F2', 'F3', 'F6', 'F5'];5
4;12;2;['F4', 'F6', 'F1', 'F3', 'F2'];5
5;15;18;['F6', 'F3', 'F4', 'F1'];5
6;16;2;['F4', 'F6', 'F1', 'F5', 'F2'];5
7;9;2;['F4'];5
8;5;15;['F5'];5
9;6;11;['F6', 'F5', 'F2', 'F1'];5
10;7;10;['F4', 'F1', 'F3', 'F2'];5
11;5;17;['F6'];5
12;14;13;['F4'];5
13;13;20;['F1', 'F6', 'F3', 'F4'];5
14;1;7;['F1', 'F3'];5
15;10;12;['F3', 'F6'];5
16;10;13;['F6', 'F4', 'F1', 'F3', 'F2'];5
17;15;2;['F6', 'F1', 'F4', 'F2'];5
18;19;8;['F6', 'F3'];5
19;20;18;['F3'];5
20;16;9;['F1', 'F2', 'F3'];5
21;15;2;['F3'];5
22;3;7;['F2'];5
23;9;12;['F4', 'F3'];5
24;19;14;['F1', 'F2', 'F3', 'F4', 'F6'];5
25;6;9;['F5', 'F3', 'F4', 'F6'];5
26;18;11;['F4', 'F5'];5
27;18;5;['F3', 'F4', 'F2', 'F5'];5
28;16;2;['F3', 'F4', 'F6'];5
29;10;20;['F6', 'F3', 'F4'];5
30;9;1;['F6'];5
31;5;1;['F2', 'F3', 'F4', 'F5'];5
32;1;18;['F6', 'F2', 'F4', 'F5', 'F1'];5
33;18;7;['F4', 'F6', 'F5'];5
34;18;13;['F6', 'F2', 'F3', 'F5', 'F1'];5
35;19;14;['F1', 'F5', 'F4', 'F2'];5
36;8;5;['F4', 'F5', 'F6'];5
37;20;3;['F3'];5
38;19;15;['F3', 'F6', 'F2'];5
39;14;4;['F6', 'F4', 'F5'];5
40;16;18;['F1', 'F2', 'F4', 'F3'];5
41;2;9;['F5', 'F2', 'F3', 'F1'];5
42;20;1;['F6', 'F3'];5
43;3;5;['F4', 'F3', 'F1'];5
44;16;9;['F3'];5
45;9;10;['F2', 'F1'];5
46;5;20;['F2', 'F1', 'F4', 'F3'];5
47;15;19;['F3', 'F1'];5
48;17;12;['F5', 'F4', 'F3'];5
49;2;19;['F2'];5
50;5;1;['F2', 'F6', 'F1', 'F5', 'F4'];5
51;6;15;['F1', 'F3', 'F2', 'F4'];5
52;12;15;['F4', 'F1'];5
53;19;6;['F6'];5
54;18;16;['F3'];5
55;3;11;['F6', 'F5'];5
56;13;8;['F6'];5
57;12;18;['F5', 'F6', 'F4', 'F2'];5
58;5;7;['F1'];5
59;15;10;['F5'];5
60;10;17;['F1', 'F4', 'F3'];5
61;6;7;['F4'];5
62;16;11;['F5', 'F2', 'F3', 'F6'];5
63;17;1;['F3'];5
64;20;7;['F1', 'F6'];5
65;10;9;['F2', 'F1'];5
66;4;3;['F1', 'F2'];5
67;13;1;['F5', 'F6', 'F4'];5
68;13;12;['F2', 'F4', 'F6', 'F5'];5
69;12;18;['F4'];5
70;20;17;['F5', 'F4', 'F6'];5
71;2;12;['F4', 'F2'];5
72;6;5;['F6', 'F3', 'F2', 'F1'];5
73;6;10;['F6', 'F5', 'F3'];5
74;4;9;['F2'];5
75;11;8;['F5', 'F2', 'F4'];5
76;20;19;['F6', 'F1'];5
77;16;20;['F3'];5
78;19;10;['F2', 'F4'];5
79;13;7;['F5', 'F6'];5
80;2;1;['F5', 'F2', 'F1', 'F6', 'F4'];5
81;1;15;['F1', 'F6'];5
82;18;1;['F5', 'F6'];5
83;8;11;['F6', 'F1', 'F2'];5
84;11;1;['F4', 'F1', 'F2', 'F5'];5
85;18;4;['F6'];5
86;8;17;['F1', 'F3', 'F6', 'F5'];5
87;20;17;['F6', 'F3', 'F4', 'F5'];5
88;4;20;['F5', 'F3'];5
89;9;8;['F5', 'F4', 'F6', 'F2'];5
90;18;9;['F2', 'F4', 'F5', 'F1'];5
91;9;5;['F4'];5
92;18;1;['F2', 'F5'];5
93;19;2;['F6', 'F4'];5
94;3;7;['F4', 'F1', 'F6'];5
95;8;5;['F5', 'F2', 'F6', 'F3'];5
96;3;4;['F2', 'F4', 'F3'];5
97;15;1;['F3', 'F1'];5
98;20;3;['F5', 'F4', 'F6', 'F3'];5
99;14;16;['F5'];5
100;11;15;['F1', 'F6'];5
101;6;12;['F5'];5
102;10;1;['F6', 'F2', 'F5'];5
103;6;12;['F3', 'F5', 'F4', 'F1'];5
104;7;18;['F1', 'F3', 'F5', 'F2', 'F4', 'F6'];5
105;20;6;['F6'];5
106;20;14;['F2', 'F6', 'F5', 'F3'];5
107;15;1;['F2', 'F1', 'F3', 'F5'];5
108;10;1;['F3', 'F1'];5
109;20;9;['F4', 'F3', 'F2'];5
110;19;6;['F1', 'F6', 'F5', 'F2'];5
111;14;13;['F5'];5
112;6;8;['F4', 'F3', 'F5'];5
113;10;5;['F1', 'F5'];5
114;8;3;['F6', 'F4'];5
115;13;6;['F3'];5
116;15;3;['F4', 'F3', 'F2'];5
117;9;10;['F6', 'F2', 'F1', 'F5'];5
118;9;17;['F1', 'F6', 'F3'];5
119;18;20;['F3', 'F5', 'F2', 'F4'];5
120;20;15;['F6', 'F4', 'F2'];5
121;19;6;['F5', 'F6', 'F1'];5
122;15;19;['F2'];5
123;9;12;['F1', 'F3', 'F4'];5
124;12;18;['F1'];5
125;14;1;['F3', 'F5'];5
126;14;19;['F4', 'F6', 'F5', 'F2', 'F1'];5
127;20;4;['F5', 'F2'];5
128;20;16;['F2', 'F1', 'F6'];5
129;15;4;['F3', 'F1'];5
130;9;14;['F2', 'F4'];5
131;8;12;['F6', 'F2', 'F1'];5
132;7;19;['F4', 'F3'];5
133;16;10;['F4', 'F1', 'F2'];5
134;20;7;['F3', 'F1', 'F6'];5
135;14;4;['F5', 'F3'];5
136;13;5;['F5', 'F2', 'F4'];5
137;5;19;['F1'];5
138;16;4;['F1', 'F5'];5
139;3;15;['F5', 'F2'];5
140;10;19;['F6', 'F2', 'F5'];5
141;3;9;['F3', 'F5', 'F6'];5
142;3;2;['F5', 'F4', 'F2', 'F3'];5
143;7;11;['F4', 'F6', 'F5', 'F3'];5
144;12;2;['F2', 'F3', 'F4'];5
145;1;6;['F5'];5
146;4;8;['F2', 'F6', 'F4'];5
147;15;9;['F4', 'F3', 'F5', 'F1'];5
148;9;17;['F6', 'F1', 'F4'];5
149;7;3;['F4', 'F5', 'F2'];5
150;8;11;['F6', 'F1'];5
151;17;1;['F1', 'F6'];5
152;2;6;['F2'];5
153;9;14;['F2', 'F3'];5
154;4;20;['F5', 'F3', 'F1'];5
155;7;4;['F5', 'F1', 'F2'];5
156;8;3;['F4', 'F2'];5
157;1;20;['F1', 'F3', 'F4'];5
158;7;6;['F2', 'F4'];5
159;15;16;['F4', 'F1'];5
160;3;19;['F5', 'F4', 'F2', 'F3'];5
161;14;13;['F6', 'F4', 'F2', 'F3', 'F5'];5
162;8;16;['F4', 'F2', 'F5'];5
163;11;8;['F6', 'F5', 'F1', 'F4'];5
164;20;17;['F5', 'F6'];5
165;9;5;['F1', 'F3', 'F2', 'F4'];5
166;8;5;['F1', 'F6', 'F2', 'F5'];5
167;15;16;['F1', 'F5', 'F3', 'F4'];5
168;3;7;['F3', 'F6'];5
169;12;7;['F3', 'F5'];5
170;12;14;['F2', 'F1', 'F5', 'F6'];5
171;20;9;['F6'];5
172;13;14;['F6', 'F1', 'F5', 'F4'];5
173;6;4;['F3', 'F2'];5
174;20;11;['F2'];5
175;18;7;['F1', 'F3'];5
176;4;10;['F4', 'F6'];5
177;6;9;['F4', 'F3', 'F5', 'F6'];5
178;8;19;['F5', 'F6'];5
179;9;16;['F3', 'F2', 'F6'];5
180;6;11;['F5', 'F3', 'F2'];5
181;3;13;['F1', 'F2', 'F3'];5
182;18;20;['F4', 'F5', 'F3', 'F2'];5
183;11;5;['F5', 'F2', 'F1', 'F6'];5
184;17;11;['F2', 'F3', 'F6'];5
185;11;2;['F1', 'F4', 'F2'];5
186;1;4;['F4', 'F3'];5
187;8;14;['F3', 'F1', 'F4'];5
188;11;7;['F4'];5
189;6;17;['F4', 'F3', 'F5', 'F6'];5
190;10;2;['F2', 'F5', 'F3'];5
191;8;13;['F3', 'F1', 'F5'];5
192;4;20;['F5', 'F6', 'F4'];5
193;15;7;['F1', 'F6', 'F3', 'F2'];5
194;12;8;['F3'];5
195;18;19;['F3', 'F5', 'F4', 'F2', 'F1'];5
196;5;2;['F1', 'F6', 'F4'];5
