DATASET=TINY,TYPE=WITH_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
170,80,8.663411764705884,7.325294117647059,36.22102217936356%,3.876470588235294,[21.14, 35.14],27.35
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,42.868852459016395%|,10.61|,7.9|,['F5', 'F2', 'F1', 'F3', 'F4']|,[36, 6, 44, 9]|
APPROVED|,2|,R2P1|,44.34426229508197%|,11.579999999999998|,7.7|,['F4', 'F5', 'F1', 'F3', 'F2']|,[46, 20, 11, 49]|
APPROVED|,3|,R3P3|,13.803278688524589%|,14.510000000000002|,10.2|,['F2', 'F1', 'F3', 'F4']|,[19, 49, 5, 32, 31]|
APPROVED|,4|,R4P4|,19.704918032786882%|,11.79|,9.1|,['F4', 'F2', 'F3', 'F5', 'F1']|,[32, 31, 40, 16, 26]|
APPROVED|,5|,R5P1|,32.78688524590164%|,4.69|,3.0|,['F5', 'F2', 'F4', 'F1', 'F3']|,[41, 27]|
APPROVED|,6|,R6P1|,34.50819672131148%|,11.17|,7.3|,['F4']|,[32, 15, 35, 34]|
APPROVED|,7|,R7P1|,42.868852459016395%|,8.76|,7.7|,['F1', 'F4', 'F5']|,[21, 2, 37, 22]|
APPROVED|,8|,R8P2|,31.557377049180328%|,10.36|,7.9|,['F4', 'F1', 'F3', 'F5']|,[50, 19, 8, 6]|
APPROVED|,9|,R9P2|,39.967213114754095%|,12.370000000000001|,9.4|,['F1', 'F3', 'F5']|,[38, 26, 28, 42, 33]|
APPROVED|,10|,R10P1|,15.901639344262295%|,5.55|,5.6|,['F3', 'F1', 'F2']|,[30, 48, 24]|
APPROVED|,11|,R11P1|,33.77049180327869%|,9.03|,7.3999999999999995|,['F2', 'F5', 'F3']|,[36, 30, 15, 35]|
APPROVED|,12|,R12P1|,46.852459016393446%|,11.51|,10.1|,['F5', 'F2']|,[29, 36, 6, 33, 13]|
APPROVED|,13|,R13P1|,28.032786885245898%|,8.82|,4.699999999999999|,['F5', 'F4', 'F2']|,[42, 16, 40]|
APPROVED|,14|,R14P1|,46.55737704918033%|,8.450000000000001|,7.1000000000000005|,['F1']|,[22, 35, 27, 29]|
APPROVED|,15|,R15P1|,44.8360655737705%|,9.360000000000001|,8.2|,['F1', 'F5']|,[50, 1, 17, 2]|
APPROVED|,16|,R16P4|,29.737704918032783%|,11.26|,9.1|,['F3']|,[42, 16, 40, 35, 27]|
APPROVED|,17|,R17P1|,49.344262295081975%|,8.0|,5.7|,['F3', 'F2']|,[36, 37, 22]|
APPROVED|,18|,R18P4|,28.557377049180328%|,11.360000000000001|,9.5|,['F1', 'F2']|,[39, 31, 46, 20, 41]|
APPROVED|,19|,R19P1|,20.491803278688522%|,7.170000000000001|,7.2|,['F4', 'F3', 'F5', 'F1']|,[31, 40, 35, 27]|
APPROVED|,20|,R20P1|,44.34426229508197%|,9.18|,7.7|,['F2']|,[49, 11, 20, 46]|
APPROVED|,21|,R21P1|,36.9672131147541%|,11.03|,7.4|,['F1', 'F4', 'F2', 'F3', 'F5']|,[22, 28, 26, 38]|
APPROVED|,22|,R22P2|,37.704918032786885%|,6.490000000000001|,7.9|,['F5', 'F1']|,[9, 21, 2, 37]|
APPROVED|,23|,R23P1|,54.59016393442623%|,5.880000000000001|,5.6|,['F4', 'F3', 'F1', 'F5']|,[18, 47, 49]|
APPROVED|,24|,R24P1|,39.50819672131148%|,4.9|,4.9|,['F4', 'F3', 'F2', 'F1', 'F5']|,[18, 20, 41]|
APPROVED|,25|,R25P1|,30.08196721311476%|,5.74|,8.1|,['F4', 'F3']|,[5, 11, 3, 17]|
APPROVED|,26|,R26P1|,43.85245901639344%|,8.4|,7.9|,['F3']|,[39, 43, 8, 34]|
APPROVED|,27|,R27P1|,52.36065573770492%|,9.29|,9.9|,['F2']|,[33, 6, 36, 29, 27]|
APPROVED|,28|,R28P1|,36.9672131147541%|,9.01|,7.8|,['F4', 'F5', 'F2']|,[37, 36, 30, 15]|
APPROVED|,29|,R29P1|,47.049180327868854%|,11.02|,7.4|,['F2', 'F3', 'F4', 'F1', 'F5']|,[42, 33, 6, 8]|
APPROVED|,30|,R30P1|,35.83606557377049%|,11.22|,10.2|,['F3', 'F2', 'F5']|,[39, 47, 18, 24, 48]|
