DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
63,187,16.334920634920625,14.720634920634922,28.415258503484534%,7.2063492063492065,[42.5, 56.5],144.0125
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,31.990542244640608%|,19.610000000000003|,14.700000000000001|,['F1', 'F4']|,[201, 13, 2, 3, 4, 5, 169]|
DENIED|,2|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4']|,src=412|,dest=564|
APPROVED|,3|,R3P1|,22.68943533697632%|,14.349999999999998|,9.6|,['F4', 'F2']|,[443, 74, 73, 72, 436]|
DENIED|,4|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3']|,src=508|,dest=288|
DENIED|,5|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=446|,dest=532|
DENIED|,6|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F5']|,src=255|,dest=391|
DENIED|,7|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=223|,dest=327|
APPROVED|,8|,R8P1|,8.475409836065575%|,7.160000000000001|,7.1|,['F4']|,[589, 110, 109, 584]|
APPROVED|,9|,R9P2|,31.602185792349726%|,17.91|,17.1|,['F1', 'F2']|,[184, 9, 10, 1, 12, 13, 35, 289]|
DENIED|,10|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2']|,src=350|,dest=381|
DENIED|,11|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1']|,src=389|,dest=197|
DENIED|,12|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F2']|,src=270|,dest=531|
APPROVED|,13|,R13P3|,39.961358313817335%|,24.229999999999997|,23.000000000000004|,['F2']|,[214, 16, 17, 4, 5, 6, 7, 8, 26, 62, 398]|
APPROVED|,14|,R14P1|,34.48126463700233%|,28.979999999999993|,23.2|,['F3', 'F1', 'F4', 'F2']|,[511, 91, 41, 16, 3, 2, 1, 10, 29, 68, 419]|
APPROVED|,15|,R15P2|,31.551702395964693%|,14.549999999999997|,14.199999999999998|,['F3']|,[257, 27, 28, 29, 30, 69, 425]|
APPROVED|,16|,R16P1|,22.357675111773467%|,14.260000000000002|,12.700000000000001|,['F3', 'F1', 'F2', 'F4']|,[238, 22, 21, 20, 50, 348]|
APPROVED|,17|,R17P1|,34.7263856362217%|,27.55|,23.8|,['F1', 'F3']|,[431, 71, 31, 11, 1, 2, 3, 16, 41, 91, 511]|
APPROVED|,18|,R18P1|,25.520176544766716%|,15.539999999999997|,13.499999999999998|,['F1', 'F4']|,[498, 87, 39, 15, 16, 17, 218]|
DENIED|,19|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2']|,src=189|,dest=231|
DENIED|,20|,NONE|,NONE%|,0|,0|,['F4']|,src=233|,dest=397|
DENIED|,21|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=414|,dest=567|
DENIED|,22|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F2']|,src=591|,dest=382|
DENIED|,23|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F1']|,src=225|,dest=194|
APPROVED|,24|,R24P2|,27.242921013412822%|,11.39|,11.6|,['F2']|,[455, 77, 78, 79, 80, 468]|
DENIED|,25|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=211|,dest=426|
DENIED|,26|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=327|,dest=393|
APPROVED|,27|,R27P7|,32.95667447306791%|,21.099999999999998|,23.4|,['F4']|,[284, 34, 12, 13, 14, 15, 16, 17, 44, 97, 535]|
DENIED|,28|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F3']|,src=590|,dest=517|
DENIED|,29|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4']|,src=458|,dest=330|
DENIED|,30|,NONE|,NONE%|,0|,0|,['F4']|,src=244|,dest=309|
DENIED|,31|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=189|,dest=565|
DENIED|,32|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=201|,dest=573|
APPROVED|,33|,R33P1|,31.094985535197686%|,19.909999999999997|,19.3|,['F3']|,[353, 51, 21, 6, 7, 8, 25, 59, 383]|
APPROVED|,34|,R34P3|,38.21967213114753%|,13.659999999999998|,15.4|,['F1', 'F2']|,[302, 38, 39, 15, 3, 4, 18, 222]|
DENIED|,35|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5']|,src=532|,dest=282|
DENIED|,36|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F5']|,src=505|,dest=453|
DENIED|,37|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F1', 'F5']|,src=590|,dest=424|
DENIED|,38|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4', 'F1']|,src=190|,dest=180|
DENIED|,39|,NONE|,NONE%|,0|,0|,['F4', 'F3']|,src=514|,dest=330|
DENIED|,40|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=337|,dest=581|
APPROVED|,41|,R41P1|,37.32145402708482%|,25.889999999999997|,24.6|,['F2']|,[553, 101, 46, 18, 4, 3, 2, 1, 10, 30, 69, 425]|
DENIED|,42|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=531|,dest=197|
DENIED|,43|,NONE|,NONE%|,0|,0|,['F4', 'F1']|,src=159|,dest=529|
DENIED|,44|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F3']|,src=171|,dest=304|
APPROVED|,45|,R45P5|,36.542154566744735%|,23.03|,23.2|,['F3']|,[476, 82, 83, 37, 14, 15, 16, 17, 44, 97, 537]|
DENIED|,46|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F3', 'F5']|,src=421|,dest=237|
DENIED|,47|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3']|,src=270|,dest=592|
DENIED|,48|,NONE|,NONE%|,0|,0|,['F3']|,src=566|,dest=409|
DENIED|,49|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F5', 'F4']|,src=582|,dest=438|
DENIED|,50|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2']|,src=322|,dest=445|
APPROVED|,51|,R51P1|,29.818225650916105%|,21.19|,18.599999999999998|,['F2']|,[187, 10, 1, 2, 3, 16, 42, 94, 524]|
DENIED|,52|,NONE|,NONE%|,0|,0|,['F5']|,src=248|,dest=519|
DENIED|,53|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=282|,dest=582|
DENIED|,54|,NONE|,NONE%|,0|,0|,['F5']|,src=403|,dest=580|
DENIED|,55|,NONE|,NONE%|,0|,0|,['F2']|,src=187|,dest=211|
APPROVED|,56|,R56P1|,20.31238615664845%|,12.049999999999999|,10.2|,['F1']|,[289, 35, 13, 14, 204]|
APPROVED|,57|,R57P1|,18.967213114754095%|,12.42|,12.0|,['F5', 'F1', 'F3']|,[396, 62, 26, 25, 59, 383]|
DENIED|,58|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5']|,src=264|,dest=363|
