DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
67,183,16.843880597014927,15.477611940298507,28.447506355970926%,7.462686567164179,[42.42, 56.42],143.80535714285713
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,26.426860025220684%|,15.030000000000001|,14.299999999999999|,['F1', 'F4']|,[201, 13, 2, 3, 4, 5, 169]|
DENIED|,2|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4']|,src=412|,dest=564|
APPROVED|,3|,R3P1|,25.068306010928964%|,14.379999999999999|,9.6|,['F4', 'F2']|,[443, 74, 73, 72, 436]|
DENIED|,4|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3']|,src=508|,dest=288|
DENIED|,5|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=446|,dest=532|
APPROVED|,6|,R6P1|,21.751366120218577%|,14.670000000000002|,10.1|,['F2', 'F1', 'F3', 'F5']|,[255, 27, 26, 61, 391]|
DENIED|,7|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=223|,dest=327|
APPROVED|,8|,R8P1|,20.747072599531613%|,6.71|,7.599999999999999|,['F4']|,[589, 110, 109, 584]|
APPROVED|,9|,R9P1|,31.076502732240442%|,16.560000000000002|,16.9|,['F1', 'F2']|,[184, 9, 10, 1, 2, 13, 35, 289]|
DENIED|,10|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2']|,src=350|,dest=381|
DENIED|,11|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1']|,src=389|,dest=197|
DENIED|,12|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F2']|,src=270|,dest=531|
APPROVED|,13|,R13P5|,39.56088992974238%|,20.680000000000003|,23.099999999999998|,['F2']|,[214, 16, 3, 2, 1, 10, 9, 27, 63, 62, 398]|
DENIED|,14|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F4', 'F2']|,src=511|,dest=419|
APPROVED|,15|,R15P2|,28.802648171500632%|,12.91|,14.8|,['F3']|,[257, 27, 28, 29, 30, 69, 425]|
APPROVED|,16|,R16P2|,28.25335320417288%|,13.26|,11.9|,['F3', 'F1', 'F2', 'F4']|,[238, 22, 21, 51, 50, 348]|
APPROVED|,17|,R17P1|,36.23692427790788%|,25.630000000000003|,23.099999999999998|,['F1', 'F3']|,[431, 71, 31, 11, 1, 2, 3, 16, 41, 91, 511]|
APPROVED|,18|,R18P1|,27.23644388398487%|,16.240000000000002|,15.200000000000001|,['F1', 'F4']|,[498, 87, 39, 15, 16, 17, 218]|
DENIED|,19|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2']|,src=189|,dest=231|
APPROVED|,20|,R20P1|,33.63934426229509%|,16.18|,15.599999999999998|,['F4']|,[233, 21, 6, 7, 8, 26, 62, 397]|
DENIED|,21|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=414|,dest=567|
DENIED|,22|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F2']|,src=591|,dest=382|
DENIED|,23|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F1']|,src=225|,dest=194|
APPROVED|,24|,R24P2|,30.670640834575263%|,11.44|,11.4|,['F2']|,[455, 77, 78, 79, 80, 468]|
DENIED|,25|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=211|,dest=426|
DENIED|,26|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=327|,dest=393|
DENIED|,27|,NONE|,NONE%|,0|,0|,['F4']|,src=284|,dest=535|
APPROVED|,28|,R28P1|,30.97619047619047%|,26.86|,24.2|,['F2', 'F4', 'F3']|,[590, 110, 50, 20, 5, 4, 3, 16, 41, 92, 517]|
DENIED|,29|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4']|,src=458|,dest=330|
APPROVED|,30|,R30P1|,28.920621225194125%|,18.95|,21.8|,['F4']|,[244, 24, 7, 6, 5, 4, 3, 15, 40, 309]|
DENIED|,31|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=189|,dest=565|
DENIED|,32|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=201|,dest=573|
APPROVED|,33|,R33P2|,34.67164898746383%|,13.999999999999998|,18.3|,['F3']|,[353, 51, 21, 6, 7, 24, 25, 59, 383]|
APPROVED|,34|,R34P1|,27.440437158469944%|,14.579999999999998|,15.799999999999999|,['F1', 'F2']|,[302, 38, 14, 2, 3, 4, 18, 222]|
DENIED|,35|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5']|,src=532|,dest=282|
DENIED|,36|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F5']|,src=505|,dest=453|
DENIED|,37|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F1', 'F5']|,src=590|,dest=424|
DENIED|,38|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4', 'F1']|,src=190|,dest=180|
APPROVED|,39|,R39P3|,34.4120218579235%|,17.72|,17.1|,['F4', 'F3']|,[514, 91, 41, 42, 43, 44, 45, 330]|
