TOPOLOGY=MEDIUM,DATASET=2,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=150,LINKS=560,REQUESTS=250
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
53,250,19.655899280575532,17.023021582733815,32.26658577677359%,8.223021582733812,[0, 0],0
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
FAILED|,1|,R1P4|,38.79187455452602%|,26.869999999999997|,26.400000000000002|,['F2', 'F4', 'F5', 'F1', 'F3']|,[378, 57, 24, 7, 8, 9, 10, 1, 12, 13, 35, 288]|
FAILED|,2|,R2P3|,38.626325940212155%|,19.54|,19.3|,['F5', 'F2', 'F1', 'F3', 'F4']|,[252, 26, 8, 9, 10, 1, 12, 13, 201]|
FAILED|,3|,R3P4|,40.286528866714185%|,33.55|,24.5|,['F4', 'F2', 'F5', 'F1']|,[249, 25, 8, 7, 6, 5, 4, 17, 16, 41, 92, 516]|
APPROVED|,4|,R4P1|,35.72275795564127%|,18.13|,18.1|,['F3']|,[390, 60, 25, 8, 7, 6, 21, 52, 355]|
FAILED|,5|,R5P3|,39.19945355191256%|,26.689999999999998|,23.499999999999996|,['F2', 'F4', 'F1', 'F5', 'F3']|,[349, 50, 20, 21, 6, 7, 8, 9, 10, 30, 268]|
FAILED|,6|,R6P2|,36.215006305170235%|,17.02|,14.3|,['F5', 'F3']|,[159, 3, 4, 18, 19, 48, 341]|
FAILED|,7|,R7P1|,36.54702329594478%|,24.039999999999996|,21.2|,['F4', 'F2']|,[189, 10, 9, 8, 7, 6, 21, 51, 111, 594]|
FAILED|,8|,R8P3|,42.41569086651054%|,24.76|,23.400000000000002|,['F5', 'F3', 'F4']|,[426, 69, 30, 10, 9, 8, 7, 6, 5, 19, 224]|
FAILED|,9|,R9P2|,29.116200578592096%|,22.360000000000003|,18.799999999999997|,['F5', 'F1', 'F3', 'F4']|,[469, 80, 35, 13, 14, 38, 39, 88, 500]|
APPROVED|,10|,R10P1|,36.72661523625844%|,15.039999999999997|,17.799999999999997|,['F3']|,[332, 46, 18, 4, 3, 15, 39, 88, 502]|
FAILED|,11|,R11P3|,43.29223093371347%|,26.77|,25.5|,['F4']|,[239, 23, 7, 8, 9, 10, 1, 2, 14, 38, 85, 487]|
APPROVED|,12|,R12P1|,28.467213114754102%|,15.849999999999998|,14.700000000000001|,['F4', 'F1']|,[521, 93, 42, 43, 44, 98, 540]|
FAILED|,13|,R13P4|,40.377049180327866%|,22.46|,20.4|,['F5']|,[224, 19, 18, 4, 3, 15, 14, 37, 84, 485]|
FAILED|,14|,R14P2|,28.886338797814215%|,22.340000000000007|,17.3|,['F5', 'F3', 'F1', 'F4', 'F2']|,[338, 47, 19, 20, 21, 22, 54, 366]|
FAILED|,15|,R15P1|,35.20202507232401%|,26.8|,19.1|,['F5', 'F3', 'F2', 'F1', 'F4']|,[363, 54, 22, 6, 5, 4, 17, 43, 321]|
FAILED|,16|,R16P1|,36.54459016393443%|,35.99|,28.3|,['F3', 'F1', 'F4', 'F2']|,[441, 73, 32, 11, 1, 2, 3, 4, 5, 20, 49, 108, 579]|
FAILED|,17|,R17P2|,38.6943793911007%|,22.16|,23.2|,['F4', 'F5', 'F3', 'F2', 'F1']|,[389, 60, 25, 8, 9, 10, 1, 12, 13, 36, 294]|
APPROVED|,18|,R18P2|,36.97540983606557%|,17.220000000000002|,19.1|,['F3']|,[346, 49, 20, 21, 6, 7, 8, 9, 184]|
FAILED|,19|,R19P1|,31.790260366441657%|,16.929999999999996|,18.7|,['F3', 'F2', 'F5']|,[358, 52, 21, 6, 7, 8, 25, 59, 386]|
APPROVED|,20|,R20P1|,14.313817330210773%|,6.41|,7.3|,['F3', 'F5']|,[325, 44, 43, 320]|
FAILED|,21|,R21P6|,36.29650748396294%|,28.64|,25.500000000000004|,['F5', 'F3', 'F2', 'F4', 'F1']|,[336, 47, 46, 18, 4, 3, 2, 13, 12, 34, 78, 460]|
FAILED|,22|,R22P5|,36.281967213114754%|,18.380000000000003|,16.5|,['F5', 'F4']|,[273, 31, 70, 30, 29, 28, 27, 256]|
FAILED|,23|,R23P1|,39.589301121656604%|,25.449999999999996|,21.099999999999998|,['F2', 'F1', 'F5', 'F4', 'F3']|,[532, 96, 43, 17, 4, 5, 6, 21, 52, 356]|
FAILED|,24|,R24P1|,40.74716267339219%|,17.759999999999998|,14.9|,['F1', 'F2', 'F5']|,[225, 19, 5, 6, 7, 23, 242]|
APPROVED|,25|,R25P2|,31.70601092896175%|,17.91|,17.000000000000004|,['F2', 'F1', 'F4']|,[286, 34, 12, 1, 10, 29, 28, 259]|
APPROVED|,26|,R26P1|,17.133879781420763%|,14.23|,10.0|,['F4', 'F1', 'F2']|,[192, 11, 12, 34, 285]|
FAILED|,27|,R27P5|,36.902502157031925%|,19.91|,21.200000000000003|,['F5']|,[194, 11, 30, 10, 9, 8, 7, 23, 22, 235]|
FAILED|,28|,R28P5|,40.20819672131148%|,33.15|,27.900000000000002|,['F2', 'F5', 'F1']|,[385, 59, 25, 8, 7, 6, 5, 4, 17, 16, 41, 91, 511]|
FAILED|,29|,R29P1|,42.334426229508196%|,20.73|,16.1|,['F1', 'F2', 'F3', 'F4', 'F5']|,[310, 40, 15, 3, 4, 5, 20, 227]|
FAILED|,30|,R30P1|,42.57875980042766%|,27.610000000000003|,25.700000000000003|,['F5', 'F4', 'F3', 'F2', 'F1']|,[367, 55, 23, 7, 6, 5, 4, 3, 15, 40, 89, 503]|
APPROVED|,31|,R31P1|,19.6768149882904%|,12.540000000000001|,7.0|,['F1', 'F4', 'F3', 'F2']|,[406, 64, 27, 256]|
FAILED|,32|,R32P7|,39.50129421915444%|,26.269999999999996|,20.799999999999997|,['F1', 'F5', 'F4', 'F2']|,[415, 67, 29, 28, 27, 26, 25, 24, 57, 376]|
APPROVED|,33|,R33P1|,17.94847775175644%|,11.57|,7.3|,['F2', 'F4', 'F1', 'F5', 'F3']|,[495, 87, 86, 491]|
APPROVED|,34|,R34P1|,21.686182669789225%|,12.709999999999999|,7.3|,['F1', 'F4', 'F3', 'F5']|,[250, 25, 60, 387]|
FAILED|,35|,R35P1|,26.01490312965723%|,17.259999999999998|,11.5|,['F3', 'F2', 'F5']|,[314, 41, 40, 39, 87, 495]|
