TOPOLOGY=MEDIUM,DATASET=2,TYPE=WITH_FAULT_TOLERANCE,NODES=150,LINKS=560,REQUESTS=250
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
79,171,19.366202531645566,16.849367088607593,29.970449249980835%,8.177215189873417,[47.473333333333336, 61.473333333333336],153.9875
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,1|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F1', 'F3']|,src=378|,dest=288|
DENIED|,2|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F1', 'F3', 'F4']|,src=252|,dest=201|
DENIED|,3|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5', 'F1']|,src=249|,dest=516|
APPROVED|,4|,R4P3|,31.962873674059793%|,19.639999999999997|,18.3|,['F3']|,[390, 60, 25, 24, 23, 22, 21, 52, 355]|
DENIED|,5|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F5', 'F3']|,src=349|,dest=268|
DENIED|,6|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=159|,dest=341|
DENIED|,7|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=189|,dest=594|
DENIED|,8|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4']|,src=426|,dest=224|
DENIED|,9|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3', 'F4']|,src=469|,dest=500|
APPROVED|,10|,R10P2|,31.0062680810029%|,16.849999999999998|,17.9|,['F3']|,[332, 46, 18, 17, 16, 15, 39, 88, 502]|
DENIED|,11|,NONE|,NONE%|,0|,0|,['F4']|,src=239|,dest=487|
APPROVED|,12|,R12P1|,28.467213114754102%|,15.849999999999998|,14.700000000000001|,['F4', 'F1']|,[521, 93, 42, 43, 44, 98, 540]|
DENIED|,13|,NONE|,NONE%|,0|,0|,['F5']|,src=224|,dest=485|
DENIED|,14|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1', 'F4', 'F2']|,src=338|,dest=366|
DENIED|,15|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F1', 'F4']|,src=363|,dest=321|
DENIED|,16|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F4', 'F2']|,src=441|,dest=579|
DENIED|,17|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=389|,dest=294|
APPROVED|,18|,R18P2|,36.97540983606557%|,17.220000000000002|,19.1|,['F3']|,[346, 49, 20, 21, 6, 7, 8, 9, 184]|
DENIED|,19|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5']|,src=358|,dest=386|
APPROVED|,20|,R20P1|,14.313817330210773%|,6.41|,7.3|,['F3', 'F5']|,[325, 44, 43, 320]|
DENIED|,21|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F4', 'F1']|,src=336|,dest=460|
DENIED|,22|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=273|,dest=256|
DENIED|,23|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5', 'F4', 'F3']|,src=532|,dest=356|
DENIED|,24|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=225|,dest=242|
APPROVED|,25|,R25P3|,31.45792349726776%|,18.040000000000003|,17.1|,['F2', 'F1', 'F4']|,[286, 34, 12, 11, 30, 29, 28, 259]|
