DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
50,200,14.875000000000005,12.68,44.33259953161593%,6.26,[12.23, 26.23],145.775
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,49.91803278688525%|,16.11|,11.899999999999999|,['F1']|,[211, 371, 390, 330, 344, 131]|
APPROVED|,2|,R2P1|,25.245901639344265%|,8.49|,8.1|,['F3', 'F2', 'F4', 'F1']|,[9, 303, 344, 132]|
DENIED|,3|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F4', 'F5', 'F2']|,src=167|, dest=100|
DENIED|,4|,NONE|,NONE|,0|,0|,['F2', 'F3']|,src=1|, dest=136|
DENIED|,5|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F2', 'F5']|,src=210|, dest=147|
DENIED|,6|,NONE|,NONE|,0|,0|,['F5', 'F3']|,src=230|, dest=146|
DENIED|,7|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F3']|,src=213|, dest=168|
APPROVED|,8|,R8P1|,59.72677595628415%|,10.8|,10.5|,['F1']|,[241, 381, 316, 355, 164]|
DENIED|,9|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=2|, dest=232|
DENIED|,10|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2', 'F4']|,src=88|, dest=216|
APPROVED|,11|,R11P2|,48.55737704918033%|,15.4|,13.6|,['F2']|,[3, 301, 313, 347, 376, 373, 219]|
APPROVED|,12|,R12P1|,37.131147540983605%|,13.709999999999999|,12.4|,['F5', 'F1']|,[59, 320, 361, 337, 306, 16]|
DENIED|,13|,NONE|,NONE|,0|,0|,['F2', 'F4']|,src=230|, dest=24|
DENIED|,14|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F5', 'F1', 'F2']|,src=220|, dest=239|
