DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
94,156,17.457978723404253,14.965957446808508,20.941016666400532%,7.24468085106383,[42.333333333333336, 56.333333333333336],144.15714285714284
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,16.953800298062593%|,15.5|,12.900000000000002|,['F4', 'F5', 'F2']|,[476, 82, 36, 13, 12, 197]|
DENIED|,2|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=306|,dest=554|
APPROVED|,3|,R3P1|,11.8711943793911%|,12.219999999999999|,7.4|,['F4', 'F5', 'F3', 'F2']|,[235, 22, 54, 366]|
APPROVED|,4|,R4P8|,32.20741268709907%|,24.440000000000005|,25.499999999999996|,['F3', 'F1']|,[564, 104, 47, 19, 18, 4, 3, 2, 13, 35, 34, 285]|
APPROVED|,5|,R5P1|,24.210928961748632%|,17.370000000000005|,17.299999999999997|,['F3', 'F2', 'F1', 'F5']|,[413, 66, 28, 29, 30, 11, 32, 278]|
APPROVED|,6|,R6P3|,23.000000000000004%|,15.84|,17.0|,['F1']|,[243, 24, 23, 22, 21, 20, 50, 347]|
APPROVED|,7|,R7P1|,12.997658079625294%|,10.53|,7.3999999999999995|,['F2', 'F3', 'F5', 'F1', 'F4']|,[333, 46, 45, 329]|
DENIED|,8|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=315|,dest=348|
DENIED|,9|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4']|,src=539|,dest=195|
APPROVED|,10|,R10P1|,20.199701937406854%|,13.370000000000001|,12.500000000000002|,['F1', 'F2', 'F4']|,[538, 97, 44, 17, 16, 211]|
DENIED|,11|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F2', 'F5']|,src=181|,dest=158|
DENIED|,12|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F5', 'F2', 'F4']|,src=454|,dest=320|
DENIED|,13|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=349|,dest=296|
DENIED|,14|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=315|,dest=432|
DENIED|,15|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=199|,dest=599|
APPROVED|,16|,R16P1|,9.791438979963571%|,12.329999999999998|,10.4|,['F3', 'F4', 'F5']|,[485, 84, 83, 82, 475]|
DENIED|,17|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F5', 'F2']|,src=562|,dest=482|
DENIED|,18|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=577|,dest=293|
DENIED|,19|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1']|,src=271|,dest=383|
APPROVED|,20|,R20P8|,23.3900675024108%|,21.12|,18.7|,['F1', 'F2', 'F3']|,[229, 20, 21, 22, 23, 24, 58, 59, 385]|
DENIED|,21|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F5']|,src=263|,dest=386|
DENIED|,22|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1']|,src=152|,dest=324|
DENIED|,23|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3']|,src=256|,dest=355|
APPROVED|,24|,R24P1|,24.80029806259315%|,14.09|,11.999999999999998|,['F4']|,[171, 6, 21, 51, 112, 596]|
APPROVED|,25|,R25P1|,16.76602086438152%|,11.13|,11.799999999999999|,['F3', 'F4', 'F5']|,[564, 104, 47, 19, 18, 221]|
DENIED|,26|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F5', 'F4', 'F2']|,src=288|,dest=404|
DENIED|,27|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=282|,dest=583|
APPROVED|,28|,R28P2|,17.766120218579236%|,17.82|,16.2|,['F3', 'F2', 'F1', 'F5']|,[572, 106, 107, 49, 50, 51, 111, 591]|
APPROVED|,29|,R29P5|,26.2648835202761%|,23.840000000000003|,21.0|,['F1', 'F4']|,[206, 14, 15, 16, 17, 18, 19, 48, 106, 573]|
APPROVED|,30|,R30P3|,13.937578814627994%|,16.44|,14.899999999999999|,['F2', 'F3']|,[515, 92, 91, 90, 89, 88, 502]|
DENIED|,31|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5']|,src=470|,dest=366|
APPROVED|,32|,R32P2|,25.525452976704052%|,26.63|,21.100000000000005|,['F2', 'F4']|,[552, 101, 46, 18, 17, 16, 15, 39, 87, 496]|
DENIED|,33|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=444|,dest=373|
