requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;219;296;['F1', 'F2', 'F4'];5;2.1500000000000004
2;255;179;['F4', 'F5', 'F2', 'F1', 'F3'];23;3.25
3;238;251;['F4', 'F5', 'F1', 'F3', 'F2'];11;3.25
4;262;188;['F5', 'F1'];13;1.3
5;67;17;['F5', 'F2'];5;1.2
6;192;31;['F1', 'F4'];9;1.4
7;284;84;['F1', 'F4', 'F3', 'F5'];11;2.5
8;180;68;['F4'];18;0.55
9;58;244;['F1', 'F3'];20;1.5
10;246;278;['F4', 'F1', 'F5'];23;1.8499999999999999
11;186;140;['F5', 'F1', 'F3', 'F2', 'F4'];11;3.25
12;33;271;['F5'];15;0.45
13;230;39;['F5', 'F1', 'F4'];25;1.85
14;117;206;['F3', 'F5', 'F1'];13;1.9500000000000002
15;91;92;['F4', 'F2'];16;1.3
16;121;78;['F1', 'F2', 'F3', 'F5'];23;2.7
17;7;134;['F5', 'F1', 'F4', 'F3'];25;2.5
18;229;133;['F5', 'F4', 'F3', 'F2'];22;2.4
19;14;68;['F1', 'F3', 'F5', 'F4'];23;2.5
20;74;157;['F5'];15;0.45
21;46;103;['F5'];19;0.45
22;198;60;['F4', 'F1', 'F3'];22;2.05
23;149;238;['F5', 'F2', 'F4'];14;1.75
24;249;15;['F3', 'F5'];5;1.1
25;228;87;['F4', 'F3'];22;1.2000000000000002
26;166;93;['F3', 'F2', 'F5', 'F1'];11;2.6999999999999997
27;269;256;['F5', 'F1', 'F2', 'F4'];25;2.5999999999999996
28;26;7;['F3', 'F2', 'F1'];10;2.25
29;96;155;['F4', 'F5', 'F3', 'F1', 'F2'];14;3.25
30;153;7;['F1', 'F3'];13;1.5
31;145;173;['F3', 'F5', 'F2'];20;1.85
32;265;118;['F4'];22;0.55
33;155;213;['F5', 'F2', 'F1', 'F3'];10;2.6999999999999997
34;276;37;['F5', 'F1', 'F3', 'F4', 'F2'];6;3.25
35;154;173;['F3', 'F5', 'F4', 'F2', 'F1'];7;3.2500000000000004
36;281;171;['F1', 'F5', 'F3'];20;1.9500000000000002
37;283;101;['F2'];8;0.75
38;236;25;['F3', 'F5', 'F4', 'F1', 'F2'];17;3.25
39;260;250;['F3', 'F2', 'F1', 'F5', 'F4'];18;3.25
40;245;130;['F2'];10;0.75
41;43;166;['F3'];21;0.65
42;274;196;['F3', 'F1', 'F2'];18;2.25
43;54;220;['F1', 'F2', 'F5'];12;2.0500000000000003
44;289;83;['F4', 'F5', 'F1', 'F3', 'F2'];24;3.25
45;227;12;['F2', 'F3'];18;1.4
46;19;194;['F1', 'F3'];7;1.5
47;276;124;['F3', 'F5', 'F2', 'F4', 'F1'];13;3.2500000000000004
48;122;51;['F2'];5;0.75
49;34;47;['F1', 'F4'];14;1.4
50;236;296;['F5'];20;0.45
51;235;83;['F1', 'F3', 'F4'];8;2.05
52;278;204;['F5', 'F4', 'F3'];15;1.65
53;235;259;['F3', 'F1', 'F2'];18;2.25
54;91;296;['F4'];6;0.55
55;188;80;['F4', 'F5', 'F3', 'F2'];7;2.4
