NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;A;[50, 64];0.6;0.7;0.72
2;A;[50, 64];0.8;0.9;0.5
3;A;[50, 64];0.7;0.5;0.22
4;A;[50, 64];0.9;0.8;0.25
5;A;[50, 64];0.3;0.6;0.75
6;A;[50, 64];0.1;0.9;0.59
7;A;[50, 64];1.0;0.8;0.44
8;A;[50, 64];0.8;0.5;0.17
9;A;[50, 64];0.3;0.9;0.32
10;A;[50, 64];0.5;0.9;0.18
11;A;[50, 64];0.3;1.0;0.02
12;A;[50, 64];0.5;0.6;0.29
13;A;[50, 64];0.4;0.9;0.12
14;A;[50, 64];0.6;0.9;0.34
15;A;[50, 64];0.4;0.5;0.63
16;A;[50, 64];0.3;0.7;0.62
