Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;PercentFailure
1;1;15;35;1;5;0.33
2;1;4;35;1;5;0.44
3;1;2;35;1;5;0.34
4;2;5;35;1;5;0.29
5;2;4;35;1;5;0.46
6;3;4;35;1;5;0.52
7;3;17;35;1;5;0.07
8;3;16;35;1;5;0.21
9;3;12;35;1;5;0.46
10;5;8;35;1;5;0.14
11;8;7;35;1;5;0.3
12;8;10;35;1;5;0.27
13;7;6;35;1;5;0.54
14;7;9;35;1;5;0.06
15;7;15;35;1;5;0.15
16;15;14;35;1;5;0.45
17;15;10;35;1;5;0.36
18;15;17;35;1;5;0.16
19;14;13;35;1;5;0.11
20;14;10;35;1;5;0.21
21;6;9;35;1;5;0.29
22;9;10;35;1;5;0.37
23;10;13;35;1;5;0.54
24;20;10;35;1;5;0.11
25;20;17;35;1;5;0.09
26;17;18;35;1;5;0.16
27;18;19;35;1;5;0.46
28;19;16;35;1;5;0.04
29;11;16;35;1;5;0.14
30;12;11;35;1;5;0.21
