Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;PercentFailure
1;17;24;35;1;5;0.25
2;17;2;35;1;5;0.17
3;7;23;35;1;5;0.26
4;2;14;35;1;5;0.28
5;6;18;35;1;5;0.01
6;15;3;35;1;5;0.23
7;19;8;35;1;5;0.21
8;24;4;35;1;5;0.23
9;6;3;35;1;5;0.36
10;3;15;35;1;5;0.41
11;3;10;35;1;5;0.19
12;19;14;35;1;5;0.05
13;21;2;35;1;5;0.5
14;14;15;35;1;5;0.51
15;23;2;35;1;5;0.15
16;14;21;35;1;5;0.14
17;21;21;35;1;5;0.1
18;20;9;35;1;5;0.55
19;8;18;35;1;5;0.31
20;22;11;35;1;5;0.21
21;5;3;35;1;5;0.03
22;8;5;35;1;5;0.41
23;2;2;35;1;5;0.41
24;10;23;35;1;5;0.55
25;4;12;35;1;5;0.35
26;1;22;35;1;5;0.15
27;24;10;35;1;5;0.49
28;16;10;35;1;5;0.49
29;22;5;35;1;5;0.39
30;11;12;35;1;5;0.03
31;16;13;35;1;5;0.34
32;22;17;35;1;5;0.2
33;4;22;35;1;5;0.09
34;12;22;35;1;5;0.35
35;18;3;35;1;5;0.32
36;14;10;35;1;5;0.36
37;2;22;35;1;5;0.54
38;4;20;35;1;5;0.07
39;12;10;35;1;5;0.42
40;20;12;35;1;5;0.3
41;18;8;35;1;5;0.3
42;8;6;35;1;5;0.41
43;13;1;35;1;5;0.53
44;6;14;35;1;5;0.02
45;22;8;35;1;5;0.53
46;21;6;35;1;5;0.22
47;10;10;35;1;5;0.25
48;5;23;35;1;5;0.41
