Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;PercentFailure
1;30;46;35;1;5;0.54
2;25;32;35;1;5;0.37
3;16;22;35;1;5;0.44
4;45;23;35;1;5;0.22
5;49;29;35;1;5;0.06
6;50;38;35;1;5;0.02
7;35;56;35;1;5;0.2
8;53;14;35;1;5;0.03
9;61;60;35;1;5;0.42
10;49;47;35;1;5;0.05
11;46;31;35;1;5;0.01
12;18;40;35;1;5;0.13
13;38;56;35;1;5;0.19
14;12;29;35;1;5;0.16
15;3;9;35;1;5;0.26
16;15;52;35;1;5;0.53
17;8;20;35;1;5;0.31
18;43;20;35;1;5;0.49
19;24;21;35;1;5;0.09
20;19;62;35;1;5;0.35
21;30;24;35;1;5;0.38
22;58;24;35;1;5;0.07
23;13;9;35;1;5;0.2
24;5;6;35;1;5;0.3
25;41;39;35;1;5;0.28
26;8;23;35;1;5;0.21
27;58;56;35;1;5;0.08
28;48;25;35;1;5;0.25
29;42;10;35;1;5;0.07
30;17;52;35;1;5;0.51
31;9;45;35;1;5;0.4
32;42;16;35;1;5;0.3
33;44;6;35;1;5;0.06
34;3;52;35;1;5;0.55
35;51;61;35;1;5;0.11
36;17;59;35;1;5;0.42
37;41;25;35;1;5;0.11
38;49;8;35;1;5;0.31
39;4;36;35;1;5;0.44
40;35;12;35;1;5;0.08
41;35;27;35;1;5;0.08
42;13;11;35;1;5;0.3
43;9;14;35;1;5;0.18
44;48;55;35;1;5;0.42
45;3;7;35;1;5;0.02
46;42;26;35;1;5;0.36
47;46;9;35;1;5;0.42
48;9;38;35;1;5;0.41
49;24;39;35;1;5;0.12
50;28;14;35;1;5;0.55
51;15;47;35;1;5;0.28
52;54;1;35;1;5;0.08
53;1;45;35;1;5;0.45
54;43;27;35;1;5;0.46
55;51;16;35;1;5;0.39
56;4;32;35;1;5;0.14
57;5;12;35;1;5;0.29
58;47;26;35;1;5;0.42
59;56;34;35;1;5;0.31
60;11;1;35;1;5;0.05
61;26;9;35;1;5;0.29
62;34;13;35;1;5;0.21
63;41;3;35;1;5;0.51
64;27;5;35;1;5;0.3
65;61;19;35;1;5;0.12
66;16;60;35;1;5;0.39
67;37;61;35;1;5;0.46
68;45;21;35;1;5;0.13
69;24;59;35;1;5;0.03
70;40;42;35;1;5;0.54
71;21;24;35;1;5;0.25
72;27;47;35;1;5;0.3
73;26;18;35;1;5;0.42
74;24;29;35;1;5;0.21
75;46;42;35;1;5;0.53
76;27;58;35;1;5;0.29
77;23;6;35;1;5;0.4
78;39;55;35;1;5;0.46
79;43;64;35;1;5;0.11
80;33;2;35;1;5;0.49
81;53;6;35;1;5;0.52
82;5;33;35;1;5;0.37
83;45;27;35;1;5;0.02
84;56;32;35;1;5;0.43
85;29;59;35;1;5;0.16
86;23;57;35;1;5;0.43
87;28;60;35;1;5;0.25
88;59;4;35;1;5;0.22
89;56;54;35;1;5;0.17
90;17;50;35;1;5;0.44
91;26;39;35;1;5;0.02
92;33;1;35;1;5;0.03
93;51;27;35;1;5;0.44
94;19;38;35;1;5;0.43
95;49;63;35;1;5;0.55
96;46;21;35;1;5;0.41
97;4;12;35;1;5;0.43
98;15;32;35;1;5;0.03
99;36;12;35;1;5;0.07
100;9;40;35;1;5;0.39
