Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;PercentFailure
1;13;43;35;1;5;0.28
2;37;11;35;1;5;0.23
3;38;47;35;1;5;0.48
4;48;4;35;1;5;0.11
5;12;40;35;1;5;0.38
6;15;4;35;1;5;0.21
7;1;9;35;1;5;0.2
8;25;15;35;1;5;0.23
9;26;22;35;1;5;0.47
10;33;43;35;1;5;0.22
11;4;48;35;1;5;0.28
12;9;44;35;1;5;0.24
13;41;47;35;1;5;0.06
14;26;2;35;1;5;0.11
15;31;40;35;1;5;0.46
16;13;41;35;1;5;0.41
17;16;21;35;1;5;0.55
18;48;6;35;1;5;0.02
19;35;31;35;1;5;0.05
20;4;22;35;1;5;0.06
21;20;14;35;1;5;0.25
22;27;44;35;1;5;0.39
23;12;14;35;1;5;0.53
24;18;15;35;1;5;0.17
25;35;45;35;1;5;0.03
26;10;41;35;1;5;0.3
27;24;2;35;1;5;0.13
28;17;40;35;1;5;0.39
29;23;43;35;1;5;0.34
30;45;24;35;1;5;0.22
31;43;41;35;1;5;0.23
32;15;45;35;1;5;0.06
33;43;35;35;1;5;0.55
34;39;47;35;1;5;0.43
35;32;41;35;1;5;0.35
36;41;12;35;1;5;0.12
37;16;4;35;1;5;0.1
38;39;35;35;1;5;0.26
39;25;8;35;1;5;0.42
40;32;37;35;1;5;0.04
41;46;43;35;1;5;0.12
42;16;47;35;1;5;0.2
43;7;24;35;1;5;0.37
44;34;2;35;1;5;0.36
45;36;45;35;1;5;0.4
46;45;3;35;1;5;0.43
47;30;28;35;1;5;0.11
48;30;38;35;1;5;0.21
49;47;33;35;1;5;0.35
50;7;35;35;1;5;0.42
51;30;42;35;1;5;0.54
52;18;5;35;1;5;0.33
53;37;19;35;1;5;0.54
54;9;25;35;1;5;0.43
55;37;45;35;1;5;0.17
56;33;7;35;1;5;0.23
57;14;31;35;1;5;0.49
58;13;4;35;1;5;0.42
59;36;37;35;1;5;0.39
60;27;29;35;1;5;0.01
61;28;36;35;1;5;0.37
62;24;16;35;1;5;0.03
63;30;27;35;1;5;0.16
64;19;12;35;1;5;0.38
