Source;Destination;Bandwidth;EdgeDelay;EdgeCost
1;2;100;0.3;5
1;3;100;0.3;5
1;5;100;0.3;5
1;8;100;0.3;5
1;15;200;0.3;3
2;1;100;0.3;5
2;4;100;0.3;5
2;5;100;0.3;5
2;15;200;0.8;3
3;3;100;0.3;5
3;4;100;0.3;5
3;5;100;0.3;5
3;15;200;0.8;3
4;2;100;0.3;5
4;3;100;0.3;5
4;6;100;0.3;5
4;15;200;0.8;3
5;1;100;0.3;5
5;2;100;0.3;5
5;3;100;0.3;5
5;11;100;0.3;5
5;15;200;0.8;3
6;4;100;0.3;5
6;8;100;0.3;5
6;15;200;0.8;3
7;4;100;0.3;5
7;9;100;0.3;5
7;14;100;0.3;5
7;16;200;0.8;3
8;1;100;0.3;5
8;6;100;0.3;5
8;10;100;0.3;5
8;12;100;0.3;5
8;16;200;0.8;3
9;7;100;0.3;5
9;10;100;0.3;5
9;16;200;0.8;3
10;8;100;0.3;5
10;9;100;0.3;5
10;11;100;0.3;5
10;16;200;0.8;3
11;5;100;0.3;5
11;10;100;0.3;5
11;13;100;0.3;5
11;17;200;0.8;3
12;8;100;0.3;5
12;13;100;0.3;5
12;14;100;0.3;5
12;17;200;0.8;3
13;12;100;0.3;5
13;14;100;0.3;5
13;17;200;0.8;3
14;7;100;0.3;3
14;12;100;0.3;3
14;13;100;0.3;3
14;17;200;0.8;3
15;1;200;0.8;3
15;2;200;0.8;3
15;3;200;0.8;3
15;4;200;0.8;3
15;5;200;0.8;3
15;6;200;0.8;3
15;16;500;1.5;2
16;7;200;0.8;3
16;8;200;0.8;3
16;9;200;0.8;3
16;10;200;0.8;3
16;15;500;1.5;2
16;17;500;1.5;2
17;11;200;0.8;3
17;12;200;0.8;3
17;13;200;0.8;3
17;14;200;0.8;3
17;16;500;1.5;2
18;1;0;0;0
1;18;0;0;0
19;1;0;0;0
1;19;0;0;0
20;2;0;0;0
2;20;0;0;0
21;2;0;0;0
2;21;0;0;0
22;3;0;0;0
3;22;0;0;0
23;3;0;0;0
3;23;0;0;0
24;4;0;0;0
4;24;0;0;0
25;4;0;0;0
4;25;0;0;0
26;5;0;0;0
5;26;0;0;0
27;5;0;0;0
5;27;0;0;0
28;6;0;0;0
6;28;0;0;0
29;6;0;0;0
6;29;0;0;0
30;7;0;0;0
7;30;0;0;0
31;7;0;0;0
7;31;0;0;0
32;8;0;0;0
8;32;0;0;0
33;8;0;0;0
8;33;0;0;0
34;9;0;0;0
9;34;0;0;0
35;9;0;0;0
9;35;0;0;0
36;10;0;0;0
10;36;0;0;0
37;10;0;0;0
10;37;0;0;0
38;11;0;0;0
11;38;0;0;0
39;11;0;0;0
11;39;0;0;0
40;12;0;0;0
12;40;0;0;0
41;12;0;0;0
12;41;0;0;0
42;13;0;0;0
13;42;0;0;0
43;13;0;0;0
13;43;0;0;0
44;14;0;0;0
14;44;0;0;0
45;14;0;0;0
14;45;0;0;0
