Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;330;88;100;1.69;1.5;0.67
2;305;13;100;2.17;1.5;0.76
3;332;94;100;1.0;1.5;0.83
4;384;251;100;0.8;1.5;0.73
5;342;126;100;2.07;1.5;1.0
6;307;19;100;1.99;1.5;0.46
7;359;176;100;1.19;1.5;0.27
8;364;190;100;1.67;1.5;0.35
9;317;51;100;2.79;1.5;0.95
10;386;257;100;1.74;1.5;0.74
11;344;132;100;2.48;1.5;0.88
12;319;57;100;0.81;1.5;0.3
13;325;73;100;2.48;1.5;0.32
14;382;244;100;1.36;1.5;0.66
15;357;169;100;2.24;1.5;0.48
16;379;236;100;2.78;1.5;0.26
17;337;111;100;2.11;1.5;0.75
18;394;282;100;2.53;1.5;0.87
19;312;36;100;2.5;1.5;0.61
20;318;52;100;2.47;1.5;0.17
21;339;117;100;2.68;1.5;0.74
22;375;223;100;2.46;1.5;0.91
23;314;42;100;1.77;1.5;0.49
24;320;58;100;1.98;1.5;0.89
25;372;215;100;2.48;1.5;0.89
26;377;229;100;2.92;1.5;0.5
27;330;90;100;2.04;1.5;0.51
28;335;104;100;1.29;1.5;0.11
29;352;154;100;2.73;1.5;0.21
30;305;15;100;2.08;1.5;0.85
31;310;29;100;2.52;1.5;0.37
32;332;96;100;2.54;1.5;0.72
33;368;202;100;2.14;1.5;0.76
34;374;221;100;2.57;1.5;0.88
35;307;21;100;0.97;1.5;0.19
36;313;37;100;2.67;1.5;0.08
37;364;192;100;2.59;1.5;0.79
38;370;208;100;2.46;1.5;0.27
39;328;83;100;1.84;1.5;0.03
40;345;133;100;1.32;1.5;0.07
41;367;200;100;0.92;1.5;0.57
42;303;8;100;2.36;1.5;0.33
43;325;75;100;2.34;1.5;0.93
44;382;246;100;1.46;1.5;0.54
45;357;171;100;1.97;1.5;0.1
46;363;187;100;1.25;1.5;0.35
47;321;62;100;0.99;1.5;0.81
48;338;112;100;2.88;1.5;0.95
49;365;193;100;0.79;1.5;0.23
50;318;54;100;2.15;1.5;0.11
51;323;68;100;1.01;1.5;0.55
52;375;225;100;0.83;1.5;0.11
53;340;118;100;1.84;1.5;0.78
54;350;150;100;1.16;1.5;0.12
55;377;231;100;2.9;1.5;0.06
56;352;156;100;1.58;1.5;0.81
57;358;172;100;1.97;1.5;0.97
58;316;47;100;1.41;1.5;0.8
59;368;204;100;2.16;1.5;0.36
60;333;97;100;1.37;1.5;0.9
61;373;218;100;2.1;1.5;0.72
62;390;268;100;0.91;1.5;0.12
63;343;129;100;2.03;1.5;0.39
64;370;210;100;0.89;1.5;0.26
65;345;135;100;1.65;1.5;0.17
66;351;151;100;1.99;1.5;0.01
67;309;26;100;2.19;1.5;0.11
68;326;76;100;2.37;1.5;0.01
69;366;197;100;2.33;1.5;0.67
70;383;247;100;2.04;1.5;0.16
71;311;32;100;1.38;1.5;0.58
72;363;189;100;0.84;1.5;0.11
73;385;253;100;0.96;1.5;0.32
74;338;114;100;1.29;1.5;0.93
75;365;195;100;0.9;1.5;0.14
76;340;120;100;0.98;1.5;0.13
77;376;226;100;1.99;1.5;0.43
