Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;1;2;1000;2.88;1.5;0.83
2;1;3;1000;2.73;1.5;0.13
3;2;4;1000;1.41;1.5;0.59
4;2;5;1000;1.07;1.5;0.54
5;2;6;1000;1.57;1.5;0.4
6;3;4;1000;1.33;1.5;0.81
7;3;5;1000;2.12;1.5;0.81
8;3;6;1000;2.31;1.5;0.96
9;4;10;1000;1.09;1.5;0.65
10;5;12;1000;2.32;1.5;0.41
11;6;7;1000;1.96;1.5;0.21
12;6;8;1000;2.21;1.5;0.95
13;7;10;1000;1.17;1.5;0.93
14;8;9;1000;1.45;1.5;0.23
15;8;13;1000;2.19;1.5;0.4
16;9;11;1000;2.12;1.5;0.21
17;10;11;1000;0.82;1.5;0.92
18;10;16;1000;2.47;1.5;0.23
19;11;12;1000;2.98;1.5;0.96
20;12;14;1000;1.8;1.5;0.98
21;12;15;1000;2.89;1.5;0.04
22;13;14;1000;2.35;1.5;0.03
23;13;15;1000;1.29;1.5;0.91
24;13;16;1000;2.85;1.5;0.14
25;15;16;1000;1.71;1.5;0.86
