NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;A;[50, 64];0.4;0.7;0.17
2;A;[50, 64];1.0;0.8;0.14
3;A;[50, 64];0.9;0.6;0.41
4;A;[50, 64];0.2;0.5;0.24
5;A;[50, 64];0.3;0.8;0.31
6;A;[50, 64];0.1;0.8;0.45
7;A;[50, 64];0.7;0.8;0.25
8;A;[50, 64];0.8;0.9;0.08
9;A;[50, 64];0.1;1.0;0.17
10;A;[50, 64];0.5;0.9;0.42
11;A;[50, 64];0.5;0.5;0.4
12;A;[50, 64];1.0;0.8;0.26
13;A;[50, 64];0.5;0.6;0.36
14;A;[50, 64];0.4;0.9;0.04
15;A;[50, 64];1.0;0.8;0.63
16;A;[50, 64];0.7;0.5;0.7
