NodeId;Latitude;Longitude;Status;Resources[CPU Memory Physical Buffer Size];ProcessingDelay;NodeCost;PercentFailure
1;586;195;A;[1000, 1000, 1000];1;5;0.07
2;384;199;A;[1000, 1000, 1000];1;5;0.16
3;324;785;A;[1000, 1000, 1000];1;5;0.03
4;293;617;A;[1000, 1000, 1000];1;5;0.18
5;217;193;A;[1000, 1000, 1000];1;5;0.01
6;351;888;A;[1000, 1000, 1000];1;5;0.09
7;513;381;A;[1000, 1000, 1000];1;5;0.17
8;887;262;A;[1000, 1000, 1000];1;5;0.16
9;798;215;A;[1000, 1000, 1000];1;5;0.05
10;769;921;A;[1000, 1000, 1000];1;5;0.17
11;174;66;A;[1000, 1000, 1000];1;5;0.18
12;436;649;A;[1000, 1000, 1000];1;5;0.08
13;164;225;A;[1000, 1000, 1000];1;5;0.1
14;501;105;A;[1000, 1000, 1000];1;5;0.01
15;386;217;A;[1000, 1000, 1000];1;5;0.2
16;757;126;A;[1000, 1000, 1000];1;5;0.05
17;446;587;A;[1000, 1000, 1000];1;5;0.18
18;575;749;A;[1000, 1000, 1000];1;5;0.02
19;894;438;A;[1000, 1000, 1000];1;5;0.13
20;591;512;A;[1000, 1000, 1000];1;5;0.03
