NodeId;Latitude;Longitude;Status;Resources[CPU Memory Physical Buffer Size];ProcessingDelay;NodeCost;PercentFailure
1;269;602;A;[200, 200, 200];1;5;0.39
2;465;924;A;[200, 200, 200];1;5;0.33
3;326;906;A;[200, 200, 200];1;5;0.35
4;221;766;A;[200, 200, 200];1;5;0.29
5;338;540;A;[200, 200, 200];1;5;0.54
6;841;723;A;[200, 200, 200];1;5;0.3
7;261;406;A;[200, 200, 200];1;5;0.09
8;632;130;A;[200, 200, 200];1;5;0.01
9;400;202;A;[200, 200, 200];1;5;0.16
10;748;829;A;[200, 200, 200];1;5;0.27
11;865;164;A;[200, 200, 200];1;5;0.22
12;797;731;A;[200, 200, 200];1;5;0.32
13;608;346;A;[200, 200, 200];1;5;0.44
14;347;518;A;[200, 200, 200];1;5;0.06
15;836;596;A;[200, 200, 200];1;5;0.01
16;168;208;A;[200, 200, 200];1;5;0.1
17;314;483;A;[200, 200, 200];1;5;0.21
18;781;293;A;[200, 200, 200];1;5;0.4
19;500;485;A;[200, 200, 200];1;5;0.18
20;475;119;A;[200, 200, 200];1;5;0.28
21;503;883;A;[200, 200, 200];1;5;0.1
22;647;762;A;[200, 200, 200];1;5;0.3
23;80;314;A;[200, 200, 200];1;5;0.34
24;771;515;A;[200, 200, 200];1;5;0.19
