NodeId;Latitude;Longitude;Status;Resources[CPU Memory Physical Buffer Size];ProcessingDelay;NodeCost;PercentFailure
1;797;95;A;[60, 60, 60];1;5;0.16
2;679;240;A;[60, 60, 60];1;5;0.04
3;435;411;A;[60, 60, 60];1;5;0.19
4;816;795;A;[60, 60, 60];1;5;0.09
5;667;639;A;[60, 60, 60];1;5;0.11
6;783;595;A;[60, 60, 60];1;5;0.02
7;834;886;A;[60, 60, 60];1;5;0.4
8;277;408;A;[60, 60, 60];1;5;0.21
9;311;115;A;[60, 60, 60];1;5;0.08
10;795;502;A;[60, 60, 60];1;5;0.52
11;347;629;A;[60, 60, 60];1;5;0.17
12;326;589;A;[60, 60, 60];1;5;0.35
13;264;387;A;[60, 60, 60];1;5;0.53
14;811;710;A;[60, 60, 60];1;5;0.4
15;505;231;A;[60, 60, 60];1;5;0.23
16;936;158;A;[60, 60, 60];1;5;0.42
17;864;64;A;[60, 60, 60];1;5;0.47
18;154;91;A;[60, 60, 60];1;5;0.38
19;429;560;A;[60, 60, 60];1;5;0.49
20;617;70;A;[60, 60, 60];1;5;0.17
21;121;252;A;[60, 60, 60];1;5;0.19
22;598;896;A;[60, 60, 60];1;5;0.09
23;817;922;A;[60, 60, 60];1;5;0.34
24;697;163;A;[60, 60, 60];1;5;0.38
25;795;167;A;[60, 60, 60];1;5;0.44
26;221;286;A;[60, 60, 60];1;5;0.2
27;64;339;A;[60, 60, 60];1;5;0.42
28;423;830;A;[60, 60, 60];1;5;0.25
29;854;703;A;[60, 60, 60];1;5;0.23
30;246;901;A;[60, 60, 60];1;5;0.41
31;655;180;A;[60, 60, 60];1;5;0.16
32;703;871;A;[60, 60, 60];1;5;0.47
33;695;658;A;[60, 60, 60];1;5;0.26
34;138;619;A;[60, 60, 60];1;5;0.49
35;926;245;A;[60, 60, 60];1;5;0.33
36;804;331;A;[60, 60, 60];1;5;0.55
37;579;448;A;[60, 60, 60];1;5;0.3
38;411;354;A;[60, 60, 60];1;5;0.46
39;702;416;A;[60, 60, 60];1;5;0.38
40;832;797;A;[60, 60, 60];1;5;0.12
41;302;490;A;[60, 60, 60];1;5;0.35
42;165;632;A;[60, 60, 60];1;5;0.45
43;127;210;A;[60, 60, 60];1;5;0.51
44;701;786;A;[60, 60, 60];1;5;0.44
45;811;892;A;[60, 60, 60];1;5;0.15
46;152;869;A;[60, 60, 60];1;5;0.43
47;635;593;A;[60, 60, 60];1;5;0.07
48;858;404;A;[60, 60, 60];1;5;0.16
49;413;564;A;[60, 60, 60];1;5;0.54
50;853;794;A;[60, 60, 60];1;5;0.44
51;535;565;A;[60, 60, 60];1;5;0.19
52;681;853;A;[60, 60, 60];1;5;0.23
53;184;744;A;[60, 60, 60];1;5;0.13
54;116;188;A;[60, 60, 60];1;5;0.29
55;142;777;A;[60, 60, 60];1;5;0.05
56;761;125;A;[60, 60, 60];1;5;0.28
57;594;918;A;[60, 60, 60];1;5;0.01
58;650;511;A;[60, 60, 60];1;5;0.08
59;829;407;A;[60, 60, 60];1;5;0.48
60;83;907;A;[60, 60, 60];1;5;0.4
61;99;927;A;[60, 60, 60];1;5;0.3
62;848;421;A;[60, 60, 60];1;5;0.37
63;133;713;A;[60, 60, 60];1;5;0.16
64;215;421;A;[60, 60, 60];1;5;0.23
