NodeId;Latitude;Longitude;Status;Resources[CPU Memory Physical Buffer Size];ProcessingDelay;NodeCost;PercentFailure
1;757;419;A;[200, 200, 200];1;5;0.03
2;823;654;A;[200, 200, 200];1;5;0.24
3;113;382;A;[200, 200, 200];1;5;0.54
4;449;274;A;[200, 200, 200];1;5;0.11
5;604;480;A;[200, 200, 200];1;5;0.44
6;376;583;A;[200, 200, 200];1;5;0.54
7;459;785;A;[200, 200, 200];1;5;0.33
8;91;445;A;[200, 200, 200];1;5;0.4
9;922;784;A;[200, 200, 200];1;5;0.5
10;373;815;A;[200, 200, 200];1;5;0.55
11;622;705;A;[200, 200, 200];1;5;0.09
12;832;323;A;[200, 200, 200];1;5;0.05
