NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;A;[50, 64];1.0;0.5;0.54
2;A;[50, 64];0.8;0.7;0.59
3;A;[50, 64];0.7;1.0;0.33
4;A;[50, 64];0.5;0.8;0.71
5;A;[50, 64];0.1;0.9;0.18
6;A;[50, 64];0.5;0.9;0.12
7;A;[50, 64];0.6;1.0;0.31
8;A;[50, 64];1.0;0.8;0.61
9;A;[50, 64];0.5;0.5;0.47
10;A;[50, 64];0.4;0.5;0.55
11;A;[50, 64];0.1;1.0;0.26
12;A;[50, 64];0.1;1.0;0.15
13;A;[50, 64];0.2;1.0;0.54
14;A;[50, 64];0.2;0.7;0.06
15;A;[50, 64];0.9;0.5;0.62
16;A;[50, 64];0.2;0.6;0.13
17;A;[50, 64];0.9;1.0;0.42
18;A;[50, 64];0.3;0.9;0.13
19;A;[50, 64];0.6;1.0;0.67
20;A;[50, 64];0.8;0.9;0.71
21;A;[50, 64];0.2;0.6;0.7
22;A;[50, 64];0.9;0.5;0.33
23;A;[50, 64];0.3;0.7;0.03
24;A;[50, 64];0.5;1.0;0.21
25;A;[50, 64];0.9;0.6;0.31
26;A;[50, 64];0.1;0.8;0.48
27;A;[50, 64];0.5;0.8;0.15
28;A;[50, 64];0.2;0.6;0.63
29;A;[50, 64];0.6;1.0;0.41
30;A;[50, 64];0.4;0.9;0.55
31;A;[50, 64];0.7;0.6;0.44
32;A;[50, 64];0.1;0.8;0.15
33;A;[50, 64];0.8;0.6;0.32
34;A;[50, 64];0.4;0.8;0.75
35;A;[50, 64];0.3;1.0;0.5
36;A;[50, 64];0.1;1.0;0.21
37;A;[50, 64];0.2;0.8;0.54
38;A;[50, 64];0.2;0.6;0.48
39;A;[50, 64];0.4;0.8;0.02
40;A;[50, 64];0.1;0.9;0.34
41;A;[50, 64];0.6;0.7;0.45
42;A;[50, 64];0.3;0.8;0.68
43;A;[50, 64];0.6;0.7;0.17
44;A;[50, 64];0.9;1.0;0.51
45;A;[50, 64];1.0;0.7;0.53
46;A;[50, 64];0.2;0.8;0.07
47;A;[50, 64];0.9;0.6;0.08
48;A;[50, 64];1.0;0.9;0.26
49;A;[50, 64];0.4;1.0;0.22
50;A;[50, 64];0.4;0.9;0.37
