Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;20;191;100;2.65;1.5;0.42
2;129;162;100;2.67;1.5;0.14
3;78;187;100;0.85;1.5;0.64
4;18;200;100;1.38;1.5;0.88
5;21;199;100;2.38;1.5;0.63
6;79;170;100;2.66;1.5;0.61
7;33;182;100;1.32;1.5;0.36
8;48;164;100;1.62;1.5;0.21
9;36;153;100;1.04;1.5;0.37
10;66;188;100;1.13;1.5;0.12
11;134;167;100;2.21;1.5;0.59
12;143;163;100;2.95;1.5;0.85
13;49;190;100;2.33;1.5;0.92
14;77;181;100;2.3;1.5;0.42
15;138;176;100;0.93;1.5;0.61
16;1;152;100;2.09;1.5;0.68
17;123;157;100;1.37;1.5;0.01
18;61;173;100;1.08;1.5;0.3
19;99;166;100;1.19;1.5;0.84
20;56;195;100;2.12;1.5;0.34
21;2;178;100;0.88;1.5;0.44
22;25;189;100;2.73;1.5;0.82
23;12;164;100;1.41;1.5;0.64
24;69;161;100;2.26;1.5;0.62
25;148;161;100;1.25;1.5;0.48
26;100;176;100;2.93;1.5;0.63
27;106;180;100;1.42;1.5;1.0
28;26;190;100;2.19;1.5;0.28
29;4;178;100;1.36;1.5;0.21
30;17;181;100;0.79;1.5;0.25
31;54;154;100;2.04;1.5;0.93
32;85;187;100;0.78;1.5;0.8
33;108;189;100;1.73;1.5;0.43
34;51;185;100;0.87;1.5;0.17
35;23;166;100;2.06;1.5;0.21
36;97;179;100;1.59;1.5;0.54
37;27;157;100;1.61;1.5;0.37
38;42;155;100;1.81;1.5;0.11
39;41;165;100;2.11;1.5;0.11
40;127;168;100;1.36;1.5;0.75
41;72;152;100;0.95;1.5;0.1
42;147;155;100;2.14;1.5;0.31
43;11;167;100;2.03;1.5;0.81
44;45;199;100;1.56;1.5;0.53
45;39;158;100;1.53;1.5;0.49
46;112;173;100;1.74;1.5;0.06
47;22;160;100;2.01;1.5;0.9
48;130;197;100;2.17;1.5;0.81
49;122;192;100;2.19;1.5;0.79
50;68;200;100;0.76;1.5;0.07
51;95;184;100;2.65;1.5;0.49
52;6;191;100;1.45;1.5;0.88
53;125;164;100;2.66;1.5;0.43
54;35;160;100;2.04;1.5;0.03
55;113;162;100;0.99;1.5;0.79
56;19;173;100;1.75;1.5;0.54
57;93;186;100;1.94;1.5;0.54
58;14;195;100;1.95;1.5;0.72
59;139;162;100;1.68;1.5;0.96
60;67;152;100;1.2;1.5;0.76
61;44;193;100;1.16;1.5;0.58
62;15;187;100;0.9;1.5;0.16
63;52;151;100;2.39;1.5;0.5
64;119;180;100;1.54;1.5;0.65
65;105;163;100;2.92;1.5;0.02
66;133;179;100;1.04;1.5;0.46
67;88;156;100;0.93;1.5;0.39
68;116;172;100;1.27;1.5;0.47
69;107;169;100;2.23;1.5;0.79
70;28;178;100;2.72;1.5;0.01
71;71;167;100;2.65;1.5;0.77
72;75;183;100;1.26;1.5;0.41
73;96;190;100;1.07;1.5;0.94
74;144;154;100;1.99;1.5;0.66
75;135;151;100;2.92;1.5;0.06
76;84;179;100;1.03;1.5;0.36
77;86;176;100;1.07;1.5;0.58
78;104;191;100;1.48;1.5;0.74
79;117;185;100;1.39;1.5;0.78
80;59;177;100;2.56;1.5;0.32
81;74;159;100;1.5;1.5;0.13
82;87;193;100;0.85;1.5;0.83
83;131;156;100;1.12;1.5;0.23
84;82;151;100;2.67;1.5;0.15
85;40;200;100;2.68;1.5;0.72
86;47;193;100;1.72;1.5;0.24
87;149;180;100;0.8;1.5;0.69
88;76;174;100;0.87;1.5;0.22
89;126;196;100;1.72;1.5;0.88
90;38;175;100;1.53;1.5;0.47
91;80;153;100;1.1;1.5;0.63
92;141;169;100;1.67;1.5;0.15
93;142;168;100;2.01;1.5;0.92
94;101;194;100;2.91;1.5;0.27
95;89;174;100;2.18;1.5;0.8
96;111;171;100;2.12;1.5;0.4
97;7;196;100;2.61;1.5;0.45
98;73;196;100;2.14;1.5;0.91
99;10;158;100;2.76;1.5;1.0
100;91;177;100;1.76;1.5;0.25
101;60;171;100;2.22;1.5;0.07
102;57;154;100;2.51;1.5;0.85
103;120;192;100;2.25;1.5;0.37
104;140;170;100;2.83;1.5;0.32
105;92;185;100;1.25;1.5;0.44
106;37;194;100;2.5;1.5;0.54
107;29;156;100;2.13;1.5;0.23
108;124;192;100;1.91;1.5;0.51
109;146;174;100;2.46;1.5;0.27
110;132;184;100;1.23;1.5;0.72
111;58;155;100;2.05;1.5;0.78
112;16;183;100;2.12;1.5;0.17
113;70;163;100;2.74;1.5;0.25
114;118;157;100;2.27;1.5;0.05
115;64;186;100;1.35;1.5;0.04
116;110;183;100;1.1;1.5;0.49
117;62;198;100;1.96;1.5;0.43
118;65;160;100;2.61;1.5;0.47
119;128;198;100;1.5;1.5;0.98
120;145;159;100;2.54;1.5;0.9
121;9;171;100;1.35;1.5;0.69
122;83;184;100;1.38;1.5;0.11
123;50;181;100;1.16;1.5;0.39
124;32;175;100;1.04;1.5;0.34
125;81;186;100;2.84;1.5;0.74
126;24;198;100;2.36;1.5;0.46
127;3;169;100;2.63;1.5;0.55
128;43;168;100;1.09;1.5;0.19
