Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;1;2;1000;1.77;1.5;0.36
2;1;3;1000;2.32;1.5;0.84
3;2;4;1000;1.1;1.5;0.71
4;2;5;1000;0.88;1.5;0.33
5;2;6;1000;2.96;1.5;0.74
6;3;4;1000;1.59;1.5;0.46
7;3;5;1000;2.46;1.5;0.18
8;3;6;1000;1.94;1.5;0.02
9;4;10;1000;1.4;1.5;0.61
10;5;12;1000;0.79;1.5;0.07
11;6;7;1000;2.04;1.5;0.76
12;6;8;1000;2.77;1.5;0.1
13;7;10;1000;0.92;1.5;0.72
14;8;9;1000;2.92;1.5;0.76
15;8;13;1000;1.03;1.5;0.98
16;9;11;1000;2.54;1.5;0.91
17;10;11;1000;2.15;1.5;0.57
18;10;16;1000;0.94;1.5;0.94
19;11;12;1000;1.36;1.5;0.39
20;12;14;1000;1.55;1.5;0.7
21;12;15;1000;1.31;1.5;0.69
22;13;14;1000;2.67;1.5;0.6
23;13;15;1000;1.43;1.5;0.26
24;13;16;1000;1.95;1.5;0.27
25;15;16;1000;2.61;1.5;0.66
