requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;29;22;['F1'];5
2;24;9;['F3', 'F4'];5
3;26;22;['F1', 'F6', 'F2'];5
4;10;32;['F6'];5
5;7;17;['F4', 'F5', 'F1'];5
6;42;23;['F3', 'F5'];5
7;42;26;['F2', 'F5', 'F6'];5
8;31;12;['F6', 'F2'];5
9;34;21;['F4'];5
10;9;13;['F5', 'F3'];5
11;13;32;['F4'];5
12;33;25;['F1', 'F3', 'F4'];5
13;22;2;['F6', 'F1', 'F5'];5
14;41;17;['F4', 'F3', 'F1', 'F2'];5
15;37;6;['F5', 'F6', 'F4'];5
16;9;28;['F2', 'F3', 'F5'];5
17;28;42;['F2'];5
18;16;5;['F3'];5
19;24;18;['F3', 'F6'];5
20;8;24;['F6', 'F4', 'F1', 'F3', 'F2', 'F5'];5
21;25;35;['F4', 'F6', 'F2', 'F5', 'F3'];5
22;21;16;['F5', 'F1'];5
23;33;4;['F2', 'F5', 'F6'];5
24;21;28;['F5', 'F6'];5
25;32;28;['F4', 'F6'];5
26;35;42;['F6', 'F2'];5
27;16;20;['F6', 'F4'];5
28;15;37;['F1', 'F6', 'F3'];5
29;18;17;['F4', 'F2'];5
30;32;25;['F5', 'F1'];5
31;3;2;['F6', 'F2', 'F3', 'F1'];5
32;8;16;['F4'];5
33;39;33;['F6', 'F3', 'F1', 'F4'];5
34;40;17;['F2', 'F3', 'F5', 'F6', 'F4'];5
35;32;4;['F1', 'F5', 'F3', 'F2', 'F6'];5
36;33;4;['F1', 'F3', 'F4', 'F6'];5
37;35;17;['F5', 'F3'];5
38;3;26;['F5', 'F1', 'F3', 'F4'];5
39;33;14;['F4', 'F1', 'F6', 'F3', 'F5'];5
40;24;20;['F3', 'F6', 'F1'];5
41;25;3;['F5', 'F4', 'F3', 'F6'];5
42;42;14;['F5', 'F3', 'F4'];5
43;14;17;['F6', 'F4', 'F1'];5
44;32;20;['F4', 'F6'];5
45;3;35;['F5', 'F1'];5
46;17;28;['F2', 'F1'];5
47;9;12;['F2', 'F1', 'F6'];5
48;41;6;['F1', 'F4', 'F2'];5
49;1;32;['F1', 'F2', 'F5'];5
50;7;24;['F1', 'F5'];5
51;15;8;['F3', 'F6', 'F2'];5
52;23;5;['F2', 'F5'];5
53;20;23;['F1', 'F2', 'F3'];5
54;42;41;['F2', 'F5'];5
55;36;10;['F3', 'F2', 'F1'];5
56;7;14;['F3', 'F5', 'F1', 'F6'];5
57;30;9;['F3'];5
58;31;3;['F3', 'F5'];5
59;4;6;['F6', 'F2', 'F5', 'F4', 'F3', 'F1'];5
60;21;8;['F1', 'F3', 'F4'];5
61;16;29;['F6'];5
62;25;35;['F3', 'F1'];5
63;31;36;['F2', 'F5', 'F6'];5
64;21;32;['F2', 'F5'];5
65;26;23;['F4', 'F3', 'F2', 'F5', 'F6'];5
66;1;19;['F6', 'F1'];5
67;13;25;['F5', 'F4'];5
68;25;18;['F5', 'F1', 'F2'];5
69;37;21;['F2', 'F1'];5
70;7;9;['F2', 'F4'];5
71;37;12;['F1', 'F2', 'F6'];5
72;1;12;['F4', 'F3'];5
73;28;42;['F5', 'F4'];5
74;24;23;['F2', 'F3', 'F4', 'F6'];5
75;15;12;['F2', 'F3', 'F1', 'F6'];5
76;1;7;['F1'];5
77;4;28;['F3', 'F5'];5
78;28;24;['F6'];5
79;5;38;['F3', 'F2', 'F5', 'F6', 'F1'];5
80;24;27;['F2'];5
81;42;19;['F2', 'F5', 'F3'];5
82;40;31;['F2', 'F4'];5
83;5;14;['F5', 'F6', 'F4'];5
84;24;22;['F1', 'F4'];5
85;19;15;['F4'];5
86;8;32;['F5', 'F6', 'F2', 'F1', 'F4'];5
87;13;23;['F5'];5
88;42;30;['F5', 'F6', 'F2', 'F1', 'F3'];5
89;2;32;['F5', 'F2', 'F6', 'F1'];5
90;27;7;['F2', 'F1'];5
91;6;24;['F4', 'F3', 'F6', 'F2'];5
92;6;33;['F2', 'F6', 'F3'];5
93;12;42;['F1', 'F6'];5
94;8;20;['F4'];5
95;34;14;['F1', 'F6', 'F2', 'F5'];5
96;19;1;['F2', 'F3'];5
97;23;2;['F5', 'F3', 'F4'];5
98;6;33;['F2', 'F1', 'F3'];5
99;30;12;['F6', 'F5', 'F3', 'F2'];5
100;36;41;['F6', 'F4', 'F2'];5
101;31;11;['F2', 'F5', 'F6', 'F1', 'F4'];5
102;13;7;['F2'];5
103;23;25;['F3', 'F1', 'F6'];5
104;14;34;['F1', 'F2', 'F6'];5
105;23;28;['F5', 'F4', 'F3'];5
