requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;31;41;['F6', 'F1'];5
2;40;10;['F6'];5
3;20;39;['F4', 'F5', 'F3'];5
4;4;18;['F1'];5
5;6;25;['F1', 'F6'];5
6;40;32;['F1'];5
7;17;14;['F5', 'F4', 'F3', 'F1'];5
8;16;8;['F5', 'F2', 'F4'];5
9;14;32;['F2', 'F6'];5
10;4;38;['F5', 'F1', 'F3', 'F2'];5
11;27;37;['F3', 'F2'];5
12;20;1;['F5', 'F6', 'F1', 'F4', 'F2'];5
13;40;14;['F5', 'F6', 'F2', 'F1'];5
14;21;29;['F1'];5
15;21;40;['F6', 'F5'];5
16;41;23;['F5', 'F1', 'F4', 'F6'];5
17;41;11;['F2', 'F5'];5
18;14;35;['F1', 'F5', 'F6'];5
19;39;41;['F5'];5
20;7;34;['F4'];5
21;8;6;['F3', 'F4', 'F2'];5
22;42;12;['F2', 'F1', 'F4', 'F6', 'F3'];5
23;37;36;['F6', 'F5', 'F1'];5
24;2;4;['F5', 'F1'];5
25;38;1;['F1', 'F4'];5
26;26;10;['F2'];5
27;17;21;['F2', 'F5'];5
28;37;19;['F6'];5
29;33;12;['F6', 'F3', 'F4', 'F5'];5
30;5;37;['F2', 'F5', 'F1'];5
31;38;3;['F3'];5
32;23;41;['F5', 'F3'];5
33;16;37;['F2', 'F6', 'F4'];5
34;15;34;['F6'];5
35;4;10;['F3', 'F6', 'F4'];5
36;1;14;['F5', 'F3', 'F4'];5
37;3;39;['F6'];5
38;34;19;['F5', 'F4', 'F2', 'F1'];5
39;6;42;['F3'];5
40;36;23;['F5', 'F2', 'F3'];5
41;33;39;['F4', 'F5'];5
42;1;37;['F1'];5
43;35;12;['F5', 'F4', 'F6', 'F3'];5
44;3;31;['F5', 'F2'];5
45;26;1;['F4', 'F3', 'F2', 'F6', 'F1'];5
46;25;11;['F5', 'F3', 'F4'];5
47;24;20;['F3', 'F6', 'F1'];5
48;11;33;['F5', 'F3'];5
49;23;28;['F2', 'F3'];5
50;30;7;['F6', 'F5'];5
51;13;28;['F5', 'F2', 'F1', 'F4', 'F3'];5
52;28;29;['F5', 'F6', 'F1', 'F3'];5
53;13;24;['F3', 'F2', 'F1'];5
54;10;35;['F5', 'F3', 'F6', 'F1'];5
55;28;8;['F6', 'F4', 'F5'];5
56;29;37;['F1', 'F2'];5
57;29;17;['F2', 'F5', 'F1', 'F3'];5
58;16;20;['F6', 'F1', 'F5'];5
59;33;15;['F4', 'F2', 'F1'];5
60;31;5;['F1', 'F6', 'F2'];5
61;1;35;['F4', 'F2', 'F1'];5
62;15;7;['F5', 'F3'];5
63;6;2;['F6', 'F3', 'F2', 'F1'];5
64;30;28;['F3', 'F6', 'F1'];5
65;39;7;['F1', 'F4', 'F5'];5
66;40;11;['F4', 'F5', 'F3'];5
67;34;16;['F1', 'F6'];5
68;27;11;['F4', 'F2', 'F1'];5
69;33;2;['F4', 'F2'];5
70;7;4;['F1', 'F6', 'F2'];5
71;14;1;['F6', 'F5'];5
72;37;25;['F2', 'F3', 'F4'];5
73;27;30;['F5', 'F4', 'F1', 'F6'];5
74;23;24;['F4', 'F3', 'F5', 'F1'];5
75;36;5;['F1', 'F3', 'F2', 'F6'];5
76;3;22;['F5', 'F6'];5
77;34;2;['F1', 'F2', 'F4'];5
78;19;9;['F1'];5
79;5;25;['F1', 'F6'];5
80;38;13;['F6'];5
81;4;22;['F5'];5
82;13;14;['F2', 'F4', 'F6', 'F5'];5
83;14;28;['F5', 'F1', 'F4'];5
84;18;30;['F2', 'F1', 'F5'];5
85;1;7;['F1', 'F3', 'F4'];5
86;40;16;['F1'];5
87;38;34;['F4', 'F2', 'F5'];5
88;10;19;['F2'];5
89;23;22;['F5', 'F1', 'F6'];5
90;39;25;['F6', 'F5'];5
91;15;30;['F4', 'F2'];5
92;2;29;['F1', 'F5', 'F2'];5
93;38;9;['F3', 'F1', 'F6', 'F2', 'F4'];5
94;38;18;['F4', 'F2', 'F1'];5
95;29;19;['F3'];5
96;1;28;['F2'];5
97;21;19;['F1', 'F4'];5
98;40;21;['F4', 'F3', 'F2'];5
99;28;27;['F1', 'F6', 'F2'];5
100;7;38;['F5', 'F1', 'F6', 'F2'];5
101;10;31;['F4', 'F2', 'F6', 'F3', 'F5'];5
102;5;30;['F1', 'F5', 'F3', 'F4'];5
103;29;23;['F3', 'F1'];5
104;13;6;['F1', 'F4', 'F6'];5
105;16;29;['F2'];5
106;34;32;['F4', 'F3'];5
107;40;6;['F3', 'F1', 'F5', 'F4'];5
108;40;3;['F1'];5
109;25;20;['F5', 'F3', 'F6'];5
110;3;6;['F1'];5
111;2;1;['F3', 'F2', 'F1', 'F6', 'F4'];5
112;32;22;['F4', 'F6', 'F3'];5
113;7;28;['F2', 'F4', 'F5', 'F3'];5
114;27;10;['F2'];5
115;14;2;['F3', 'F6'];5
116;23;27;['F5', 'F4', 'F2'];5
117;41;5;['F5', 'F1', 'F3'];5
118;35;14;['F5', 'F1', 'F6', 'F2'];5
119;5;19;['F5', 'F4', 'F2', 'F1'];5
120;34;22;['F4'];5
121;19;15;['F2', 'F4'];5
122;19;16;['F4', 'F1'];5
123;20;26;['F3', 'F5'];5
124;42;13;['F5', 'F3', 'F2', 'F6'];5
