requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;5;3;['F5', 'F1'];5
2;18;4;['F3', 'F4', 'F2', 'F5'];5
3;10;18;['F3', 'F6', 'F2'];5
4;15;10;['F6', 'F5'];5
5;14;7;['F6', 'F2', 'F4'];5
6;9;5;['F4', 'F6', 'F5'];5
7;2;13;['F6', 'F1', 'F4', 'F2'];5
8;18;6;['F5', 'F6'];5
9;1;11;['F2'];5
10;9;1;['F4', 'F3', 'F1', 'F2'];5
11;9;7;['F1', 'F2', 'F5', 'F6'];5
12;4;10;['F4'];5
13;4;5;['F2'];5
14;4;18;['F2', 'F4', 'F3'];5
15;3;20;['F1', 'F6', 'F2'];5
16;9;1;['F6', 'F5', 'F1'];5
17;7;15;['F3', 'F4', 'F5', 'F2'];5
18;11;17;['F5', 'F1', 'F6'];5
19;19;9;['F1', 'F6', 'F4'];5
20;20;15;['F2', 'F6', 'F1'];5
21;4;18;['F5'];5
22;13;8;['F3', 'F6', 'F2', 'F1', 'F5', 'F4'];5
23;8;17;['F3', 'F2'];5
24;13;12;['F5'];5
25;5;2;['F2', 'F3', 'F6', 'F4'];5
26;20;2;['F1', 'F3', 'F2', 'F4'];5
27;15;7;['F4'];5
28;15;17;['F6', 'F2', 'F1'];5
29;13;11;['F1', 'F4', 'F5'];5
30;3;4;['F6'];5
31;19;14;['F3', 'F2', 'F4', 'F5', 'F6'];5
32;19;10;['F6', 'F4', 'F3', 'F1'];5
33;13;2;['F3', 'F2', 'F1'];5
34;7;3;['F4', 'F3', 'F2', 'F6'];5
35;8;16;['F6', 'F4', 'F1'];5
36;12;4;['F4', 'F3', 'F2', 'F6'];5
37;9;17;['F2', 'F4'];5
38;13;11;['F1', 'F3', 'F4', 'F6'];5
39;11;20;['F1', 'F6'];5
40;3;9;['F3'];5
41;7;1;['F6', 'F1', 'F2'];5
42;6;14;['F4', 'F3', 'F5'];5
43;14;16;['F5'];5
44;12;11;['F4', 'F5'];5
45;13;10;['F2', 'F4', 'F1', 'F5', 'F3'];5
46;4;17;['F3'];5
47;14;9;['F2', 'F1', 'F6'];5
48;1;5;['F3', 'F4', 'F2', 'F6'];5
49;10;7;['F6', 'F2', 'F4', 'F1'];5
50;1;18;['F6'];5
51;16;13;['F6', 'F1'];5
52;19;13;['F5'];5
53;19;20;['F1', 'F5'];5
54;5;16;['F6'];5
55;12;7;['F4', 'F5'];5
56;7;19;['F6', 'F1', 'F3', 'F4'];5
57;17;1;['F2', 'F3'];5
58;20;13;['F4'];5
59;14;17;['F1', 'F2', 'F3', 'F6'];5
60;2;1;['F4'];5
61;12;7;['F4', 'F5', 'F2', 'F6'];5
62;11;13;['F4', 'F2', 'F1', 'F6'];5
63;9;8;['F6', 'F1', 'F3', 'F5', 'F2'];5
64;3;16;['F6', 'F5', 'F1'];5
65;9;5;['F3', 'F6', 'F5', 'F2', 'F1'];5
66;12;8;['F1', 'F6', 'F2'];5
67;13;9;['F2', 'F6'];5
68;18;1;['F6'];5
69;13;7;['F3', 'F1'];5
70;17;2;['F4', 'F6'];5
71;10;14;['F5'];5
72;14;12;['F5', 'F4', 'F6', 'F3'];5
73;18;13;['F2', 'F3'];5
74;19;10;['F2', 'F6', 'F5'];5
75;1;12;['F2', 'F6'];5
76;17;14;['F1', 'F3'];5
77;10;19;['F6'];5
78;13;17;['F5'];5
79;18;2;['F6', 'F1', 'F5', 'F3'];5
80;4;6;['F5', 'F6', 'F1'];5
81;8;16;['F5', 'F2', 'F4'];5
82;2;3;['F2', 'F6'];5
83;17;16;['F6', 'F5', 'F2', 'F4', 'F1'];5
84;6;18;['F1', 'F6', 'F3'];5
85;15;10;['F6', 'F2', 'F5', 'F1'];5
86;10;18;['F5', 'F1'];5
87;16;11;['F4', 'F5'];5
88;20;17;['F4', 'F5'];5
89;8;18;['F1', 'F2'];5
90;12;11;['F6', 'F3'];5
91;19;13;['F2', 'F5'];5
92;2;7;['F2', 'F1', 'F5'];5
93;15;5;['F5', 'F4'];5
94;8;15;['F1', 'F6'];5
95;1;16;['F6', 'F5', 'F4'];5
96;16;7;['F1', 'F4', 'F3', 'F2', 'F5'];5
97;13;15;['F1', 'F4'];5
98;18;3;['F2', 'F6'];5
99;11;14;['F1', 'F4', 'F5', 'F6'];5
100;7;20;['F6', 'F4'];5
