requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;5;15;['F3', 'F1', 'F5', 'F2'];5
2;12;22;['F4', 'F3', 'F1', 'F6'];5
3;5;2;['F2', 'F5'];5
4;17;3;['F3', 'F4', 'F1', 'F6'];5
5;6;3;['F1', 'F5'];5
6;23;10;['F2', 'F1', 'F3'];5
7;22;4;['F1', 'F3', 'F2'];5
8;20;10;['F4', 'F2', 'F5'];5
9;21;24;['F6', 'F2', 'F1'];5
10;19;20;['F2', 'F5', 'F6'];5
11;11;20;['F2', 'F1', 'F3', 'F5'];5
12;9;17;['F4', 'F3', 'F2', 'F6'];5
13;8;7;['F5', 'F6', 'F2', 'F3'];5
14;12;10;['F2', 'F6'];5
15;12;10;['F5', 'F1'];5
16;6;20;['F1'];5
17;22;18;['F2', 'F4'];5
18;7;24;['F4', 'F1', 'F5'];5
19;23;4;['F5', 'F4'];5
20;16;1;['F4', 'F5', 'F1'];5
21;23;7;['F1', 'F3', 'F5'];5
22;4;6;['F5', 'F3', 'F1', 'F4'];5
23;23;24;['F2', 'F5'];5
24;23;22;['F3', 'F5', 'F2', 'F6'];5
25;2;5;['F1', 'F6', 'F5'];5
26;13;16;['F5', 'F4', 'F1'];5
27;24;17;['F5', 'F1', 'F4'];5
28;10;18;['F1', 'F2'];5
29;6;4;['F6', 'F2'];5
30;24;20;['F5', 'F4', 'F2'];5
31;1;12;['F4'];5
32;7;14;['F4', 'F3', 'F1', 'F5', 'F2'];5
33;23;24;['F5', 'F2', 'F1', 'F6'];5
34;3;7;['F6', 'F2', 'F4'];5
35;11;9;['F2', 'F4'];5
36;23;2;['F3', 'F4'];5
37;6;8;['F5', 'F3', 'F6', 'F1'];5
38;6;22;['F1', 'F6', 'F5', 'F4'];5
39;24;9;['F2', 'F1', 'F3'];5
40;11;3;['F5', 'F4', 'F3'];5
41;3;17;['F2', 'F5', 'F1', 'F3', 'F6'];5
42;17;18;['F2', 'F3', 'F4'];5
43;22;9;['F4', 'F5', 'F3'];5
44;2;8;['F5', 'F6', 'F1'];5
45;16;8;['F2', 'F6', 'F4', 'F5'];5
46;10;22;['F3', 'F4', 'F6'];5
47;13;24;['F3', 'F4', 'F1'];5
48;9;22;['F2', 'F4'];5
49;4;17;['F4', 'F2', 'F6'];5
50;3;5;['F4', 'F6'];5
51;8;22;['F6', 'F1'];5
52;15;13;['F6', 'F2'];5
53;3;9;['F6', 'F4', 'F2'];5
54;15;5;['F5', 'F2', 'F1', 'F3'];5
55;23;13;['F3', 'F2'];5
56;6;10;['F3', 'F4'];5
57;19;9;['F5'];5
58;5;1;['F6', 'F5', 'F2', 'F3'];5
59;2;10;['F5', 'F2', 'F6'];5
60;18;24;['F2', 'F6', 'F1', 'F3'];5
61;6;24;['F4', 'F3'];5
62;1;18;['F5', 'F3'];5
63;4;14;['F5', 'F4', 'F2'];5
64;6;13;['F6', 'F1'];5
65;1;13;['F5'];5
66;9;5;['F5', 'F4', 'F1'];5
67;2;8;['F1', 'F2', 'F3', 'F6'];5
68;20;24;['F6'];5
69;22;8;['F2', 'F6'];5
70;9;2;['F4', 'F5'];5
71;13;3;['F5'];5
72;20;12;['F5'];5
73;20;1;['F5'];5
74;14;1;['F3', 'F1', 'F4', 'F2'];5
75;19;1;['F4'];5
76;22;5;['F1', 'F5'];5
77;20;23;['F5', 'F1'];5
78;14;21;['F4', 'F3'];5
79;8;11;['F2'];5
80;5;13;['F1', 'F2', 'F4'];5
81;5;23;['F2', 'F3'];5
82;21;1;['F4', 'F1'];5
83;11;5;['F3', 'F6'];5
84;10;18;['F1', 'F6', 'F2', 'F4'];5
85;5;7;['F1'];5
86;20;23;['F2', 'F5', 'F6', 'F3'];5
87;3;2;['F3', 'F6', 'F2'];5
88;2;12;['F1', 'F5'];5
89;23;1;['F6', 'F2', 'F3'];5
90;21;20;['F5'];5
91;17;10;['F5', 'F2', 'F3'];5
92;10;7;['F4', 'F6', 'F1'];5
93;16;14;['F5'];5
94;2;4;['F4'];5
95;24;4;['F4', 'F3', 'F1'];5
96;5;18;['F2', 'F1'];5
97;2;5;['F3', 'F6', 'F5'];5
98;9;16;['F6', 'F2', 'F5', 'F3'];5
99;20;23;['F2', 'F5'];5
100;4;12;['F6'];5
101;24;14;['F6'];5
102;3;4;['F2', 'F6', 'F3'];5
103;11;7;['F3', 'F4', 'F5'];5
104;17;23;['F4', 'F5', 'F2'];5
105;5;12;['F3', 'F4', 'F6', 'F5'];5
106;4;1;['F1', 'F3'];5
107;10;24;['F1', 'F4', 'F2'];5
108;13;17;['F1', 'F5', 'F4'];5
109;1;6;['F4'];5
110;9;6;['F2', 'F3'];5
111;1;23;['F3', 'F4', 'F6', 'F1'];5
112;11;1;['F4'];5
113;4;17;['F5'];5
114;4;13;['F3'];5
115;10;4;['F3', 'F1'];5
116;16;5;['F4', 'F1', 'F5', 'F3'];5
117;10;5;['F2', 'F3', 'F1', 'F6'];5
118;19;16;['F4', 'F2'];5
119;10;23;['F3', 'F1', 'F6', 'F4'];5
120;15;23;['F5', 'F4', 'F6', 'F1'];5
121;21;9;['F5', 'F1'];5
122;5;12;['F2'];5
123;10;22;['F5'];5
124;17;3;['F4', 'F2', 'F3'];5
125;10;2;['F2', 'F5', 'F3'];5
126;7;11;['F5', 'F1'];5
127;21;14;['F2'];5
128;20;9;['F5'];5
129;22;7;['F6', 'F1', 'F4'];5
130;9;6;['F2', 'F1', 'F5', 'F6'];5
131;20;10;['F3', 'F4'];5
132;15;10;['F2', 'F1', 'F3', 'F6', 'F4'];5
133;19;13;['F6', 'F4'];5
134;16;4;['F1'];5
