requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;27;43;['F2'];5
2;11;54;['F3', 'F5', 'F2', 'F1'];5
3;49;44;['F1', 'F4', 'F6', 'F3'];5
4;8;35;['F3', 'F4', 'F2', 'F6'];5
5;21;48;['F5'];5
6;35;37;['F3', 'F6'];5
7;2;47;['F2', 'F1', 'F3', 'F6', 'F5'];5
8;56;45;['F6', 'F5', 'F1'];5
9;51;64;['F6', 'F2', 'F5', 'F3'];5
10;55;15;['F2', 'F3'];5
11;61;36;['F4', 'F3'];5
12;9;34;['F2', 'F1', 'F6', 'F4'];5
13;60;41;['F3', 'F1', 'F2'];5
14;3;25;['F3', 'F6'];5
15;42;4;['F5', 'F2'];5
16;35;19;['F1', 'F2', 'F6', 'F3'];5
17;59;14;['F2', 'F5', 'F3'];5
18;40;58;['F3', 'F6'];5
19;59;54;['F6', 'F5', 'F4', 'F3'];5
20;59;32;['F6', 'F2'];5
21;5;13;['F5'];5
22;53;20;['F5'];5
23;2;36;['F6', 'F3', 'F5', 'F1'];5
24;40;52;['F3', 'F2', 'F6', 'F4'];5
25;12;64;['F4', 'F6', 'F2'];5
26;54;40;['F4', 'F3', 'F5'];5
27;35;11;['F6', 'F3'];5
28;19;23;['F1', 'F4', 'F2', 'F3'];5
29;50;1;['F3'];5
30;32;28;['F1', 'F5', 'F4'];5
31;37;50;['F5'];5
32;1;40;['F5'];5
33;24;62;['F6', 'F3', 'F1'];5
34;45;18;['F3', 'F2'];5
35;55;47;['F1', 'F6', 'F5', 'F2'];5
36;6;3;['F3', 'F5'];5
37;24;10;['F6'];5
38;53;3;['F3'];5
39;56;47;['F1', 'F5', 'F3', 'F4'];5
40;23;31;['F2', 'F1', 'F4'];5
41;23;22;['F2'];5
42;48;63;['F6', 'F3'];5
43;60;26;['F6', 'F3', 'F1'];5
44;4;19;['F2', 'F5', 'F3', 'F6'];5
45;45;5;['F6', 'F4', 'F2', 'F5'];5
46;49;33;['F1', 'F5', 'F3'];5
47;31;45;['F5'];5
48;38;2;['F6', 'F5'];5
49;64;42;['F1'];5
50;61;56;['F2', 'F5', 'F3'];5
51;6;53;['F4', 'F2', 'F6'];5
52;53;21;['F1'];5
53;63;54;['F1', 'F6', 'F4', 'F3', 'F5'];5
54;12;46;['F2', 'F1', 'F5', 'F6', 'F3'];5
55;3;7;['F5'];5
56;35;51;['F1', 'F6', 'F2'];5
57;37;55;['F3', 'F6', 'F1', 'F2'];5
58;5;1;['F6', 'F2'];5
59;53;36;['F5', 'F3'];5
60;12;64;['F1', 'F5'];5
61;20;11;['F3', 'F5'];5
62;36;15;['F3', 'F4'];5
63;30;5;['F1', 'F3', 'F2', 'F6'];5
64;41;32;['F3', 'F6', 'F4', 'F5', 'F2'];5
65;64;63;['F2', 'F5', 'F1', 'F4', 'F3'];5
66;10;24;['F1'];5
67;37;7;['F4', 'F3', 'F1'];5
68;49;37;['F3'];5
69;2;55;['F3', 'F1'];5
70;35;15;['F4', 'F1', 'F3', 'F2'];5
71;50;43;['F3', 'F1', 'F6'];5
72;56;54;['F1'];5
73;11;18;['F3', 'F1', 'F4', 'F5', 'F2'];5
74;62;28;['F4'];5
75;14;53;['F3'];5
76;3;60;['F1', 'F4', 'F2'];5
77;10;3;['F1', 'F5'];5
78;28;34;['F4', 'F3', 'F5'];5
79;31;22;['F6'];5
80;13;54;['F4'];5
81;30;40;['F2', 'F1', 'F4', 'F5'];5
82;50;9;['F1', 'F3', 'F6', 'F5'];5
83;27;29;['F3', 'F4', 'F2', 'F6'];5
84;4;15;['F6', 'F2'];5
85;4;5;['F5'];5
86;27;14;['F4', 'F5', 'F2', 'F3', 'F6'];5
87;13;56;['F5', 'F1', 'F4'];5
88;23;27;['F6'];5
89;16;3;['F3'];5
90;54;52;['F2', 'F3'];5
91;11;13;['F6', 'F5', 'F4'];5
92;31;52;['F2', 'F4'];5
93;63;60;['F6', 'F1'];5
94;54;15;['F1', 'F4', 'F2'];5
95;55;2;['F6'];5
96;62;49;['F1', 'F3', 'F5'];5
97;52;63;['F4', 'F1'];5
98;21;38;['F4', 'F6', 'F5'];5
99;7;34;['F3'];5
100;41;55;['F6', 'F3', 'F5', 'F2'];5
101;31;6;['F5', 'F4'];5
102;40;19;['F2', 'F6', 'F1', 'F4'];5
103;27;46;['F1', 'F4'];5
104;38;30;['F3', 'F1'];5
105;11;27;['F1'];5
106;7;30;['F5'];5
107;54;17;['F4', 'F2', 'F6'];5
108;60;59;['F6', 'F1', 'F4'];5
109;45;30;['F4', 'F2', 'F6'];5
110;41;20;['F4', 'F3'];5
111;57;33;['F2', 'F6', 'F3'];5
112;18;27;['F1', 'F3', 'F5', 'F2'];5
113;53;3;['F6', 'F4', 'F3'];5
114;40;61;['F1'];5
115;4;43;['F3'];5
116;44;8;['F1', 'F3', 'F2', 'F6', 'F4'];5
117;36;28;['F4', 'F3', 'F5', 'F2'];5
118;23;16;['F2', 'F1', 'F6'];5
119;29;43;['F2', 'F6'];5
120;29;46;['F5', 'F1'];5
121;13;57;['F3', 'F1', 'F6', 'F5'];5
122;4;37;['F1', 'F5', 'F2'];5
123;2;7;['F3', 'F2'];5
124;60;64;['F4'];5
125;10;34;['F6', 'F5'];5
126;1;33;['F3', 'F6', 'F5'];5
127;27;13;['F4', 'F1'];5
128;18;27;['F1'];5
129;20;39;['F6', 'F4'];5
130;56;3;['F5'];5
131;62;1;['F1', 'F3', 'F2', 'F6', 'F5'];5
132;40;56;['F2', 'F1', 'F4'];5
133;36;32;['F1'];5
134;4;59;['F3', 'F4', 'F6'];5
135;14;40;['F6', 'F2', 'F3'];5
136;29;47;['F4', 'F1', 'F2', 'F3'];5
137;14;5;['F5', 'F4', 'F2', 'F3'];5
138;55;44;['F4'];5
139;44;53;['F4', 'F5', 'F1', 'F3', 'F2'];5
140;62;33;['F4', 'F1', 'F2'];5
141;45;21;['F6', 'F2'];5
142;38;29;['F2', 'F5', 'F3'];5
143;15;41;['F6', 'F4'];5
144;12;10;['F6'];5
145;10;61;['F2', 'F6'];5
146;64;32;['F4', 'F1', 'F6'];5
147;50;60;['F1'];5
148;5;57;['F6'];5
149;43;27;['F2'];5
150;25;57;['F2'];5
