requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;13;19;['F5', 'F2'];5
2;21;27;['F5', 'F4', 'F3', 'F2', 'F6'];5
3;34;40;['F1'];5
4;33;7;['F1', 'F5', 'F3', 'F4'];5
5;44;14;['F1', 'F4', 'F2', 'F6'];5
6;15;28;['F2', 'F5', 'F4'];5
7;45;42;['F4', 'F5', 'F6'];5
8;4;25;['F6', 'F5', 'F3'];5
9;8;14;['F6', 'F1', 'F4'];5
10;16;26;['F3'];5
11;40;2;['F3', 'F4'];5
12;27;25;['F2'];5
13;24;1;['F2', 'F3', 'F5', 'F6'];5
14;11;34;['F2', 'F1', 'F3'];5
15;41;7;['F6', 'F3'];5
16;47;45;['F4', 'F3'];5
17;48;1;['F5', 'F3', 'F6', 'F2'];5
18;25;26;['F6', 'F1'];5
19;9;21;['F2', 'F6'];5
20;29;42;['F6'];5
21;7;25;['F5', 'F4'];5
22;29;34;['F4', 'F3', 'F6', 'F2'];5
23;25;22;['F4', 'F5', 'F2'];5
24;10;46;['F5', 'F2', 'F3', 'F1'];5
25;25;32;['F3', 'F4', 'F6', 'F2', 'F5'];5
26;25;9;['F3', 'F4'];5
27;6;48;['F2', 'F4'];5
28;6;14;['F5', 'F2'];5
29;36;7;['F2', 'F5', 'F3'];5
30;9;23;['F3', 'F2', 'F6', 'F1'];5
31;41;5;['F1', 'F6', 'F2'];5
32;42;3;['F3', 'F1'];5
33;29;46;['F2', 'F5', 'F1', 'F4', 'F3'];5
34;23;2;['F1'];5
35;48;1;['F1', 'F2', 'F6', 'F5'];5
36;9;47;['F3', 'F1'];5
37;5;6;['F5', 'F4'];5
38;22;32;['F4', 'F3', 'F5'];5
39;20;26;['F3'];5
40;22;44;['F6', 'F3', 'F4'];5
41;46;20;['F4', 'F2', 'F5', 'F6'];5
42;22;1;['F2', 'F6', 'F3', 'F1'];5
43;9;16;['F4', 'F3', 'F6', 'F1', 'F5'];5
44;9;40;['F6', 'F2', 'F1', 'F5'];5
45;1;20;['F1'];5
46;15;21;['F6', 'F3'];5
47;11;24;['F6', 'F1', 'F2', 'F3', 'F5', 'F4'];5
48;47;8;['F2', 'F3', 'F1', 'F4', 'F6'];5
49;3;25;['F6', 'F2', 'F5'];5
50;27;25;['F1', 'F3', 'F6'];5
51;43;38;['F6', 'F3', 'F1', 'F2'];5
52;15;32;['F4', 'F5'];5
53;1;11;['F3', 'F1', 'F6', 'F2'];5
54;5;28;['F4'];5
55;40;10;['F5', 'F4', 'F3'];5
56;21;46;['F2', 'F4', 'F1', 'F6', 'F3'];5
57;41;4;['F4', 'F5'];5
58;8;23;['F4', 'F5', 'F6'];5
59;26;35;['F1', 'F5', 'F4', 'F3'];5
60;29;23;['F3', 'F4'];5
61;15;16;['F5', 'F2', 'F1'];5
62;37;10;['F6', 'F5', 'F4', 'F3'];5
63;25;14;['F3', 'F1'];5
64;27;40;['F5', 'F1', 'F4'];5
65;42;5;['F6', 'F4', 'F3', 'F2'];5
66;22;5;['F5'];5
67;22;20;['F6', 'F1', 'F2'];5
68;6;10;['F4', 'F5', 'F6'];5
69;40;22;['F1', 'F4', 'F5', 'F3'];5
70;8;37;['F6', 'F3', 'F5'];5
71;2;39;['F2', 'F1', 'F3'];5
72;11;45;['F4'];5
73;46;20;['F3', 'F2'];5
74;3;16;['F4', 'F3'];5
75;29;3;['F5', 'F1', 'F3'];5
76;35;32;['F6', 'F2', 'F4'];5
77;4;11;['F4'];5
78;44;1;['F4', 'F1', 'F6', 'F3'];5
79;21;30;['F5', 'F3', 'F6'];5
80;27;4;['F6', 'F5', 'F4'];5
81;14;12;['F1', 'F2', 'F5', 'F6', 'F3'];5
82;34;15;['F3', 'F2'];5
83;33;43;['F1', 'F4'];5
84;29;6;['F3'];5
85;44;35;['F2', 'F4', 'F6'];5
86;8;29;['F3', 'F1', 'F6'];5
87;48;4;['F2'];5
88;4;15;['F4', 'F1', 'F6'];5
89;4;27;['F3', 'F6', 'F4'];5
90;5;28;['F1', 'F5', 'F6', 'F3'];5
91;31;30;['F1', 'F6', 'F5', 'F2'];5
92;13;25;['F2', 'F5', 'F4', 'F6'];5
93;32;38;['F6', 'F3', 'F4'];5
94;13;20;['F1', 'F6', 'F3'];5
95;19;16;['F5', 'F4', 'F2'];5
96;7;17;['F3', 'F4', 'F2'];5
97;34;16;['F6'];5
98;32;22;['F6'];5
99;11;34;['F4', 'F6'];5
100;19;13;['F4', 'F3', 'F2', 'F5'];5
101;19;2;['F4'];5
102;20;32;['F1', 'F4', 'F6'];5
103;14;35;['F5', 'F3', 'F2', 'F6'];5
104;13;43;['F4', 'F2'];5
105;45;34;['F6', 'F4'];5
106;29;42;['F3', 'F4'];5
107;11;19;['F5', 'F4', 'F3'];5
108;36;24;['F1', 'F6', 'F4'];5
109;30;36;['F1', 'F5', 'F4', 'F6'];5
110;45;1;['F6'];5
111;9;20;['F2', 'F3', 'F1', 'F4'];5
112;30;14;['F2', 'F6'];5
113;45;31;['F3', 'F6', 'F2', 'F4', 'F1'];5
114;2;30;['F2', 'F5', 'F1'];5
115;42;43;['F3', 'F1'];5
116;40;42;['F5', 'F4', 'F2'];5
117;18;5;['F3', 'F2', 'F5', 'F1'];5
118;28;11;['F4', 'F3', 'F5'];5
119;38;12;['F3', 'F4', 'F6', 'F1'];5
120;1;9;['F2', 'F1', 'F4'];5
121;31;5;['F1', 'F6', 'F3'];5
122;4;46;['F4', 'F2', 'F3', 'F6'];5
123;18;28;['F2', 'F4', 'F6'];5
124;39;36;['F3', 'F4', 'F6'];5
125;38;27;['F6'];5
126;40;41;['F3', 'F2'];5
127;10;45;['F6', 'F1', 'F4'];5
128;15;19;['F2', 'F4'];5
129;15;13;['F4', 'F1', 'F3', 'F2'];5
130;42;32;['F5', 'F6', 'F2', 'F3'];5
131;40;41;['F2', 'F1', 'F5', 'F6'];5
132;22;8;['F1', 'F4'];5
133;17;24;['F2', 'F6'];5
134;16;24;['F6', 'F1'];5
135;40;46;['F3', 'F2', 'F5'];5
136;6;39;['F6', 'F2', 'F4'];5
137;35;23;['F3', 'F5', 'F4'];5
138;24;13;['F5', 'F4', 'F2'];5
139;20;25;['F5', 'F2'];5
140;24;8;['F6', 'F1', 'F5', 'F4'];5
141;33;3;['F3', 'F1', 'F6'];5
142;28;6;['F5', 'F1'];5
143;45;12;['F4'];5
144;5;16;['F4', 'F6', 'F2'];5
145;10;21;['F4', 'F2', 'F3', 'F1'];5
146;13;14;['F1', 'F6', 'F2', 'F4'];5
147;5;19;['F4'];5
148;47;9;['F5', 'F2', 'F4', 'F1', 'F6'];5
149;26;44;['F5', 'F4', 'F3', 'F2'];5
150;12;22;['F4'];5
