requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;7;12;['F2', 'F5', 'F6', 'F3'];5
2;10;9;['F1', 'F5', 'F3'];5
3;2;3;['F3', 'F2', 'F1', 'F6', 'F5'];5
4;6;10;['F5', 'F4'];5
5;9;6;['F1', 'F6', 'F4'];5
6;8;2;['F3', 'F2', 'F5'];5
7;9;1;['F5', 'F1', 'F2'];5
8;7;5;['F1', 'F4', 'F5', 'F2', 'F6'];5
9;10;9;['F1', 'F4', 'F2', 'F6'];5
10;1;12;['F6', 'F1'];5
11;7;6;['F2', 'F5', 'F4'];5
12;12;11;['F3', 'F5', 'F6'];5
13;12;3;['F2'];5
14;12;11;['F5', 'F6'];5
15;9;10;['F2', 'F3'];5
16;1;8;['F6', 'F4', 'F3'];5
17;3;6;['F5', 'F6', 'F1', 'F2', 'F3'];5
18;4;5;['F3', 'F1', 'F4'];5
19;2;4;['F1'];5
20;9;2;['F3', 'F2', 'F6'];5
21;11;5;['F5', 'F3'];5
22;10;4;['F3', 'F5', 'F2', 'F1'];5
23;10;7;['F6'];5
24;2;1;['F6', 'F3'];5
25;11;3;['F3'];5
26;8;12;['F5'];5
27;9;10;['F3'];5
28;5;10;['F5', 'F3', 'F4', 'F2'];5
29;3;1;['F5', 'F3', 'F2'];5
30;5;6;['F3', 'F4', 'F1', 'F5'];5
31;6;3;['F4', 'F6', 'F1', 'F5'];5
32;6;12;['F5', 'F3', 'F1'];5
33;4;12;['F4', 'F3'];5
34;6;1;['F5', 'F4', 'F1'];5
35;2;9;['F2', 'F6'];5
36;10;1;['F1', 'F6', 'F3', 'F4'];5
37;8;6;['F2', 'F4', 'F3'];5
38;9;1;['F1', 'F6', 'F3'];5
39;6;10;['F2', 'F6', 'F1'];5
40;7;3;['F5', 'F1', 'F3', 'F2', 'F6'];5
41;2;3;['F2'];5
42;4;1;['F1', 'F3'];5
43;4;11;['F5', 'F4', 'F1', 'F6'];5
44;3;2;['F2', 'F6'];5
45;7;12;['F3', 'F6', 'F5', 'F1', 'F2'];5
46;7;1;['F1', 'F5', 'F3', 'F4'];5
47;7;12;['F1', 'F2'];5
48;8;4;['F3', 'F6', 'F5'];5
49;3;10;['F1', 'F2', 'F5'];5
50;4;7;['F4', 'F1'];5
51;10;4;['F3', 'F1'];5
52;11;5;['F1', 'F3'];5
53;1;7;['F4'];5
54;11;12;['F6', 'F5', 'F2', 'F1'];5
55;9;3;['F4', 'F1', 'F5'];5
56;11;5;['F2', 'F1', 'F6', 'F3'];5
57;2;5;['F2'];5
58;1;3;['F1'];5
59;3;2;['F5'];5
60;12;2;['F3', 'F5', 'F4'];5
61;9;5;['F4'];5
62;12;7;['F6', 'F5', 'F3', 'F4'];5
63;5;11;['F2', 'F4', 'F6'];5
64;4;12;['F4'];5
65;9;5;['F2', 'F1', 'F6'];5
66;9;5;['F6'];5
67;9;12;['F1', 'F5', 'F4', 'F2'];5
68;5;9;['F1', 'F4', 'F2'];5
69;7;2;['F2', 'F4'];5
70;6;4;['F1', 'F6'];5
71;7;10;['F1', 'F4', 'F6'];5
72;7;4;['F6'];5
73;4;1;['F5', 'F4', 'F2'];5
74;12;5;['F4', 'F2'];5
75;4;1;['F1', 'F2', 'F6'];5
76;4;1;['F6', 'F2', 'F5', 'F4'];5
77;11;2;['F2'];5
78;7;12;['F6', 'F4'];5
79;11;1;['F2', 'F1', 'F3'];5
80;5;6;['F3', 'F2', 'F5'];5
81;1;8;['F5', 'F6', 'F3'];5
82;5;12;['F3', 'F1', 'F4'];5
83;11;8;['F4', 'F5', 'F1'];5
84;6;11;['F4', 'F6'];5
85;6;11;['F5', 'F2', 'F4', 'F3'];5
86;3;2;['F3', 'F5', 'F1', 'F4'];5
87;2;10;['F4', 'F2', 'F5', 'F1'];5
88;10;8;['F1', 'F3', 'F5', 'F4'];5
89;12;8;['F5', 'F4', 'F2'];5
90;1;12;['F1', 'F4', 'F6', 'F3'];5
91;8;7;['F5', 'F6', 'F2'];5
92;9;7;['F3', 'F6', 'F2', 'F5'];5
93;10;2;['F3'];5
94;6;4;['F6', 'F2', 'F4'];5
95;5;4;['F4', 'F2'];5
96;1;9;['F6', 'F3', 'F2', 'F4'];5
97;12;11;['F1', 'F3', 'F2', 'F5'];5
98;10;8;['F2', 'F6'];5
99;8;7;['F5', 'F2'];5
100;11;1;['F5', 'F4'];5
