requestID;source;destination;Requested VNFs;Requested Bandwidth
1;5;7;['F1', 'F2', 'F4'];14
2;5;4;['F3', 'F4', 'F5'];24
3;6;3;['F5', 'F1', 'F2'];16
4;2;7;['F1', 'F3', 'F2'];12
5;4;7;['F4', 'F5', 'F3'];24
6;7;4;['F4', 'F3', 'F5'];24
7;4;5;['F1', 'F5', 'F3'];18
8;6;3;['F2', 'F3', 'F5'];20
9;3;6;['F2', 'F4', 'F3'];18
10;2;3;['F3', 'F2', 'F5'];20
11;7;6;['F2', 'F4', 'F3'];18
12;5;1;['F2', 'F3', 'F5'];20
13;4;6;['F3', 'F4', 'F2'];18
14;6;7;['F1', 'F2', 'F3'];12
15;1;2;['F4', 'F5', 'F3'];24
16;3;1;['F3', 'F2', 'F4'];18
17;6;4;['F4', 'F1', 'F3'];16
18;7;3;['F4', 'F3', 'F2'];18
19;2;4;['F1', 'F3', 'F2'];12
20;4;5;['F4', 'F5', 'F1'];20
21;1;4;['F4', 'F3', 'F1'];16
22;6;2;['F3', 'F2', 'F4'];18
23;4;2;['F2', 'F5', 'F1'];16
24;1;6;['F5', 'F1', 'F4'];20
25;1;5;['F3', 'F1', 'F5'];18
