requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;9;43;['F3', 'F5', 'F2', 'F1', 'F4'];22;3.25
2;6;35;['F4'];14;0.55
3;32;37;['F4', 'F2', 'F1'];11;2.15
4;34;7;['F5'];18;0.45
5;24;39;['F2', 'F5', 'F3'];18;1.85
6;32;42;['F5', 'F4', 'F2'];15;1.75
7;2;26;['F1', 'F2', 'F5'];23;2.0500000000000003
8;40;17;['F1'];15;0.85
9;38;42;['F1'];21;0.85
10;44;24;['F4', 'F3', 'F2', 'F5', 'F1'];15;3.2500000000000004
11;42;15;['F5', 'F1'];10;1.3
12;23;3;['F3', 'F4'];13;1.2000000000000002
13;50;45;['F2'];20;0.75
14;21;12;['F4'];6;0.55
15;9;8;['F1', 'F5'];6;1.3
16;20;2;['F1', 'F3', 'F5', 'F2'];13;2.7
17;34;12;['F4', 'F3', 'F1'];6;2.0500000000000003
18;6;33;['F1', 'F5', 'F2', 'F4'];21;2.5999999999999996
19;39;10;['F3', 'F2', 'F5'];15;1.8499999999999999
20;2;34;['F1'];5;0.85
21;31;22;['F2', 'F1'];5;1.6
22;43;16;['F4', 'F2', 'F1'];14;2.15
23;17;48;['F5', 'F2', 'F4', 'F3', 'F1'];9;3.25
24;42;46;['F4', 'F3'];12;1.2000000000000002
25;1;49;['F1', 'F3', 'F5', 'F4'];11;2.5
26;49;20;['F5', 'F3', 'F1', 'F2'];17;2.7
27;9;29;['F3', 'F5'];22;1.1
28;3;28;['F1'];8;0.85
29;38;40;['F4', 'F5', 'F1', 'F3', 'F2'];12;3.25
30;50;6;['F5', 'F2', 'F4', 'F3', 'F1'];18;3.25
31;21;4;['F4', 'F1', 'F3', 'F2'];19;2.8
32;31;21;['F3', 'F5', 'F4', 'F2', 'F1'];20;3.2500000000000004
33;1;45;['F1', 'F2'];6;1.6
34;2;47;['F1', 'F3', 'F2'];8;2.25
35;20;33;['F5', 'F4', 'F3', 'F1'];14;2.5
36;9;41;['F1', 'F2', 'F4', 'F3', 'F5'];25;3.2500000000000004
37;28;29;['F2', 'F1', 'F5', 'F3'];12;2.7
38;21;38;['F5', 'F3', 'F1'];24;1.9500000000000002
39;34;1;['F2', 'F3'];22;1.4
40;34;47;['F1', 'F3', 'F5'];13;1.95
41;18;22;['F2', 'F1', 'F3', 'F4'];21;2.8
42;16;18;['F3', 'F2'];21;1.4
43;16;4;['F2', 'F1', 'F4', 'F5', 'F3'];12;3.2500000000000004
44;44;15;['F1', 'F4', 'F3'];14;2.05
45;40;19;['F3', 'F1', 'F2'];7;2.25
46;36;46;['F3', 'F5', 'F4'];6;1.6500000000000001
47;11;22;['F5'];15;0.45
48;9;16;['F4', 'F1', 'F5', 'F3', 'F2'];15;3.25
49;30;26;['F3', 'F4', 'F1', 'F5'];21;2.5000000000000004
50;3;16;['F3', 'F2', 'F1'];8;2.25
51;39;44;['F4', 'F3'];18;1.2000000000000002
52;14;5;['F3', 'F4', 'F5', 'F2'];6;2.4000000000000004
53;1;20;['F3', 'F4', 'F2', 'F1'];19;2.8000000000000003
54;35;28;['F3', 'F1', 'F4', 'F5', 'F2'];25;3.25
55;9;2;['F2'];9;0.75
56;19;39;['F1'];8;0.85
57;10;6;['F3', 'F5'];8;1.1
58;24;26;['F4', 'F3', 'F1', 'F5', 'F2'];25;3.2500000000000004
59;28;46;['F1', 'F4'];6;1.4
60;38;26;['F4', 'F1'];10;1.4
61;38;49;['F5', 'F4', 'F3', 'F1'];9;2.5
62;2;9;['F3'];14;0.65
63;50;13;['F5', 'F1', 'F2', 'F4'];21;2.5999999999999996
64;10;46;['F5', 'F1', 'F3'];7;1.9500000000000002
65;47;26;['F2'];11;0.75
66;28;16;['F5', 'F4', 'F3', 'F2', 'F1'];17;3.25
67;43;30;['F2', 'F4', 'F5', 'F3', 'F1'];17;3.25
68;1;36;['F5', 'F3', 'F1'];19;1.9500000000000002
69;33;1;['F1', 'F2', 'F4'];25;2.1500000000000004
70;37;50;['F2', 'F1', 'F5', 'F4', 'F3'];7;3.2500000000000004
71;36;25;['F1', 'F5'];25;1.3
72;9;11;['F3', 'F1', 'F5', 'F2'];10;2.7
73;41;37;['F5', 'F4', 'F1', 'F3'];20;2.5
74;42;15;['F5', 'F2', 'F1', 'F3', 'F4'];6;3.25
75;29;46;['F2', 'F3', 'F4'];22;1.95
76;44;37;['F5', 'F2', 'F4', 'F3', 'F1'];10;3.25
77;37;2;['F3', 'F1'];8;1.5
78;46;34;['F2', 'F3', 'F1', 'F5', 'F4'];15;3.25
79;12;10;['F3'];5;0.65
80;20;19;['F1', 'F5'];25;1.3
