requestID;source;destination;Requested VNFs;Requested Bandwidth
1;13;15;['F3', 'F5', 'F1'];18
2;4;9;['F1', 'F4', 'F5'];20
3;5;13;['F1', 'F5', 'F3'];18
4;8;3;['F2', 'F5', 'F4'];22
5;12;13;['F4', 'F3', 'F2'];18
6;3;13;['F3', 'F4', 'F1'];16
7;3;12;['F2', 'F4', 'F5'];22
8;1;9;['F2', 'F5', 'F1'];16
9;4;15;['F2', 'F3', 'F5'];20
10;13;6;['F4', 'F2', 'F5'];22
11;9;14;['F2', 'F1', 'F5'];16
12;6;16;['F5', 'F1', 'F4'];20
13;8;1;['F5', 'F4', 'F1'];20
14;2;5;['F2', 'F3', 'F1'];12
15;12;14;['F5', 'F3', 'F1'];18
16;12;11;['F3', 'F2', 'F1'];12
17;9;2;['F3', 'F4', 'F5'];24
18;15;6;['F5', 'F2', 'F3'];20
19;3;9;['F5', 'F1', 'F4'];20
20;10;11;['F5', 'F3', 'F1'];18
21;16;12;['F3', 'F2', 'F1'];12
22;10;13;['F3', 'F2', 'F4'];18
23;12;14;['F1', 'F5', 'F3'];18
24;13;1;['F2', 'F1', 'F4'];14
25;5;2;['F1', 'F3', 'F2'];12
26;11;12;['F1', 'F5', 'F3'];18
27;6;15;['F1', 'F2', 'F4'];14
28;13;5;['F1', 'F2', 'F3'];12
29;10;6;['F4', 'F1', 'F5'];20
30;2;4;['F3', 'F5', 'F4'];24
31;6;11;['F2', 'F3', 'F5'];20
32;13;12;['F3', 'F5', 'F4'];24
33;1;11;['F1', 'F4', 'F2'];14
34;8;15;['F4', 'F1', 'F3'];16
35;12;10;['F2', 'F5', 'F3'];20
36;4;11;['F4', 'F2', 'F5'];22
37;16;15;['F3', 'F2', 'F1'];12
38;1;7;['F4', 'F3', 'F5'];24
39;11;6;['F5', 'F4', 'F3'];24
40;2;4;['F1', 'F4', 'F5'];20
41;11;3;['F3', 'F5', 'F1'];18
42;9;8;['F5', 'F2', 'F4'];22
43;8;13;['F1', 'F4', 'F5'];20
44;16;6;['F3', 'F1', 'F4'];16
45;16;6;['F3', 'F5', 'F1'];18
46;13;3;['F3', 'F4', 'F2'];18
47;4;12;['F4', 'F1', 'F5'];20
48;7;2;['F4', 'F1', 'F3'];16
49;12;5;['F4', 'F2', 'F3'];18
50;4;6;['F2', 'F5', 'F4'];22
51;7;11;['F3', 'F1', 'F4'];16
52;13;12;['F3', 'F4', 'F5'];24
53;2;16;['F1', 'F4', 'F5'];20
54;11;4;['F1', 'F4', 'F3'];16
55;1;2;['F1', 'F3', 'F2'];12
56;12;13;['F1', 'F2', 'F5'];16
57;15;4;['F4', 'F1', 'F5'];20
58;11;15;['F1', 'F3', 'F5'];18
59;10;4;['F1', 'F4', 'F5'];20
60;9;8;['F2', 'F1', 'F3'];12
61;12;5;['F4', 'F3', 'F5'];24
62;2;14;['F4', 'F1', 'F3'];16
63;5;16;['F2', 'F1', 'F5'];16
64;14;11;['F1', 'F3', 'F2'];12
65;12;15;['F1', 'F3', 'F2'];12
66;2;16;['F1', 'F5', 'F3'];18
67;11;10;['F4', 'F5', 'F2'];22
68;1;8;['F4', 'F2', 'F5'];22
69;9;7;['F2', 'F4', 'F3'];18
70;7;15;['F3', 'F2', 'F4'];18
71;11;4;['F1', 'F5', 'F2'];16
72;15;14;['F1', 'F4', 'F5'];20
73;9;1;['F1', 'F4', 'F2'];14
74;16;9;['F3', 'F2', 'F1'];12
75;8;14;['F1', 'F5', 'F3'];18
76;14;16;['F1', 'F3', 'F5'];18
77;9;8;['F5', 'F2', 'F1'];16
78;5;3;['F5', 'F2', 'F1'];16
79;12;2;['F4', 'F5', 'F1'];20
80;13;10;['F1', 'F2', 'F4'];14
81;13;6;['F1', 'F4', 'F2'];14
82;11;2;['F3', 'F5', 'F2'];20
83;10;13;['F1', 'F2', 'F4'];14
84;15;7;['F2', 'F4', 'F1'];14
85;12;1;['F3', 'F5', 'F2'];20
86;4;3;['F4', 'F1', 'F5'];20
87;11;7;['F2', 'F3', 'F1'];12
88;7;8;['F1', 'F5', 'F2'];16
89;14;4;['F1', 'F2', 'F4'];14
90;4;5;['F5', 'F4', 'F1'];20
91;13;10;['F4', 'F5', 'F1'];20
92;5;1;['F4', 'F5', 'F3'];24
93;5;13;['F1', 'F2', 'F4'];14
94;16;4;['F4', 'F5', 'F2'];22
95;13;10;['F3', 'F4', 'F2'];18
96;3;16;['F2', 'F1', 'F3'];12
97;14;9;['F5', 'F4', 'F1'];20
98;9;5;['F4', 'F3', 'F5'];24
99;12;15;['F1', 'F3', 'F5'];18
100;14;8;['F1', 'F4', 'F5'];20
