NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;T;[0, 0];0.1;0.7;0
2;T;[0, 0];1.0;1.0;0
3;T;[0, 0];1.0;0.8;0
4;T;[0, 0];0.8;1.0;0
5;T;[0, 0];0.5;0.7;0
6;T;[0, 0];0.4;0.9;0
7;T;[0, 0];0.5;0.5;0
8;T;[0, 0];0.5;1.0;0
9;T;[0, 0];0.5;0.8;0
10;T;[0, 0];0.3;0.7;0
11;T;[0, 0];0.7;0.7;0
12;T;[0, 0];0.4;0.6;0
13;T;[0, 0];0.7;1.0;0
14;T;[0, 0];0.2;0.8;0
15;T;[0, 0];1.0;0.6;0
16;T;[0, 0];0.8;0.9;0
17;T;[0, 0];0.5;0.8;0
18;T;[0, 0];0.4;0.9;0
19;T;[0, 0];0.5;0.7;0
20;T;[0, 0];0.5;0.8;0
21;T;[0, 0];1.0;0.9;0
22;T;[0, 0];0.6;0.8;0
23;T;[0, 0];0.9;0.5;0
24;T;[0, 0];0.8;0.9;0
25;T;[0, 0];0.1;0.7;0
26;T;[0, 0];1.0;0.7;0
27;T;[0, 0];0.5;0.6;0
28;T;[0, 0];0.6;0.7;0
29;T;[0, 0];0.7;0.7;0
30;T;[0, 0];0.6;0.9;0
31;T;[0, 0];1.0;0.9;0
32;T;[0, 0];0.5;0.7;0
33;T;[0, 0];0.8;0.7;0
34;T;[0, 0];0.4;0.6;0
35;T;[0, 0];0.6;1.0;0
36;T;[0, 0];0.5;0.6;0
37;T;[0, 0];0.7;0.9;0
38;T;[0, 0];1.0;0.6;0
39;T;[0, 0];0.1;0.9;0
40;T;[0, 0];0.5;0.6;0
41;T;[0, 0];0.8;0.8;0
42;T;[0, 0];0.9;0.5;0
43;T;[0, 0];0.7;0.5;0
44;T;[0, 0];0.9;1.0;0
45;T;[0, 0];0.7;0.8;0
46;N;[50, 64];1.0;0.5;53.0
47;N;[50, 64];0.8;0.7;73.0
48;N;[50, 64];0.2;0.6;35.0
49;N;[50, 64];0.3;0.5;59.0
50;N;[50, 64];0.4;0.5;59.0
51;N;[50, 64];0.4;0.8;60.0
52;N;[50, 64];0.2;1.0;17.0
53;N;[50, 64];1.0;0.7;67.0
54;N;[50, 64];0.5;0.7;52.0
55;N;[50, 64];0.1;0.8;51.0
56;N;[50, 64];0.6;1.0;49.0
57;N;[50, 64];1.0;0.6;70.0
58;N;[50, 64];1.0;0.8;56.00000000000001
59;N;[50, 64];1.0;0.8;37.0
60;N;[50, 64];0.1;0.6;65.0
