requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;107;222;['F5', 'F1', 'F4', 'F3', 'F2'];15;45.0
2;163;166;['F2', 'F5', 'F1'];8;45.0
3;136;111;['F5', 'F4', 'F2', 'F1'];12;45.0
4;123;219;['F5', 'F2', 'F1', 'F4', 'F3'];15;45.0
5;178;20;['F3', 'F4'];7;55.00000000000001
6;41;260;['F2', 'F4', 'F3', 'F5'];14;45.0
7;128;90;['F5', 'F1', 'F3', 'F4', 'F2'];15;45.0
8;221;39;['F4', 'F5'];9;45.0
9;258;140;['F2', 'F5', 'F1', 'F4'];12;45.0
10;20;61;['F3', 'F5', 'F2'];10;45.0
11;96;112;['F1', 'F4', 'F2', 'F5', 'F3'];15;45.0
12;197;93;['F5', 'F3', 'F1'];9;45.0
13;282;294;['F1', 'F3', 'F5', 'F2'];11;45.0
14;198;299;['F1', 'F2', 'F4'];7;55.00000000000001
15;172;266;['F4', 'F3'];7;55.00000000000001
16;113;109;['F2', 'F1', 'F5'];8;45.0
17;147;197;['F1', 'F2', 'F4'];7;55.00000000000001
18;266;294;['F3', 'F2', 'F1', 'F5'];11;45.0
19;206;169;['F4', 'F1', 'F3'];8;55.00000000000001
20;26;65;['F1'];1;85.0
21;186;269;['F1', 'F4', 'F3', 'F5'];13;45.0
22;277;7;['F3', 'F4', 'F2'];9;55.00000000000001
23;290;203;['F3'];3;65.0
24;51;78;['F2', 'F3', 'F1', 'F5', 'F4'];15;45.0
25;227;86;['F4', 'F3', 'F1', 'F2'];10;55.00000000000001
26;173;23;['F2', 'F5'];7;45.0
27;208;17;['F2', 'F4', 'F1', 'F3'];10;55.00000000000001
28;260;231;['F4', 'F1'];5;55.00000000000001
29;212;7;['F1'];1;85.0
30;266;4;['F4', 'F5', 'F2', 'F3', 'F1'];15;45.0
31;299;204;['F3', 'F2'];5;65.0
32;21;225;['F1', 'F3'];4;65.0
33;174;225;['F5', 'F2', 'F4'];11;45.0
34;295;126;['F5', 'F4', 'F1', 'F3', 'F2'];15;45.0
35;74;24;['F5', 'F2', 'F1', 'F3'];11;45.0
36;244;66;['F1'];1;85.0
37;105;240;['F1', 'F5', 'F2', 'F4', 'F3'];15;45.0
38;287;112;['F5'];5;45.0
39;27;65;['F4', 'F5'];9;45.0
40;63;156;['F1', 'F2', 'F3', 'F4', 'F5'];15;45.0
41;297;235;['F2'];2;75.0
42;179;220;['F1', 'F5', 'F4'];10;45.0
43;204;23;['F1', 'F3', 'F5', 'F2'];11;45.0
44;69;106;['F1', 'F2', 'F5'];8;45.0
45;44;28;['F2', 'F3'];5;65.0
46;105;167;['F3', 'F1', 'F5', 'F4', 'F2'];15;45.0
47;126;172;['F1', 'F2'];3;75.0
48;37;22;['F1', 'F5', 'F2', 'F3', 'F4'];15;45.0
49;222;72;['F2', 'F4', 'F5', 'F1', 'F3'];15;45.0
50;134;156;['F2', 'F4'];6;55.00000000000001
51;255;48;['F3', 'F4', 'F2', 'F1', 'F5'];15;45.0
52;286;291;['F3', 'F4'];7;55.00000000000001
53;136;198;['F4', 'F2', 'F3', 'F5'];14;45.0
54;39;284;['F5', 'F4', 'F3'];12;45.0
55;149;91;['F1', 'F2', 'F4'];7;55.00000000000001
56;144;297;['F4', 'F1', 'F3'];8;55.00000000000001
57;264;238;['F5', 'F2', 'F3', 'F4'];14;45.0
58;86;87;['F2', 'F3', 'F4', 'F5', 'F1'];15;45.0
59;186;123;['F2', 'F5', 'F1'];8;45.0
60;287;124;['F5'];5;45.0
61;257;161;['F3', 'F1', 'F4', 'F5'];13;45.0
62;188;112;['F2'];2;75.0
63;23;13;['F3', 'F1', 'F2', 'F4', 'F5'];15;45.0
64;226;248;['F2'];2;75.0
65;274;223;['F5', 'F3', 'F4', 'F2', 'F1'];15;45.0
66;264;202;['F3'];3;65.0
67;121;220;['F3', 'F4', 'F2', 'F5'];14;45.0
68;80;213;['F1', 'F3'];4;65.0
69;227;136;['F3', 'F2'];5;65.0
70;166;239;['F2', 'F4'];6;55.00000000000001
71;246;157;['F4'];4;55.00000000000001
72;9;188;['F2', 'F5'];7;45.0
73;232;8;['F5', 'F4', 'F3', 'F1'];13;45.0
74;102;151;['F3', 'F4', 'F1', 'F5'];13;45.0
75;260;117;['F5', 'F2', 'F1'];8;45.0
76;138;69;['F1', 'F4', 'F2', 'F5'];12;45.0
77;219;79;['F3', 'F5'];8;45.0
78;43;247;['F1', 'F2', 'F4'];7;55.00000000000001
79;261;145;['F2'];2;75.0
