requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;346;158;['F2', 'F3', 'F1'];6;45.0
2;550;166;['F3', 'F2', 'F4', 'F5', 'F1'];15;25.0
3;264;194;['F1', 'F3', 'F2'];6;45.0
4;471;174;['F5', 'F3', 'F1', 'F4'];13;25.0
5;487;187;['F4', 'F3', 'F2', 'F5'];14;25.0
6;337;426;['F3', 'F1', 'F5', 'F2'];11;25.0
7;231;509;['F3', 'F5', 'F1', 'F2', 'F4'];15;25.0
8;357;392;['F3', 'F4', 'F2'];9;35.0
9;541;520;['F4'];4;35.0
10;228;433;['F2', 'F3'];5;45.0
11;567;427;['F5', 'F3', 'F4', 'F2'];14;25.0
12;289;240;['F4', 'F1', 'F5', 'F3'];13;25.0
13;308;560;['F4', 'F2', 'F5', 'F1', 'F3'];15;25.0
14;326;242;['F3', 'F4', 'F1'];8;35.0
15;221;561;['F2'];2;55.00000000000001
16;566;219;['F5', 'F3', 'F1', 'F2'];11;25.0
17;499;543;['F1', 'F3', 'F5', 'F4'];13;25.0
18;198;467;['F1', 'F4', 'F5'];10;25.0
19;212;350;['F5', 'F4'];9;25.0
20;244;291;['F1', 'F2', 'F3'];6;45.0
21;473;171;['F1', 'F2'];3;55.00000000000001
22;164;226;['F1'];1;65.0
23;467;575;['F5', 'F4', 'F3', 'F1'];13;25.0
24;352;527;['F1', 'F5', 'F2', 'F3'];11;25.0
25;488;484;['F4', 'F1', 'F3'];8;35.0
26;322;558;['F5', 'F2', 'F3'];10;25.0
27;214;234;['F5', 'F2'];7;25.0
28;256;574;['F3', 'F2'];5;45.0
29;299;417;['F2'];2;55.00000000000001
30;472;474;['F3', 'F2'];5;45.0
31;229;383;['F4', 'F3', 'F2', 'F1'];10;35.0
32;286;388;['F1', 'F2', 'F4', 'F5', 'F3'];15;25.0
33;302;593;['F4', 'F3', 'F5'];12;25.0
34;292;164;['F4', 'F3'];7;35.0
35;478;161;['F4', 'F2', 'F3', 'F5'];14;25.0
36;260;194;['F4', 'F2', 'F1'];7;35.0
37;553;308;['F5', 'F1'];6;25.0
38;315;259;['F5', 'F4', 'F1'];10;25.0
39;504;175;['F1', 'F2', 'F4'];7;35.0
40;347;187;['F5', 'F4', 'F3', 'F2', 'F1'];15;25.0
41;164;189;['F5', 'F1', 'F4', 'F3'];13;25.0
42;511;413;['F4', 'F3', 'F2', 'F1', 'F5'];15;25.0
43;387;342;['F4'];4;35.0
44;275;317;['F5', 'F3'];8;25.0
45;224;412;['F4', 'F1'];5;35.0
46;428;226;['F2'];2;55.00000000000001
47;378;354;['F2', 'F1'];3;55.00000000000001
48;534;482;['F2', 'F4', 'F5'];11;25.0
49;438;541;['F3', 'F4', 'F2', 'F5', 'F1'];15;25.0
50;569;335;['F5', 'F4'];9;25.0
51;456;222;['F5', 'F3', 'F1'];9;25.0
52;484;414;['F2'];2;55.00000000000001
53;186;320;['F4', 'F5'];9;25.0
54;523;497;['F5', 'F3', 'F2'];10;25.0
55;445;593;['F2'];2;55.00000000000001
56;394;568;['F3', 'F1'];4;45.0
57;232;278;['F1', 'F3'];4;45.0
58;165;178;['F4', 'F1'];5;35.0
59;432;339;['F5', 'F2', 'F4', 'F3', 'F1'];15;25.0
60;227;306;['F4'];4;35.0
61;270;381;['F5', 'F2'];7;25.0
62;497;585;['F2', 'F4', 'F1', 'F3', 'F5'];15;25.0
63;222;331;['F3', 'F1', 'F5', 'F4', 'F2'];15;25.0
64;543;447;['F2', 'F5', 'F3', 'F4', 'F1'];15;25.0
65;209;519;['F5', 'F2', 'F1'];8;25.0
66;241;592;['F5', 'F2', 'F4'];11;25.0
67;494;457;['F1', 'F5', 'F4', 'F2', 'F3'];15;25.0
68;154;389;['F5', 'F1', 'F2', 'F4', 'F3'];15;25.0
69;409;275;['F3'];3;45.0
70;375;374;['F3'];3;45.0
71;300;179;['F5', 'F1', 'F3', 'F4', 'F2'];15;25.0
72;590;242;['F2'];2;55.00000000000001
73;226;160;['F1', 'F2', 'F3', 'F4', 'F5'];15;25.0
74;245;260;['F5', 'F4', 'F2'];11;25.0
