requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;265;404;['F4', 'F2', 'F1'];7;35.0
2;356;567;['F2', 'F4', 'F5', 'F1', 'F3'];15;25.0
3;559;463;['F5', 'F2', 'F3', 'F4', 'F1'];15;25.0
4;165;463;['F1', 'F3', 'F5', 'F4', 'F2'];15;25.0
5;329;244;['F1', 'F5', 'F4'];10;25.0
6;380;350;['F3', 'F2', 'F5', 'F4'];14;25.0
7;581;171;['F4', 'F1'];5;35.0
8;585;593;['F1'];1;65.0
9;462;597;['F1', 'F5', 'F3', 'F4'];13;25.0
10;432;377;['F2'];2;55.00000000000001
11;327;495;['F5', 'F2', 'F1', 'F4'];12;25.0
12;331;366;['F3'];3;45.0
13;183;577;['F3', 'F2', 'F1', 'F5'];11;25.0
14;487;593;['F5'];5;25.0
15;449;460;['F2', 'F3', 'F1', 'F5'];11;25.0
16;399;193;['F4', 'F5', 'F1'];10;25.0
17;489;270;['F5'];5;25.0
18;278;163;['F4', 'F1', 'F3', 'F5'];13;25.0
19;294;193;['F4', 'F5', 'F3'];12;25.0
20;269;561;['F5', 'F4', 'F1', 'F3', 'F2'];15;25.0
21;589;449;['F5'];5;25.0
22;331;273;['F5', 'F1', 'F2', 'F4', 'F3'];15;25.0
23;325;173;['F1', 'F4'];5;35.0
24;264;157;['F2'];2;55.00000000000001
25;354;177;['F1'];1;65.0
26;471;358;['F1', 'F5', 'F3', 'F2'];11;25.0
27;341;553;['F5', 'F3', 'F2', 'F4', 'F1'];15;25.0
28;583;225;['F4', 'F3'];7;35.0
29;571;535;['F2', 'F3', 'F1', 'F5', 'F4'];15;25.0
30;406;425;['F4'];4;35.0
31;550;532;['F4'];4;35.0
32;455;427;['F5', 'F2', 'F3'];10;25.0
33;548;484;['F3', 'F2', 'F1', 'F4', 'F5'];15;25.0
34;482;495;['F1'];1;65.0
35;460;447;['F2', 'F5', 'F4', 'F1'];12;25.0
36;311;379;['F5'];5;25.0
37;396;235;['F3', 'F1', 'F5', 'F2', 'F4'];15;25.0
38;445;299;['F1', 'F4', 'F5', 'F2'];12;25.0
39;317;488;['F5', 'F4', 'F3', 'F1', 'F2'];15;25.0
40;568;263;['F4', 'F3'];7;35.0
41;375;190;['F1', 'F2'];3;55.00000000000001
42;166;160;['F4'];4;35.0
43;499;402;['F1', 'F5', 'F4'];10;25.0
44;346;182;['F4', 'F5', 'F1', 'F3', 'F2'];15;25.0
45;570;231;['F5', 'F1', 'F2', 'F4', 'F3'];15;25.0
46;305;347;['F4', 'F3'];7;35.0
47;337;314;['F4', 'F1', 'F2', 'F3', 'F5'];15;25.0
48;310;268;['F3', 'F2', 'F5'];10;25.0
49;291;508;['F4', 'F2', 'F5', 'F1'];12;25.0
50;519;453;['F1', 'F2', 'F4', 'F5'];12;25.0
51;449;319;['F5', 'F3', 'F4', 'F1'];13;25.0
52;307;387;['F1', 'F3', 'F4'];8;35.0
53;359;273;['F1', 'F2'];3;55.00000000000001
54;379;565;['F4', 'F2', 'F1', 'F5'];12;25.0
55;523;283;['F5', 'F4', 'F2'];11;25.0
56;160;454;['F4', 'F2', 'F3', 'F1', 'F5'];15;25.0
57;317;458;['F5', 'F2', 'F3', 'F4', 'F1'];15;25.0
58;518;291;['F4', 'F2', 'F3', 'F5', 'F1'];15;25.0
59;428;504;['F1', 'F4', 'F2', 'F3', 'F5'];15;25.0
60;164;553;['F2', 'F4'];6;35.0
61;447;367;['F4'];4;35.0
62;331;462;['F2', 'F1', 'F3'];6;45.0
63;219;162;['F1', 'F3', 'F4'];8;35.0
64;262;418;['F4', 'F1', 'F5', 'F3'];13;25.0
65;302;257;['F3'];3;45.0
66;233;390;['F3', 'F4'];7;35.0
67;296;197;['F2', 'F1', 'F4'];7;35.0
68;322;236;['F3', 'F5', 'F4', 'F1'];13;25.0
69;489;429;['F5', 'F4', 'F1'];10;25.0
70;490;350;['F3', 'F5', 'F1'];9;25.0
71;232;286;['F2', 'F5', 'F1', 'F4'];12;25.0
72;222;415;['F3', 'F4', 'F5'];12;25.0
73;336;247;['F1', 'F5', 'F3', 'F2'];11;25.0
74;224;555;['F4', 'F1', 'F5', 'F3', 'F2'];15;25.0
75;325;450;['F1', 'F4', 'F2', 'F5', 'F3'];15;25.0
76;212;184;['F5', 'F3'];8;25.0
77;408;264;['F3', 'F2', 'F4', 'F5'];14;25.0
78;342;410;['F3', 'F4', 'F5', 'F1', 'F2'];15;25.0
79;512;276;['F2'];2;55.00000000000001
80;410;568;['F2', 'F1', 'F5'];8;25.0
81;240;378;['F1'];1;65.0
82;453;546;['F3'];3;45.0
83;365;311;['F5', 'F4'];9;25.0
84;165;199;['F4', 'F3'];7;35.0
85;247;586;['F5'];5;25.0
86;550;421;['F1', 'F5', 'F4'];10;25.0
87;360;581;['F5'];5;25.0
88;237;358;['F1', 'F5', 'F4', 'F2', 'F3'];15;25.0
89;291;561;['F1', 'F3', 'F4', 'F2', 'F5'];15;25.0
90;510;569;['F4', 'F3', 'F1', 'F5', 'F2'];15;25.0
91;319;450;['F3', 'F2', 'F5'];10;25.0
92;437;548;['F3', 'F5', 'F2'];10;25.0
93;436;386;['F1'];1;65.0
94;237;265;['F2', 'F1', 'F4', 'F3', 'F5'];15;25.0
95;246;370;['F1', 'F3', 'F5'];9;25.0
96;213;426;['F4', 'F1', 'F3', 'F2'];10;35.0
97;242;234;['F4', 'F5', 'F2'];11;25.0
98;174;325;['F2', 'F5'];7;25.0
99;445;169;['F4', 'F1', 'F3', 'F5', 'F2'];15;25.0
100;359;531;['F2'];2;55.00000000000001
101;309;453;['F5'];5;25.0
102;466;202;['F3', 'F2', 'F4'];9;35.0
103;466;523;['F2', 'F3', 'F1', 'F5'];11;25.0
104;543;210;['F4', 'F3'];7;35.0
105;370;580;['F3', 'F5', 'F1', 'F4', 'F2'];15;25.0
106;330;328;['F5', 'F1'];6;25.0
107;406;545;['F5'];5;25.0
108;558;196;['F4', 'F5', 'F3', 'F1'];13;25.0
109;371;344;['F4', 'F2', 'F1'];7;35.0
110;504;452;['F2'];2;55.00000000000001
111;300;154;['F5', 'F1', 'F3'];9;25.0
112;330;337;['F5', 'F4', 'F1', 'F3'];13;25.0
113;403;550;['F3', 'F5', 'F1', 'F2', 'F4'];15;25.0
114;496;254;['F1', 'F3'];4;45.0
115;315;204;['F2', 'F5', 'F4', 'F3'];14;25.0
116;207;349;['F2', 'F3'];5;45.0
117;539;593;['F3'];3;45.0
118;178;589;['F2', 'F1'];3;55.00000000000001
119;415;507;['F4', 'F2', 'F5', 'F1', 'F3'];15;25.0
120;216;248;['F3', 'F2', 'F5'];10;25.0
121;355;337;['F2'];2;55.00000000000001
122;235;296;['F2'];2;55.00000000000001
123;281;197;['F4'];4;35.0
124;390;254;['F1'];1;65.0
125;156;465;['F4', 'F3', 'F1', 'F5', 'F2'];15;25.0
126;457;558;['F4', 'F2', 'F3', 'F1', 'F5'];15;25.0
127;454;576;['F2', 'F4', 'F1', 'F3', 'F5'];15;25.0
128;376;586;['F1', 'F5', 'F3'];9;25.0
129;286;414;['F3'];3;45.0
130;438;444;['F3', 'F4', 'F2', 'F5', 'F1'];15;25.0
131;539;254;['F3', 'F2', 'F5', 'F4', 'F1'];15;25.0
132;403;359;['F1', 'F2'];3;55.00000000000001
133;312;337;['F1', 'F5', 'F2'];8;25.0
134;166;178;['F1', 'F4'];5;35.0
135;257;395;['F2'];2;55.00000000000001
136;387;558;['F5', 'F3', 'F2', 'F1', 'F4'];15;25.0
