Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;1;10;100;1.33;1.5;79.0
2;1;2;100;2.38;1.5;59.0
3;3;2;100;2.97;1.5;55.00000000000001
4;3;4;100;2.46;1.5;76.0
5;5;4;100;1.59;1.5;48.0
6;5;6;100;0.99;1.5;56.00000000000001
7;7;6;100;2.74;1.5;65.0
8;7;8;100;2.63;1.5;80.0
9;9;8;100;2.54;1.5;54.0
10;9;10;100;1.04;1.5;30.0
11;1;11;100;1.19;1.5;80.0
12;1;12;100;2.21;1.5;69.0
13;2;13;100;1.76;1.5;50.0
14;2;14;100;2.2;1.5;46.0
15;3;15;100;2.76;1.5;64.0
16;3;16;100;1.7;1.5;48.0
17;4;17;100;2.37;1.5;74.0
18;4;18;100;1.7;1.5;79.0
19;5;19;100;2.73;1.5;30.0
20;5;20;100;2.05;1.5;41.0
21;6;21;100;2.13;1.5;56.99999999999999
22;6;22;100;1.52;1.5;75.0
23;7;23;100;2.91;1.5;73.0
24;7;24;100;1.14;1.5;41.0
25;8;25;100;2.83;1.5;46.0
26;8;26;100;1.22;1.5;73.0
27;9;27;100;2.7;1.5;36.0
28;9;28;100;2.13;1.5;50.0
29;10;29;100;2.26;1.5;50.0
30;10;30;100;1.22;1.5;72.0
31;11;30;100;1.2;1.5;25.0
32;11;12;100;2.41;1.5;45.0
33;13;12;100;1.15;1.5;23.0
34;13;14;100;1.4;1.5;39.0
35;15;14;100;1.75;1.5;41.0
36;15;16;100;1.1;1.5;30.0
37;17;16;100;1.37;1.5;50.0
38;17;18;100;2.85;1.5;43.0
39;19;18;100;1.71;1.5;44.0
40;19;20;100;2.72;1.5;49.0
41;21;20;100;1.55;1.5;41.0
42;21;22;100;1.5;1.5;24.0
43;23;22;100;0.78;1.5;25.0
44;23;24;100;1.21;1.5;45.0
45;25;24;100;2.87;1.5;24.0
46;25;26;100;2.25;1.5;28.000000000000004
47;27;26;100;2.87;1.5;37.0
48;27;28;100;2.91;1.5;20.0
49;29;28;100;0.86;1.5;47.0
50;29;30;100;1.71;1.5;40.0
51;11;31;100;1.71;1.5;44.0
52;11;32;100;2.32;1.5;49.0
53;12;33;100;0.95;1.5;28.999999999999996
54;12;34;100;2.27;1.5;21.0
55;13;35;100;0.92;1.5;41.0
56;13;36;100;2.92;1.5;43.0
57;14;37;100;2.11;1.5;43.0
58;14;38;100;2.24;1.5;38.0
59;15;39;100;1.09;1.5;36.0
60;15;40;100;2.48;1.5;25.0
61;16;41;100;1.52;1.5;42.0
62;16;42;100;2.92;1.5;41.0
63;17;43;100;2.81;1.5;50.0
64;17;44;100;1.81;1.5;40.0
65;18;45;100;1.6;1.5;30.0
66;18;46;100;1.6;1.5;28.000000000000004
67;19;47;100;0.79;1.5;28.000000000000004
68;19;48;100;1.86;1.5;25.0
69;20;49;100;2.97;1.5;35.0
70;20;50;100;1.41;1.5;26.0
71;21;51;100;2.11;1.5;49.0
72;21;52;100;1.36;1.5;21.0
73;22;53;100;2.14;1.5;40.0
74;22;54;100;2.38;1.5;27.0
75;23;55;100;3.0;1.5;48.0
76;23;56;100;2.91;1.5;25.0
77;24;57;100;1.35;1.5;27.0
78;24;58;100;2.45;1.5;32.0
79;25;59;100;2.35;1.5;24.0
80;25;60;100;0.81;1.5;28.999999999999996
81;26;61;100;1.53;1.5;49.0
82;26;62;100;1.24;1.5;33.0
