NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;N;[50, 64];0.2;1.0;75.0
2;N;[50, 64];0.9;0.9;52.0
3;N;[50, 64];0.6;0.5;68.0
4;N;[50, 64];0.1;0.5;43.0
5;N;[50, 64];0.6;0.9;75.0
6;N;[50, 64];1.0;1.0;69.0
7;N;[50, 64];0.6;0.9;31.0
8;N;[50, 64];0.2;0.5;56.99999999999999
9;N;[50, 64];0.9;0.8;68.0
10;N;[50, 64];0.9;0.5;32.0
11;N;[50, 64];0.8;0.9;45.0
12;N;[50, 64];0.7;1.0;41.0
13;N;[50, 64];0.7;1.0;17.0
14;N;[50, 64];1.0;0.7;45.0
15;N;[50, 64];0.1;0.6;60.0
16;N;[50, 64];0.6;0.5;18.0
17;N;[50, 64];0.8;0.6;47.0
18;N;[50, 64];0.1;0.5;56.00000000000001
19;N;[50, 64];0.8;1.0;77.0
20;N;[50, 64];0.4;1.0;51.0
21;N;[50, 64];0.7;0.7;10.0
22;N;[50, 64];0.6;0.8;10.0
23;N;[50, 64];0.6;0.8;74.0
24;N;[50, 64];0.8;1.0;68.0
25;N;[50, 64];1.0;0.6;16.0
26;N;[50, 64];0.4;0.6;41.0
27;N;[50, 64];0.9;0.6;37.0
28;N;[50, 64];0.4;0.9;80.0
29;N;[50, 64];0.5;0.8;19.0
30;N;[50, 64];0.5;0.7;45.0
31;N;[50, 64];0.6;0.7;57.99999999999999
32;N;[50, 64];0.8;0.8;31.0
33;N;[50, 64];0.6;0.7;62.0
34;N;[50, 64];0.5;0.6;26.0
35;N;[50, 64];0.9;1.0;13.0
36;N;[50, 64];0.4;0.8;32.0
37;N;[50, 64];0.5;0.9;37.0
38;N;[50, 64];0.3;0.7;10.0
39;N;[50, 64];0.6;0.6;54.0
40;N;[50, 64];0.5;0.9;72.0
41;N;[50, 64];0.3;0.5;28.000000000000004
42;N;[50, 64];0.1;1.0;46.0
43;N;[50, 64];0.1;0.8;18.0
44;N;[50, 64];0.2;1.0;33.0
45;N;[50, 64];1.0;0.9;77.0
46;N;[50, 64];0.3;0.8;40.0
47;N;[50, 64];0.9;0.6;61.0
48;N;[50, 64];0.6;0.9;16.0
49;N;[50, 64];0.1;0.7;49.0
50;N;[50, 64];1.0;0.9;57.99999999999999
51;N;[50, 64];0.8;0.8;39.0
52;N;[50, 64];0.2;0.5;50.0
53;N;[50, 64];0.4;0.8;14.000000000000002
54;N;[50, 64];1.0;0.8;21.0
55;N;[50, 64];0.2;1.0;54.0
56;N;[50, 64];1.0;0.6;10.0
57;N;[50, 64];0.8;0.9;79.0
58;N;[50, 64];0.7;0.6;11.0
59;N;[50, 64];0.6;0.9;50.0
60;N;[50, 64];0.1;0.5;59.0
61;N;[50, 64];0.8;0.7;25.0
62;N;[50, 64];0.2;0.8;40.0
63;N;[50, 64];0.4;0.5;67.0
64;N;[50, 64];0.8;0.5;42.0
65;N;[50, 64];0.6;0.5;57.99999999999999
66;N;[50, 64];0.6;0.8;15.0
67;N;[50, 64];0.8;0.8;60.0
68;N;[50, 64];0.5;0.5;25.0
69;N;[50, 64];0.7;0.6;56.00000000000001
70;N;[50, 64];0.4;0.5;56.00000000000001
71;N;[50, 64];0.2;1.0;25.0
72;N;[50, 64];0.7;0.6;46.0
73;N;[50, 64];0.3;0.6;14.000000000000002
74;N;[50, 64];0.9;1.0;52.0
75;N;[50, 64];0.3;0.9;74.0
76;N;[50, 64];0.6;0.8;30.0
77;N;[50, 64];0.5;0.8;30.0
78;N;[50, 64];0.5;1.0;40.0
79;N;[50, 64];0.9;0.5;53.0
80;N;[50, 64];0.8;0.5;22.0
81;N;[50, 64];0.9;0.5;56.99999999999999
82;N;[50, 64];0.2;0.7;80.0
83;N;[50, 64];0.8;0.5;71.0
84;N;[50, 64];0.9;0.7;36.0
85;N;[50, 64];1.0;0.5;67.0
86;N;[50, 64];0.8;0.7;63.0
87;N;[50, 64];0.7;0.5;22.0
88;N;[50, 64];0.8;0.6;28.000000000000004
89;N;[50, 64];0.5;0.6;51.0
90;N;[50, 64];0.9;0.5;66.0
91;N;[50, 64];0.2;1.0;48.0
92;N;[50, 64];0.2;0.5;74.0
93;N;[50, 64];0.4;0.5;20.0
94;N;[50, 64];0.6;1.0;24.0
95;N;[50, 64];0.4;0.5;75.0
96;N;[50, 64];0.6;0.7;47.0
97;N;[50, 64];0.6;1.0;18.0
98;N;[50, 64];0.9;0.8;65.0
99;N;[50, 64];0.6;1.0;42.0
100;N;[50, 64];0.8;1.0;72.0
101;N;[50, 64];0.4;0.6;64.0
102;N;[50, 64];0.1;0.5;44.0
103;N;[50, 64];0.7;0.9;42.0
104;N;[50, 64];0.7;0.5;66.0
105;N;[50, 64];0.2;0.5;14.000000000000002
106;N;[50, 64];0.1;0.7;23.0
107;N;[50, 64];0.1;1.0;31.0
108;N;[50, 64];0.5;0.8;15.0
109;N;[50, 64];0.4;0.6;28.000000000000004
110;N;[50, 64];0.2;0.5;15.0
111;N;[50, 64];0.2;1.0;41.0
112;N;[50, 64];0.5;0.8;65.0
113;N;[50, 64];0.3;0.7;22.0
