NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;N;[50, 64];0.3;0.6;67.0
2;N;[50, 64];0.3;1.0;59.0
3;N;[50, 64];0.1;0.8;31.0
4;N;[50, 64];1.0;0.8;47.0
5;N;[50, 64];0.9;0.9;32.0
6;N;[50, 64];1.0;0.9;62.0
7;N;[50, 64];0.2;0.5;68.0
8;N;[50, 64];0.1;0.8;54.0
9;N;[50, 64];1.0;0.6;53.0
10;N;[50, 64];0.1;0.5;45.0
11;N;[50, 64];0.8;0.9;25.0
12;N;[50, 64];0.4;0.9;21.0
13;N;[50, 64];0.4;0.8;27.0
14;N;[50, 64];0.4;1.0;40.0
15;N;[50, 64];0.7;0.9;36.0
16;N;[50, 64];0.3;0.8;33.0
17;N;[50, 64];1.0;0.8;40.0
18;N;[50, 64];0.6;0.6;45.0
19;N;[50, 64];0.1;0.5;20.0
20;N;[50, 64];0.4;0.8;49.0
21;N;[50, 64];0.5;1.0;26.0
22;N;[50, 64];0.1;0.5;32.0
23;N;[50, 64];0.6;0.6;20.0
24;N;[50, 64];0.9;1.0;26.0
25;N;[50, 64];1.0;0.6;35.0
26;N;[50, 64];1.0;0.9;36.0
27;N;[50, 64];0.6;0.6;26.0
28;N;[50, 64];0.9;1.0;20.0
29;N;[50, 64];0.8;0.6;46.0
30;N;[50, 64];0.4;1.0;46.0
31;N;[50, 64];0.3;0.5;34.0
32;N;[50, 64];0.4;0.9;24.0
33;N;[50, 64];0.4;0.9;32.0
34;N;[50, 64];0.5;0.9;34.0
35;N;[50, 64];0.6;0.5;28.000000000000004
36;N;[50, 64];0.7;0.9;31.0
37;N;[50, 64];0.6;1.0;26.0
38;N;[50, 64];0.6;0.6;30.0
39;N;[50, 64];0.4;0.8;28.999999999999996
40;N;[50, 64];0.1;0.7;35.0
41;N;[50, 64];0.5;0.7;21.0
42;N;[50, 64];0.6;0.8;24.0
43;N;[50, 64];0.6;0.5;26.0
44;N;[50, 64];0.8;0.9;18.0
45;N;[50, 64];0.4;0.6;33.0
46;N;[50, 64];0.9;1.0;31.0
47;N;[50, 64];0.8;0.7;15.0
48;N;[50, 64];0.3;0.9;15.0
49;N;[50, 64];0.1;0.9;33.0
50;N;[50, 64];0.6;1.0;34.0
51;N;[50, 64];0.9;0.6;34.0
52;N;[50, 64];0.9;0.7;27.0
53;N;[50, 64];0.5;0.5;28.000000000000004
54;N;[50, 64];0.9;0.9;25.0
55;N;[50, 64];0.7;1.0;30.0
56;N;[50, 64];0.8;0.6;19.0
57;N;[50, 64];0.8;0.7;34.0
58;N;[50, 64];1.0;0.8;26.0
59;N;[50, 64];0.2;0.6;31.0
60;N;[50, 64];0.2;0.5;26.0
61;N;[50, 64];0.9;0.6;25.0
62;N;[50, 64];0.1;1.0;33.0
63;N;[50, 64];0.2;1.0;28.999999999999996
64;N;[50, 64];1.0;0.9;31.0
65;N;[50, 64];0.7;0.7;34.0
66;N;[50, 64];0.9;0.9;16.0
67;N;[50, 64];0.8;0.8;19.0
68;N;[50, 64];1.0;0.8;23.0
69;N;[50, 64];0.9;0.5;17.0
70;N;[50, 64];0.1;0.7;25.0
71;N;[50, 64];0.8;0.8;20.0
72;N;[50, 64];0.7;0.7;20.0
73;N;[50, 64];0.9;0.8;28.999999999999996
74;N;[50, 64];0.4;0.7;19.0
75;N;[50, 64];0.1;1.0;17.0
76;N;[50, 64];0.9;0.9;13.0
77;N;[50, 64];0.6;0.6;23.0
78;N;[50, 64];0.5;0.7;21.0
79;N;[50, 64];0.8;1.0;18.0
80;N;[50, 64];0.1;1.0;23.0
81;N;[50, 64];0.9;1.0;19.0
82;N;[50, 64];0.5;0.9;16.0
83;N;[50, 64];0.5;0.9;10.0
84;N;[50, 64];0.6;0.6;30.0
85;N;[50, 64];0.7;0.7;27.0
86;N;[50, 64];0.7;0.7;14.000000000000002
87;N;[50, 64];1.0;0.5;20.0
88;N;[50, 64];0.7;0.7;27.0
89;N;[50, 64];0.9;0.7;20.0
90;N;[50, 64];0.4;0.8;20.0
91;N;[50, 64];0.7;1.0;26.0
92;N;[50, 64];0.6;0.9;21.0
93;N;[50, 64];0.5;0.7;11.0
94;N;[50, 64];0.4;1.0;19.0
95;N;[50, 64];0.8;0.7;11.0
96;N;[50, 64];0.9;0.5;24.0
97;N;[50, 64];0.2;1.0;22.0
98;N;[50, 64];1.0;0.7;28.999999999999996
99;N;[50, 64];0.3;0.7;24.0
100;N;[50, 64];0.1;0.9;21.0
101;N;[50, 64];0.8;1.0;16.0
102;N;[50, 64];0.5;1.0;15.0
103;N;[50, 64];0.8;0.8;28.999999999999996
104;N;[50, 64];0.1;0.6;19.0
105;N;[50, 64];1.0;0.8;10.0
106;N;[50, 64];0.2;0.6;18.0
107;N;[50, 64];0.5;0.7;15.0
108;N;[50, 64];1.0;0.5;22.0
