requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;315;417;['F4', 'F5', 'F1'];10;0.45
2;85;209;['F5', 'F3', 'F1'];9;0.45
3;123;536;['F2'];2;0.75
4;795;344;['F1', 'F5', 'F2', 'F3'];11;0.45
5;54;308;['F4', 'F2', 'F1', 'F3'];10;0.55
6;259;59;['F1', 'F3', 'F2'];6;0.65
7;424;42;['F4', 'F5', 'F2', 'F3', 'F1'];15;0.45
8;591;443;['F2', 'F1'];3;0.75
9;729;285;['F1', 'F4', 'F2'];7;0.55
10;699;186;['F5', 'F4', 'F3'];12;0.45
11;696;790;['F3', 'F2'];5;0.65
12;34;282;['F5', 'F2'];7;0.45
13;398;723;['F2', 'F3'];5;0.65
14;573;263;['F2', 'F1'];3;0.75
15;467;714;['F3', 'F5', 'F2', 'F1'];11;0.45
16;392;435;['F3', 'F4'];7;0.55
17;258;475;['F1', 'F3', 'F2', 'F4'];10;0.55
18;200;134;['F5', 'F4', 'F3'];12;0.45
19;624;467;['F3', 'F4', 'F2'];9;0.55
20;606;348;['F3'];3;0.65
21;172;198;['F2', 'F1', 'F3', 'F4'];10;0.55
22;230;313;['F5', 'F2', 'F1', 'F4'];12;0.45
23;634;185;['F3', 'F1', 'F2'];6;0.65
24;52;646;['F1', 'F2', 'F4', 'F5'];12;0.45
25;595;748;['F4', 'F1', 'F5', 'F2'];12;0.45
26;405;264;['F3', 'F1'];4;0.65
27;119;123;['F5', 'F4', 'F1', 'F2', 'F3'];15;0.45
28;67;519;['F4', 'F2'];6;0.55
29;241;154;['F5', 'F4', 'F2', 'F3'];14;0.45
30;335;678;['F4', 'F1', 'F2'];7;0.55
31;757;598;['F4', 'F1', 'F2', 'F5', 'F3'];15;0.45
32;376;652;['F3', 'F1', 'F2', 'F4', 'F5'];15;0.45
33;641;563;['F3', 'F4', 'F2', 'F5'];14;0.45
34;741;638;['F1', 'F2'];3;0.75
35;22;275;['F4', 'F1', 'F3', 'F5', 'F2'];15;0.45
36;567;155;['F2', 'F1', 'F4', 'F5', 'F3'];15;0.45
37;365;23;['F3', 'F1', 'F4', 'F2'];10;0.55
38;350;506;['F4', 'F5', 'F2', 'F3'];14;0.45
39;758;697;['F3', 'F5', 'F1', 'F2'];11;0.45
40;562;232;['F3'];3;0.65
41;83;685;['F2', 'F4'];6;0.55
42;747;799;['F3', 'F1', 'F4', 'F2', 'F5'];15;0.45
43;547;74;['F3', 'F2', 'F1'];6;0.65
44;319;227;['F5', 'F3'];8;0.45
45;522;428;['F3', 'F2', 'F4', 'F1', 'F5'];15;0.45
46;114;436;['F1'];1;0.85
47;125;130;['F4', 'F1'];5;0.55
48;761;186;['F1', 'F5'];6;0.45
49;632;393;['F3', 'F2', 'F4', 'F1'];10;0.55
50;202;796;['F3', 'F2'];5;0.65
51;426;502;['F2', 'F5', 'F4', 'F3'];14;0.45
52;232;394;['F3', 'F5', 'F1', 'F2', 'F4'];15;0.45
53;140;686;['F3', 'F5', 'F4'];12;0.45
54;64;638;['F2', 'F3', 'F4', 'F1'];10;0.55
55;424;145;['F1', 'F4', 'F5'];10;0.45
56;381;599;['F1', 'F3'];4;0.65
57;677;785;['F4', 'F5', 'F1', 'F2'];12;0.45
58;283;151;['F4', 'F2', 'F1', 'F5', 'F3'];15;0.45
59;100;15;['F3', 'F2', 'F1', 'F5'];11;0.45
60;562;570;['F4', 'F5'];9;0.45
61;773;683;['F3', 'F4', 'F1', 'F2', 'F5'];15;0.45
62;453;190;['F3', 'F1', 'F5'];9;0.45
63;426;333;['F3'];3;0.65
64;531;755;['F4', 'F5', 'F1'];10;0.45
65;482;281;['F1', 'F3', 'F2', 'F4'];10;0.55
66;77;527;['F1', 'F5'];6;0.45
67;22;611;['F3', 'F2', 'F1', 'F4', 'F5'];15;0.45
68;6;713;['F3'];3;0.65
69;487;428;['F1', 'F2'];3;0.75
70;710;700;['F3', 'F2', 'F5'];10;0.45
71;2;170;['F2'];2;0.75
72;272;333;['F4', 'F3', 'F5'];12;0.45
73;396;280;['F2'];2;0.75
74;592;433;['F5', 'F4', 'F2', 'F1', 'F3'];15;0.45
75;257;261;['F4', 'F5', 'F3', 'F2', 'F1'];15;0.45
76;663;231;['F3', 'F2', 'F4', 'F5', 'F1'];15;0.45
77;614;770;['F5'];5;0.45
78;163;451;['F1'];1;0.85
79;248;369;['F4', 'F2', 'F3'];9;0.55
80;491;628;['F3'];3;0.65
